"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"+";"10";"0";"—";"Участвует в конкурсе";"1646670";"—"
"2";"1";"+";"3";"0";"—";"Участвует в конкурсе";"1257102";"—"
"3";"1";"—";"0";"0";"—";"Участвует в конкурсе";"1614386";"—"
"4";"1";"+";"8";"0";"—";"Участвует в конкурсе";"1650060";"—"
"5";"1";"—";"10";"0";"—";"Участвует в конкурсе";"1510032";"—"
"6";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1614158";"—"
"7";"1";"—";"0";"0";"—";"Участвует в конкурсе";"1620920";"—"
"8";"1";"—";"305";"300";"100";"Участвует в конкурсе";"1000130";"—"
"9";"1";"—";"304";"294";"100";"Участвует в конкурсе";"1291574";"—"
"10";"4";"—";"303";"298";"98";"Участвует в конкурсе";"1570635";"—"
"11";"4";"+";"302";"297";"100";"Участвует в конкурсе";"2138923";"—"
"12";"2";"+";"301";"291";"100";"Участвует в конкурсе";"1195822";"—"
"13";"2";"—";"301";"291";"100";"Участвует в конкурсе";"1205499";"—"
"14";"3";"—";"300";"295";"98";"Участвует в конкурсе";"1055405";"—"
"15";"1";"+";"299";"294";"94";"Участвует в конкурсе";"1944693";"—"
"16";"1";"—";"297";"292";"98";"Участвует в конкурсе";"1090748";"—"
"17";"2";"—";"296";"291";"100";"Участвует в конкурсе";"1508393";"—"
"18";"1";"—";"296";"291";"100";"Участвует в конкурсе";"1607125";"—"
"19";"2";"+";"295";"290";"96";"Участвует в конкурсе";"1384729";"—"
"20";"2";"—";"295";"290";"96";"Участвует в конкурсе";"1463052";"—"
"21";"2";"—";"294";"294";"98";"Участвует в конкурсе";"1263326";"—"
"22";"5";"—";"294";"289";"100";"Участвует в конкурсе";"1844514";"—"
"23";"1";"—";"294";"289";"92";"Участвует в конкурсе";"1892250";"—"
"24";"3";"—";"293";"288";"94";"Участвует в конкурсе";"1311290";"—"
"25";"3";"—";"293";"283";"99";"Участвует в конкурсе";"1418575";"—"
"26";"2";"+";"292";"287";"96";"Участвует в конкурсе";"1277678";"—"
"27";"2";"—";"292";"287";"90";"Участвует в конкурсе";"1623117";"—"
"28";"4";"—";"292";"287";"97";"Участвует в конкурсе";"1672834";"—"
"29";"1";"—";"292";"284";"84";"Участвует в конкурсе";"2131770";"—"
"30";"3";"—";"291";"286";"97";"Участвует в конкурсе";"1884091";"—"
"31";"1";"+";"291";"286";"92";"Участвует в конкурсе";"1513224";"—"
"32";"4";"—";"291";"286";"92";"Участвует в конкурсе";"1988174";"—"
"33";"1";"—";"291";"286";"98";"Участвует в конкурсе";"2002780";"—"
"34";"1";"—";"291";"286";"96";"Участвует в конкурсе";"1791552";"—"
