"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"0";"0";"—";"На рассмотрении";"2217574";"—"
"2";"2";"—";"300";"295";"98";"Участвует в конкурсе";"1497829";"—"
"3";"1";"—";"297";"289";"100";"Участвует в конкурсе";"1510429";"—"
"4";"1";"—";"294";"289";"98";"Участвует в конкурсе";"1338077";"—"
"5";"1";"—";"293";"286";"91";"Участвует в конкурсе";"2200491";"—"
"6";"1";"—";"291";"286";"97";"Участвует в конкурсе";"1884091";"—"
"7";"1";"—";"290";"285";"91";"Участвует в конкурсе";"1331951";"—"
"8";"3";"—";"290";"285";"98";"Участвует в конкурсе";"1709631";"—"
"9";"1";"—";"290";"280";"96";"Участвует в конкурсе";"1563793";"—"
"10";"1";"—";"289";"284";"96";"Участвует в конкурсе";"1203549";"—"
"11";"1";"—";"287";"287";"94";"Участвует в конкурсе";"1350113";"—"
"12";"1";"—";"287";"282";"92";"Участвует в конкурсе";"1863473";"—"
"13";"1";"—";"286";"281";"94";"Участвует в конкурсе";"1794230";"—"
"14";"1";"—";"285";"280";"96";"Участвует в конкурсе";"1441959";"—"
"15";"1";"—";"284";"284";"96";"Участвует в конкурсе";"1830700";"—"
"16";"1";"—";"284";"276";"90";"Участвует в конкурсе";"1424123";"—"
"17";"1";"—";"283";"278";"88";"Участвует в конкурсе";"2394257";"—"
"18";"1";"—";"283";"278";"98";"Участвует в конкурсе";"1333679";"—"
"19";"1";"—";"282";"277";"95";"Участвует в конкурсе";"1948568";"—"
"20";"1";"—";"282";"277";"95";"Участвует в конкурсе";"1342264";"—"
"21";"1";"—";"281";"281";"98";"Участвует в конкурсе";"1442526";"—"
"22";"1";"—";"281";"281";"100";"Участвует в конкурсе";"1167263";"—"
"23";"1";"—";"279";"274";"92";"Участвует в конкурсе";"1481676";"—"
"24";"1";"—";"279";"274";"93";"Участвует в конкурсе";"1519807";"—"
"25";"1";"—";"278";"273";"79";"Участвует в конкурсе";"1365896";"—"
"26";"2";"—";"278";"273";"88";"Участвует в конкурсе";"1291035";"—"
"27";"1";"—";"278";"270";"90";"Участвует в конкурсе";"1365907";"—"
"28";"1";"—";"277";"277";"88";"Участвует в конкурсе";"1449335";"—"
"29";"1";"—";"275";"275";"98";"Участвует в конкурсе";"1212286";"—"
"30";"2";"—";"275";"270";"94";"Участвует в конкурсе";"1496517";"—"
"31";"1";"—";"275";"267";"91";"Участвует в конкурсе";"1498916";"—"
"32";"1";"—";"274";"274";"96";"Участвует в конкурсе";"1274363";"—"
"33";"1";"—";"274";"269";"92";"Участвует в конкурсе";"1441444";"—"
"34";"1";"—";"273";"268";"86";"Участвует в конкурсе";"1191514";"—"
"35";"1";"—";"272";"272";"90";"Участвует в конкурсе";"1390153";"—"
"36";"1";"—";"272";"267";"96";"Участвует в конкурсе";"1708818";"—"
"37";"1";"—";"271";"268";"100";"Участвует в конкурсе";"1126539";"—"
"38";"1";"—";"271";"266";"90";"Участвует в конкурсе";"1192848";"—"
"39";"2";"—";"270";"270";"82";"Участвует в конкурсе";"1593684";"—"
"40";"1";"—";"270";"265";"83";"Участвует в конкурсе";"1289113";"—"
"41";"1";"—";"270";"264";"81";"Участвует в конкурсе";"1193366";"—"
"42";"1";"—";"269";"269";"88";"Участвует в конкурсе";"1518851";"—"
"43";"1";"—";"269";"261";"84";"Участвует в конкурсе";"1565561";"—"
"44";"1";"—";"268";"263";"96";"Участвует в конкурсе";"1558194";"—"
"45";"1";"—";"268";"260";"88";"Участвует в конкурсе";"1383204";"—"
"46";"2";"—";"267";"262";"80";"Участвует в конкурсе";"1002310";"—"
"47";"2";"—";"267";"262";"88";"Участвует в конкурсе";"1795766";"—"
"48";"4";"—";"267";"262";"86";"Участвует в конкурсе";"1725161";"—"
"49";"1";"—";"267";"262";"95";"Участвует в конкурсе";"2356586";"—"
"50";"1";"—";"266";"261";"80";"Участвует в конкурсе";"1387052";"—"
"51";"1";"—";"266";"261";"77";"Участвует в конкурсе";"2246883";"—"
"52";"1";"—";"266";"261";"82";"Участвует в конкурсе";"2156392";"—"
"53";"1";"—";"266";"261";"100";"Участвует в конкурсе";"1360565";"—"
"54";"1";"—";"265";"260";"90";"Участвует в конкурсе";"1725705";"—"
"55";"5";"—";"265";"255";"84";"Участвует в конкурсе";"1358178";"—"
"56";"1";"—";"264";"259";"95";"Участвует в конкурсе";"1287383";"—"
"57";"1";"—";"263";"258";"88";"Участвует в конкурсе";"1844473";"—"
"58";"3";"—";"263";"258";"82";"Участвует в конкурсе";"1351184";"—"
"59";"1";"—";"263";"253";"88";"Участвует в конкурсе";"1637729";"—"
"60";"1";"—";"262";"257";"93";"Участвует в конкурсе";"1200080";"—"
"61";"1";"—";"262";"257";"86";"Участвует в конкурсе";"2055850";"—"
"62";"1";"—";"262";"257";"95";"Участвует в конкурсе";"1490519";"—"
"63";"1";"—";"260";"257";"77";"Участвует в конкурсе";"1043028";"—"
"64";"1";"—";"260";"255";"78";"Участвует в конкурсе";"1581838";"—"
"65";"1";"—";"260";"255";"88";"Участвует в конкурсе";"2093390";"—"
"66";"2";"—";"260";"255";"84";"Участвует в конкурсе";"1117004";"—"
"67";"1";"—";"259";"254";"80";"Участвует в конкурсе";"1695666";"—"
"68";"1";"—";"259";"254";"100";"Участвует в конкурсе";"1213932";"—"
"69";"2";"—";"258";"253";"80";"Участвует в конкурсе";"1498484";"—"
"70";"1";"—";"258";"253";"90";"Участвует в конкурсе";"2336004";"—"
"71";"1";"—";"258";"253";"88";"Участвует в конкурсе";"1635332";"—"
"72";"1";"—";"257";"257";"76";"Участвует в конкурсе";"1126385";"—"
"73";"1";"—";"257";"257";"95";"Участвует в конкурсе";"1569136";"—"
"74";"1";"—";"257";"252";"80";"Участвует в конкурсе";"1510724";"—"
"75";"2";"—";"257";"252";"84";"Участвует в конкурсе";"1358279";"—"
"76";"2";"—";"256";"256";"78";"Участвует в конкурсе";"1352443";"—"
"77";"3";"—";"256";"256";"95";"Участвует в конкурсе";"1642623";"—"
"78";"2";"—";"256";"251";"82";"Участвует в конкурсе";"1974764";"—"
"79";"1";"—";"255";"255";"85";"Участвует в конкурсе";"2119320";"—"
"80";"1";"—";"255";"250";"82";"Участвует в конкурсе";"2364818";"—"
"81";"1";"—";"255";"250";"86";"Участвует в конкурсе";"1709744";"—"
"82";"1";"—";"254";"249";"86";"Участвует в конкурсе";"1257574";"—"
"83";"1";"—";"254";"249";"88";"Участвует в конкурсе";"1813178";"—"
"84";"2";"—";"253";"253";"90";"Участвует в конкурсе";"1343646";"—"
"85";"3";"—";"251";"251";"86";"Участвует в конкурсе";"2178306";"—"
"86";"2";"—";"251";"248";"83";"Участвует в конкурсе";"1826463";"—"
"87";"1";"—";"251";"246";"78";"Участвует в конкурсе";"1440406";"—"
"88";"1";"—";"250";"247";"76";"Участвует в конкурсе";"2221655";"—"
"89";"1";"—";"249";"249";"84";"Участвует в конкурсе";"2357018";"—"
"90";"1";"—";"249";"244";"72";"Участвует в конкурсе";"1153524";"—"
"91";"1";"—";"248";"248";"86";"Участвует в конкурсе";"1875143";"—"
"92";"1";"—";"248";"248";"85";"Участвует в конкурсе";"2170794";"—"
"93";"1";"—";"248";"245";"91";"Участвует в конкурсе";"2227233";"—"
"94";"1";"—";"248";"243";"73";"Участвует в конкурсе";"1722106";"—"
"95";"1";"—";"248";"243";"70";"Участвует в конкурсе";"1180550";"—"
"96";"1";"—";"246";"246";"88";"Участвует в конкурсе";"1717758";"—"
"97";"1";"—";"246";"243";"86";"Участвует в конкурсе";"1985575";"—"
"98";"1";"—";"246";"241";"76";"Участвует в конкурсе";"1499032";"—"
"99";"1";"—";"245";"242";"91";"Участвует в конкурсе";"1176879";"—"
"100";"1";"—";"245";"237";"88";"На рассмотрении";"1000055";"—"
"101";"1";"—";"244";"244";"76";"Участвует в конкурсе";"1253362";"—"
"102";"1";"—";"244";"244";"78";"Участвует в конкурсе";"1363122";"—"
"103";"2";"—";"244";"244";"85";"Участвует в конкурсе";"1265906";"—"
"104";"1";"—";"244";"241";"81";"Участвует в конкурсе";"2240147";"—"
"105";"1";"—";"244";"237";"78";"На рассмотрении";"2054271";"—"
"106";"1";"—";"243";"243";"74";"Участвует в конкурсе";"2015369";"—"
"107";"2";"—";"243";"243";"70";"Участвует в конкурсе";"1261204";"—"
"108";"3";"—";"243";"243";"72";"Участвует в конкурсе";"1851121";"—"
"109";"2";"—";"243";"243";"88";"Участвует в конкурсе";"1994791";"—"
"110";"2";"—";"243";"243";"80";"Участвует в конкурсе";"2339162";"—"
"111";"1";"—";"243";"243";"84";"Участвует в конкурсе";"1504625";"—"
"112";"1";"—";"242";"242";"82";"Участвует в конкурсе";"1723663";"—"
"113";"2";"—";"242";"242";"78";"Участвует в конкурсе";"1975720";"—"
"114";"1";"—";"242";"242";"80";"Участвует в конкурсе";"2170159";"—"
"115";"1";"—";"241";"241";"74";"Участвует в конкурсе";"1345848";"—"
"116";"2";"—";"241";"241";"74";"Участвует в конкурсе";"1554631";"—"
"117";"1";"—";"241";"241";"81";"Участвует в конкурсе";"1633041";"—"
"118";"5";"—";"240";"240";"86";"Участвует в конкурсе";"1362355";"—"
"119";"4";"—";"238";"238";"70";"На рассмотрении";"1212358";"—"
"120";"1";"—";"238";"233";"88";"На рассмотрении";"1849577";"—"
"121";"1";"—";"237";"237";"74";"На рассмотрении";"1659849";"—"
"122";"1";"—";"237";"232";"78";"На рассмотрении";"2199862";"—"
"123";"2";"—";"236";"236";"74";"На рассмотрении";"1629750";"—"
"124";"1";"—";"236";"236";"78";"На рассмотрении";"1265164";"—"
"125";"2";"—";"236";"231";"74";"На рассмотрении";"2077868";"—"
"126";"1";"—";"236";"231";"86";"На рассмотрении";"1274359";"—"
"127";"1";"—";"235";"235";"76";"На рассмотрении";"1559154";"—"
"128";"1";"—";"234";"234";"84";"На рассмотрении";"1348767";"—"
