"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"5";"0";"—";"Участвует в конкурсе";"2153116";"—"
"2";"1";"—";"8";"0";"—";"Участвует в конкурсе";"960349";"—"
"3";"1";"—";"5";"0";"—";"Участвует в конкурсе";"969377";"—"
"4";"1";"—";"3";"0";"—";"Участвует в конкурсе";"1955910";"—"
"5";"4";"—";"0";"0";"—";"Участвует в конкурсе";"1574329";"—"
"6";"4";"—";"0";"0";"—";"Участвует в конкурсе";"1478016";"—"
"7";"5";"—";"0";"0";"—";"Участвует в конкурсе";"1634753";"—"
"8";"1";"—";"0";"0";"—";"Участвует в конкурсе";"2052815";"—"
"9";"1";"—";"289";"284";"96";"Участвует в конкурсе";"1444555";"—"
"10";"1";"+";"289";"279";"90";"Участвует в конкурсе";"1289306";"—"
"11";"4";"—";"284";"279";"98";"Участвует в конкурсе";"1470569";"—"
"12";"1";"+";"274";"269";"92";"Участвует в конкурсе";"1441444";"—"
"13";"1";"—";"267";"262";"86";"Участвует в конкурсе";"1242655";"—"
"14";"1";"+";"265";"265";"93";"Участвует в конкурсе";"1788868";"—"
"15";"1";"—";"263";"260";"86";"Участвует в конкурсе";"1211432";"—"
"16";"3";"—";"259";"259";"88";"Участвует в конкурсе";"1346906";"—"
"17";"1";"—";"254";"249";"88";"Участвует в конкурсе";"1813178";"—"
"18";"1";"—";"249";"244";"86";"Участвует в конкурсе";"1493888";"—"
"19";"2";"—";"244";"244";"70";"Участвует в конкурсе";"1072368";"—"
"20";"1";"—";"244";"237";"78";"Участвует в конкурсе";"2054271";"—"
"21";"1";"—";"241";"241";"74";"Участвует в конкурсе";"1345848";"—"
"22";"2";"—";"237";"237";"70";"Участвует в конкурсе";"1794208";"—"
"23";"2";"—";"225";"225";"78";"Участвует в конкурсе";"1680540";"—"
"24";"5";"—";"214";"209";"70";"Участвует в конкурсе";"1438320";"—"
"25";"1";"—";"212";"212";"74";"Участвует в конкурсе";"1183486";"—"
