"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"5";"0";"—";"Участвует в конкурсе";"1366765";"—"
"2";"5";"—";"5";"0";"—";"Участвует в конкурсе";"1579044";"—"
"3";"2";"—";"5";"0";"—";"Участвует в конкурсе";"1673838";"—"
"4";"3";"+";"5";"0";"—";"Участвует в конкурсе";"1952781";"—"
"5";"1";"+";"5";"0";"—";"Участвует в конкурсе";"1996150";"—"
"6";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1125875";"—"
"7";"5";"—";"5";"0";"—";"Участвует в конкурсе";"2088753";"—"
"8";"1";"—";"0";"0";"—";"Участвует в конкурсе";"2357718";"—"
"9";"5";"+";"0";"0";"—";"Участвует в конкурсе";"2362979";"—"
"10";"4";"—";"0";"0";"—";"Участвует в конкурсе";"996933";"—"
"11";"4";"—";"0";"0";"—";"Участвует в конкурсе";"2067776";"—"
"12";"1";"—";"0";"0";"—";"Участвует в конкурсе";"1321067";"—"
"13";"3";"+";"0";"0";"—";"Участвует в конкурсе";"1361372";"—"
"14";"3";"+";"0";"0";"—";"Участвует в конкурсе";"1249641";"—"
"15";"3";"+";"0";"0";"—";"Участвует в конкурсе";"2142250";"—"
"16";"4";"—";"0";"0";"—";"Участвует в конкурсе";"2391097";"—"
"17";"3";"—";"0";"0";"—";"Участвует в конкурсе";"1984261";"—"
"18";"1";"—";"0";"0";"—";"Участвует в конкурсе";"1607803";"—"
"19";"1";"—";"0";"0";"—";"Участвует в конкурсе";"1752463";"—"
"20";"5";"—";"0";"0";"—";"Участвует в конкурсе";"2226493";"—"
"21";"5";"—";"0";"0";"—";"Участвует в конкурсе";"1646652";"—"
"22";"2";"+";"0";"0";"—";"Участвует в конкурсе";"974940";"—"
"23";"5";"—";"0";"0";"—";"Участвует в конкурсе";"2274543";"—"
"24";"1";"—";"290";"285";"98";"Участвует в конкурсе";"1853259";"—"
"25";"3";"—";"286";"281";"98";"Участвует в конкурсе";"1272021";"—"
"26";"3";"+";"286";"281";"90";"Участвует в конкурсе";"1797754";"—"
"27";"4";"+";"285";"280";"93";"Участвует в конкурсе";"2336007";"—"
"28";"4";"—";"276";"271";"90";"Участвует в конкурсе";"1622023";"—"
"29";"4";"—";"273";"268";"90";"Участвует в конкурсе";"1793104";"—"
"30";"5";"—";"272";"272";"98";"Участвует в конкурсе";"1934240";"—"
"31";"5";"—";"269";"264";"85";"Участвует в конкурсе";"1561934";"—"
"32";"5";"+";"267";"262";"99";"Участвует в конкурсе";"1039639";"—"
"33";"5";"—";"266";"261";"96";"Участвует в конкурсе";"1218450";"—"
"34";"2";"—";"264";"259";"92";"Участвует в конкурсе";"1307058";"—"
"35";"5";"—";"263";"263";"94";"Участвует в конкурсе";"1251035";"—"
"36";"4";"—";"263";"258";"88";"Участвует в конкурсе";"1852052";"—"
"37";"5";"—";"257";"257";"90";"Участвует в конкурсе";"1794444";"—"
"38";"1";"+";"255";"255";"85";"Участвует в конкурсе";"1172030";"—"
"39";"2";"—";"255";"250";"93";"Участвует в конкурсе";"1478758";"—"
"40";"3";"—";"254";"249";"86";"Участвует в конкурсе";"1813178";"—"
"41";"1";"—";"254";"249";"84";"Участвует в конкурсе";"1711609";"—"
"42";"2";"—";"254";"249";"86";"Участвует в конкурсе";"2135972";"—"
"43";"1";"—";"252";"252";"80";"Участвует в конкурсе";"1729612";"—"
"44";"5";"—";"252";"247";"74";"Участвует в конкурсе";"1262134";"—"
"45";"1";"+";"252";"247";"78";"Участвует в конкурсе";"1445409";"—"
"46";"5";"—";"251";"251";"86";"Участвует в конкурсе";"2242370";"—"
"47";"3";"—";"251";"246";"79";"Участвует в конкурсе";"1994739";"—"
"48";"2";"—";"251";"246";"95";"Участвует в конкурсе";"1625119";"—"
"49";"3";"—";"251";"246";"73";"Участвует в конкурсе";"1509380";"—"
"50";"1";"—";"246";"246";"92";"Участвует в конкурсе";"1481481";"—"
"51";"2";"—";"245";"240";"79";"Участвует в конкурсе";"1441795";"—"
"52";"3";"—";"245";"240";"82";"Участвует в конкурсе";"1242655";"—"
"53";"1";"+";"243";"243";"70";"Участвует в конкурсе";"1087206";"—"
"54";"1";"+";"243";"243";"84";"Участвует в конкурсе";"1265391";"—"
"55";"1";"—";"242";"242";"83";"Участвует в конкурсе";"2306403";"—"
"56";"2";"—";"241";"236";"76";"Участвует в конкурсе";"1142050";"—"
"57";"3";"—";"239";"234";"71";"Участвует в конкурсе";"1334565";"—"
"58";"2";"—";"237";"237";"88";"Участвует в конкурсе";"2182668";"—"
"59";"1";"+";"236";"236";"71";"Участвует в конкурсе";"2029570";"—"
"60";"4";"—";"235";"235";"86";"Участвует в конкурсе";"1192592";"—"
"61";"1";"—";"233";"228";"75";"Участвует в конкурсе";"2207572";"—"
"62";"1";"—";"231";"231";"68";"Участвует в конкурсе";"2306535";"—"
"63";"4";"—";"229";"229";"77";"Участвует в конкурсе";"2218938";"—"
"64";"5";"—";"229";"229";"78";"Участвует в конкурсе";"1336859";"—"
"65";"1";"+";"227";"227";"67";"Участвует в конкурсе";"1467483";"—"
"66";"1";"—";"227";"227";"64";"Участвует в конкурсе";"1629977";"—"
"67";"1";"+";"227";"222";"84";"Участвует в конкурсе";"2084816";"—"
"68";"4";"—";"226";"226";"74";"Участвует в конкурсе";"1982340";"—"
"69";"1";"+";"226";"221";"77";"Участвует в конкурсе";"1853869";"—"
"70";"2";"+";"225";"225";"75";"Участвует в конкурсе";"1490091";"—"
"71";"4";"—";"224";"224";"72";"Участвует в конкурсе";"2000693";"—"
"72";"1";"—";"223";"223";"72";"Участвует в конкурсе";"1353792";"—"
"73";"1";"—";"217";"217";"71";"Участвует в конкурсе";"1127088";"—"
"74";"3";"—";"217";"212";"71";"Участвует в конкурсе";"1650070";"—"
"75";"2";"—";"215";"210";"60";"Участвует в конкурсе";"2122234";"—"
"76";"4";"—";"214";"209";"66";"Участвует в конкурсе";"1438320";"—"
"77";"2";"—";"203";"203";"64";"Участвует в конкурсе";"2119871";"—"
"78";"2";"—";"203";"203";"79";"Участвует в конкурсе";"1310472";"—"
