"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"307";"299";"100";"Участвует в конкурсе";"1546948";"—"
"2";"4";"—";"281";"276";"95";"Участвует в конкурсе";"1884507";"—"
"3";"2";"—";"278";"273";"92";"Участвует в конкурсе";"2175626";"—"
"4";"4";"+";"271";"266";"84";"Участвует в конкурсе";"1731147";"—"
"5";"3";"—";"268";"263";"100";"Участвует в конкурсе";"1470569";"—"
"6";"2";"—";"266";"266";"88";"Участвует в конкурсе";"1979497";"—"
"7";"4";"—";"265";"265";"94";"Участвует в конкурсе";"2045912";"—"
"8";"4";"—";"265";"260";"88";"Участвует в конкурсе";"2093762";"—"
"9";"1";"—";"264";"264";"95";"Участвует в конкурсе";"1172831";"—"
"10";"4";"—";"263";"263";"86";"Участвует в конкурсе";"1396342";"—"
"11";"2";"—";"262";"262";"95";"Участвует в конкурсе";"1154155";"—"
"12";"4";"+";"262";"262";"94";"Участвует в конкурсе";"1520198";"—"
"13";"5";"—";"260";"250";"90";"Участвует в конкурсе";"2274159";"—"
"14";"5";"—";"256";"251";"88";"Участвует в конкурсе";"1880268";"—"
"15";"3";"—";"255";"250";"96";"Участвует в конкурсе";"1702823";"—"
"16";"1";"—";"254";"249";"88";"Участвует в конкурсе";"1225081";"—"
"17";"2";"—";"252";"252";"80";"Участвует в конкурсе";"1729612";"—"
"18";"3";"+";"251";"251";"80";"Участвует в конкурсе";"1143404";"—"
"19";"1";"—";"248";"241";"76";"Участвует в конкурсе";"1107309";"—"
"20";"5";"+";"246";"241";"80";"Участвует в конкурсе";"1286125";"—"
"21";"2";"—";"245";"245";"86";"Участвует в конкурсе";"1354045";"—"
"22";"3";"+";"245";"240";"78";"Участвует в конкурсе";"1268509";"—"
"23";"3";"+";"239";"231";"78";"Участвует в конкурсе";"1027409";"—"
"24";"1";"+";"238";"238";"84";"Участвует в конкурсе";"1157951";"—"
"25";"3";"—";"235";"235";"76";"Участвует в конкурсе";"2090016";"—"
"26";"2";"—";"233";"233";"76";"Участвует в конкурсе";"1090839";"—"
"27";"5";"+";"226";"226";"77";"Участвует в конкурсе";"1177045";"—"
"28";"4";"—";"220";"220";"67";"Участвует в конкурсе";"1061234";"—"
