"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"296";"291";"98";"Участвует в конкурсе";"1200613";"—"
"2";"3";"—";"290";"282";"96";"Участвует в конкурсе";"1517034";"—"
"3";"2";"—";"289";"284";"94";"Участвует в конкурсе";"1057362";"—"
"4";"2";"—";"286";"286";"92";"Участвует в конкурсе";"2079251";"—"
"5";"5";"—";"286";"281";"93";"Участвует в конкурсе";"1493568";"—"
"6";"2";"—";"285";"280";"90";"Участвует в конкурсе";"1614058";"—"
"7";"3";"—";"282";"277";"100";"Участвует в конкурсе";"1332080";"—"
"8";"4";"—";"281";"281";"100";"Участвует в конкурсе";"2268515";"—"
"9";"4";"—";"280";"275";"98";"Участвует в конкурсе";"1436616";"—"
"10";"1";"—";"279";"274";"86";"Участвует в конкурсе";"1132904";"—"
"11";"2";"—";"278";"273";"98";"Участвует в конкурсе";"977577";"—"
"12";"2";"—";"277";"272";"97";"Участвует в конкурсе";"1483938";"—"
"13";"1";"—";"276";"276";"97";"Участвует в конкурсе";"2082865";"—"
"14";"4";"—";"273";"268";"88";"Участвует в конкурсе";"1191514";"—"
"15";"4";"—";"272";"269";"90";"Участвует в конкурсе";"1167658";"—"
"16";"3";"—";"271";"266";"88";"Участвует в конкурсе";"1418906";"—"
"17";"1";"—";"270";"270";"92";"Участвует в конкурсе";"1633554";"—"
"18";"4";"—";"270";"270";"99";"Участвует в конкурсе";"1593684";"—"
"19";"4";"—";"270";"265";"96";"Участвует в конкурсе";"1621363";"—"
"20";"4";"—";"269";"269";"98";"Участвует в конкурсе";"1565822";"—"
"21";"3";"—";"269";"264";"92";"Участвует в конкурсе";"1616445";"—"
"22";"4";"—";"268";"263";"90";"Участвует в конкурсе";"1442849";"—"
"23";"3";"—";"267";"262";"86";"Участвует в конкурсе";"1258941";"—"
"24";"5";"—";"267";"262";"93";"Участвует в конкурсе";"2101004";"—"
"25";"2";"—";"266";"266";"88";"Участвует в конкурсе";"1795709";"—"
"26";"4";"—";"266";"266";"93";"Участвует в конкурсе";"1302562";"—"
"27";"4";"—";"266";"263";"98";"Участвует в конкурсе";"1704558";"—"
"28";"5";"—";"266";"261";"88";"Участвует в конкурсе";"2156392";"—"
"29";"2";"—";"266";"258";"92";"Участвует в конкурсе";"1182807";"—"
"30";"2";"—";"265";"265";"94";"Участвует в конкурсе";"1670908";"—"
"31";"4";"—";"265";"260";"93";"Участвует в конкурсе";"1573381";"—"
"32";"4";"—";"265";"260";"88";"Участвует в конкурсе";"1711470";"—"
"33";"5";"—";"264";"264";"95";"Участвует в конкурсе";"2383175";"—"
"34";"2";"—";"264";"259";"96";"Участвует в конкурсе";"1257116";"—"
"35";"4";"—";"263";"263";"90";"Участвует в конкурсе";"1859160";"—"
"36";"2";"—";"263";"255";"90";"Участвует в конкурсе";"1358178";"—"
"37";"3";"—";"262";"262";"95";"Участвует в конкурсе";"1154155";"—"
"38";"4";"—";"262";"262";"90";"Участвует в конкурсе";"1335513";"—"
"39";"1";"—";"262";"257";"86";"Участвует в конкурсе";"1751485";"—"
"40";"3";"—";"262";"257";"93";"Участвует в конкурсе";"2055850";"—"
"41";"3";"—";"261";"261";"88";"Участвует в конкурсе";"1201617";"—"
"42";"3";"—";"260";"260";"85";"Участвует в конкурсе";"1710882";"—"
"43";"4";"—";"260";"255";"98";"Участвует в конкурсе";"1907702";"—"
"44";"4";"—";"260";"255";"88";"Участвует в конкурсе";"1581838";"—"
"45";"2";"—";"259";"259";"90";"Участвует в конкурсе";"1636459";"—"
"46";"2";"—";"259";"259";"96";"Участвует в конкурсе";"1208583";"—"
"47";"4";"—";"258";"253";"95";"Участвует в конкурсе";"1498484";"—"
"48";"3";"—";"257";"257";"88";"Участвует в конкурсе";"1441867";"—"
"49";"5";"—";"256";"256";"85";"Участвует в конкурсе";"1445994";"—"
"50";"3";"—";"256";"256";"90";"Участвует в конкурсе";"1598467";"—"
"51";"4";"—";"256";"251";"86";"Участвует в конкурсе";"1198477";"—"
"52";"1";"—";"255";"255";"92";"Участвует в конкурсе";"2248310";"—"
"53";"4";"—";"255";"255";"84";"Участвует в конкурсе";"1874215";"—"
"54";"4";"—";"255";"255";"88";"Участвует в конкурсе";"1623459";"—"
"55";"2";"—";"255";"250";"96";"Участвует в конкурсе";"1702823";"—"
"56";"2";"—";"254";"254";"85";"Участвует в конкурсе";"2343714";"—"
