"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"286";"281";"94";"Участвует в конкурсе";"2002346";"—"
"2";"5";"—";"282";"277";"90";"Участвует в конкурсе";"1848689";"—"
"3";"3";"—";"278";"273";"92";"Участвует в конкурсе";"2175626";"—"
"4";"3";"—";"265";"265";"94";"Участвует в конкурсе";"2045912";"—"
"5";"4";"—";"262";"262";"95";"Участвует в конкурсе";"1154155";"—"
"6";"3";"+";"260";"255";"88";"Участвует в конкурсе";"1158775";"—"
"7";"4";"—";"259";"254";"96";"Участвует в конкурсе";"1943832";"—"
"8";"5";"—";"255";"250";"96";"Участвует в конкурсе";"1702823";"—"
"9";"3";"—";"254";"254";"83";"Участвует в конкурсе";"1502011";"—"
"10";"3";"—";"252";"252";"80";"Участвует в конкурсе";"1729612";"—"
"11";"2";"—";"248";"241";"76";"Участвует в конкурсе";"1107309";"—"
"12";"3";"—";"245";"245";"86";"Участвует в конкурсе";"1354045";"—"
"13";"3";"—";"243";"238";"64";"Участвует в конкурсе";"1772890";"—"
"14";"4";"—";"241";"236";"79";"Участвует в конкурсе";"1340686";"—"
"15";"2";"—";"235";"235";"76";"Участвует в конкурсе";"2090016";"—"
"16";"1";"+";"226";"226";"77";"Участвует в конкурсе";"1177045";"—"
"17";"2";"—";"225";"225";"68";"Участвует в конкурсе";"1426766";"—"
"18";"2";"—";"221";"221";"85";"Участвует в конкурсе";"942097";"—"
"19";"5";"—";"204";"204";"65";"Участвует в конкурсе";"1043435";"—"
