"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"303";"298";"98";"Участвует в конкурсе";"1408433";"—"
"2";"3";"—";"302";"297";"100";"Участвует в конкурсе";"1364439";"—"
"3";"4";"—";"300";"292";"100";"Участвует в конкурсе";"1287292";"—"
"4";"1";"—";"296";"291";"100";"Участвует в конкурсе";"1520134";"—"
"5";"5";"—";"296";"291";"98";"Участвует в конкурсе";"1692921";"—"
"6";"2";"—";"295";"295";"98";"Участвует в конкурсе";"1989161";"—"
"7";"1";"—";"294";"294";"98";"Участвует в конкурсе";"1569590";"—"
"8";"3";"—";"292";"287";"98";"Участвует в конкурсе";"1167293";"—"
"9";"3";"—";"290";"285";"100";"Участвует в конкурсе";"1795014";"—"
"10";"4";"—";"290";"285";"95";"Участвует в конкурсе";"1783449";"—"
"11";"4";"—";"289";"284";"98";"Участвует в конкурсе";"1625066";"—"
"12";"2";"—";"289";"284";"95";"Участвует в конкурсе";"2041874";"—"
"13";"2";"—";"289";"284";"93";"Участвует в конкурсе";"1193759";"—"
"14";"2";"—";"289";"284";"95";"Участвует в конкурсе";"2249798";"—"
"15";"2";"—";"289";"284";"98";"Участвует в конкурсе";"1119976";"—"
"16";"2";"—";"288";"283";"100";"Участвует в конкурсе";"1958859";"—"
"17";"2";"—";"288";"280";"90";"Участвует в конкурсе";"1538710";"—"
"18";"3";"—";"287";"287";"98";"Участвует в конкурсе";"1430938";"—"
"19";"2";"—";"287";"282";"95";"Участвует в конкурсе";"1493379";"—"
"20";"3";"—";"287";"282";"93";"Участвует в конкурсе";"1091647";"—"
"21";"4";"—";"287";"282";"96";"Участвует в конкурсе";"1517034";"—"
"22";"2";"—";"286";"281";"92";"Участвует в конкурсе";"1842852";"—"
"23";"3";"—";"286";"281";"90";"Участвует в конкурсе";"2343910";"—"
"24";"3";"—";"286";"281";"93";"Участвует в конкурсе";"1493568";"—"
"25";"4";"—";"286";"281";"93";"Участвует в конкурсе";"2099279";"—"
"26";"1";"—";"286";"281";"97";"Участвует в конкурсе";"1622877";"—"
"27";"2";"—";"286";"276";"100";"Участвует в конкурсе";"1618183";"—"
"28";"3";"—";"285";"285";"100";"Участвует в конкурсе";"1987680";"—"
"29";"2";"—";"285";"280";"98";"Участвует в конкурсе";"1206264";"—"
"30";"3";"—";"285";"280";"90";"Участвует в конкурсе";"1614058";"—"
