"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"+";"10";"0";"—";"Участвует в конкурсе";"993376";"—"
"2";"3";"—";"8";"0";"—";"Участвует в конкурсе";"1846843";"—"
"3";"2";"—";"5";"0";"—";"Участвует в конкурсе";"1164798";"—"
"4";"3";"—";"5";"0";"—";"Участвует в конкурсе";"1189152";"—"
"5";"2";"—";"5";"0";"—";"Участвует в конкурсе";"2226527";"—"
"6";"5";"—";"5";"0";"—";"Участвует в конкурсе";"1320065";"—"
"7";"2";"—";"5";"0";"—";"Участвует в конкурсе";"1963316";"—"
"8";"3";"+";"5";"0";"—";"Участвует в конкурсе";"1435777";"—"
"9";"2";"—";"5";"0";"—";"Участвует в конкурсе";"1791537";"—"
"10";"4";"—";"5";"0";"—";"Участвует в конкурсе";"2088753";"—"
"11";"2";"—";"0";"0";"—";"Участвует в конкурсе";"1574329";"—"
"12";"3";"—";"0";"0";"—";"Участвует в конкурсе";"1672173";"—"
"13";"3";"—";"0";"0";"—";"Участвует в конкурсе";"1652837";"—"
"14";"1";"—";"0";"0";"—";"Участвует в конкурсе";"996933";"—"
"15";"4";"+";"0";"0";"—";"Участвует в конкурсе";"1771361";"—"
"16";"4";"—";"0";"0";"—";"Участвует в конкурсе";"1314273";"—"
"17";"2";"—";"0";"0";"—";"Участвует в конкурсе";"1543347";"—"
"18";"3";"+";"0";"0";"—";"Участвует в конкурсе";"1636523";"—"
"19";"5";"+";"0";"0";"—";"Участвует в конкурсе";"2226961";"—"
"20";"3";"—";"0";"0";"—";"Участвует в конкурсе";"1349666";"—"
"21";"3";"—";"0";"0";"—";"Участвует в конкурсе";"1634753";"—"
"22";"2";"—";"0";"0";"—";"Участвует в конкурсе";"1949366";"—"
"23";"3";"—";"0";"0";"—";"Участвует в конкурсе";"1928698";"—"
"24";"3";"—";"0";"0";"—";"Участвует в конкурсе";"1720387";"—"
"25";"3";"+";"0";"0";"—";"Участвует в конкурсе";"1787314";"—"
"26";"3";"—";"0";"0";"—";"Участвует в конкурсе";"1088490";"—"
"27";"3";"—";"0";"0";"—";"Участвует в конкурсе";"1095759";"—"
"28";"3";"—";"0";"0";"—";"Участвует в конкурсе";"1885659";"—"
"29";"3";"+";"0";"0";"—";"Участвует в конкурсе";"2366917";"—"
"30";"4";"—";"0";"0";"—";"Участвует в конкурсе";"1491439";"—"
"31";"2";"—";"290";"280";"90";"Участвует в конкурсе";"1538710";"—"
"32";"3";"+";"289";"289";"94";"Участвует в конкурсе";"1254667";"—"
"33";"4";"—";"288";"288";"98";"Участвует в конкурсе";"1468367";"—"
"34";"3";"+";"285";"280";"93";"Участвует в конкурсе";"2336007";"—"
"35";"2";"—";"282";"277";"98";"Участвует в конкурсе";"1844173";"—"
"36";"1";"—";"282";"277";"98";"Участвует в конкурсе";"1436173";"—"
"37";"1";"—";"280";"280";"94";"Участвует в конкурсе";"1907930";"—"
"38";"2";"—";"280";"280";"95";"Участвует в конкурсе";"1617160";"—"
"39";"3";"—";"280";"275";"88";"Участвует в конкурсе";"2051315";"—"
"40";"3";"—";"280";"275";"92";"Участвует в конкурсе";"2306608";"—"
"41";"5";"—";"279";"274";"98";"Участвует в конкурсе";"1413135";"—"
"42";"2";"—";"279";"271";"96";"Участвует в конкурсе";"1637333";"—"
"43";"3";"—";"277";"272";"95";"Участвует в конкурсе";"1784131";"—"
"44";"2";"—";"277";"272";"95";"Участвует в конкурсе";"1460947";"—"
"45";"2";"+";"277";"272";"98";"Участвует в конкурсе";"1209649";"—"
"46";"3";"—";"276";"271";"93";"Участвует в конкурсе";"1177016";"—"
"47";"2";"—";"276";"271";"93";"Участвует в конкурсе";"1461136";"—"
"48";"2";"—";"275";"275";"88";"Участвует в конкурсе";"1576243";"—"
"49";"2";"—";"273";"273";"96";"Участвует в конкурсе";"1367140";"—"
"50";"3";"—";"271";"266";"88";"Участвует в конкурсе";"2078283";"—"
"51";"1";"—";"270";"265";"93";"Участвует в конкурсе";"2310916";"—"
"52";"2";"—";"269";"264";"85";"Участвует в конкурсе";"1561934";"—"
"53";"3";"—";"269";"264";"80";"Участвует в конкурсе";"1072951";"—"
"54";"3";"+";"268";"263";"92";"Участвует в конкурсе";"1817624";"—"
"55";"3";"—";"265";"265";"93";"Участвует в конкурсе";"976610";"—"
"56";"3";"—";"265";"260";"83";"Участвует в конкурсе";"1567095";"—"
"57";"3";"—";"263";"263";"88";"Участвует в конкурсе";"2040680";"—"
"58";"5";"—";"263";"263";"90";"Участвует в конкурсе";"1647787";"—"
"59";"2";"—";"263";"263";"98";"Участвует в конкурсе";"1481088";"—"
"60";"2";"—";"262";"257";"88";"Участвует в конкурсе";"1580019";"—"
"61";"3";"+";"262";"257";"88";"Участвует в конкурсе";"2243048";"—"
"62";"3";"—";"261";"256";"85";"Участвует в конкурсе";"1442377";"—"
"63";"3";"—";"261";"256";"84";"Участвует в конкурсе";"1496795";"—"
"64";"4";"—";"260";"255";"78";"Участвует в конкурсе";"985802";"—"
"65";"4";"—";"259";"259";"78";"Участвует в конкурсе";"1314230";"—"
"66";"3";"—";"259";"254";"72";"Участвует в конкурсе";"1260579";"—"
"67";"3";"—";"258";"253";"83";"Участвует в конкурсе";"1200226";"—"
"68";"3";"—";"257";"257";"95";"Участвует в конкурсе";"1192837";"—"
"69";"5";"—";"257";"252";"85";"Участвует в конкурсе";"1181405";"—"
"70";"3";"—";"256";"256";"83";"Участвует в конкурсе";"1328148";"—"
"71";"4";"—";"256";"251";"92";"Участвует в конкурсе";"1582045";"—"
"72";"4";"—";"254";"249";"88";"Участвует в конкурсе";"2001761";"—"
"73";"2";"+";"254";"249";"85";"Участвует в конкурсе";"2114620";"—"
"74";"2";"—";"252";"252";"82";"Участвует в конкурсе";"1476172";"—"
"75";"4";"—";"250";"250";"85";"Участвует в конкурсе";"1848141";"—"
"76";"3";"—";"250";"250";"83";"Участвует в конкурсе";"1988346";"—"
"77";"3";"—";"250";"243";"78";"Участвует в конкурсе";"1497744";"—"
"78";"3";"—";"248";"248";"80";"Участвует в конкурсе";"1788643";"—"
"79";"1";"—";"247";"247";"80";"Участвует в конкурсе";"1515927";"—"
"80";"2";"—";"246";"246";"92";"Участвует в конкурсе";"1481481";"—"
"81";"3";"+";"246";"241";"86";"Участвует в конкурсе";"1269588";"—"
"82";"3";"—";"246";"241";"90";"Участвует в конкурсе";"985582";"—"
"83";"3";"—";"242";"242";"80";"Участвует в конкурсе";"1460097";"—"
"84";"4";"—";"241";"241";"84";"Участвует в конкурсе";"1665935";"—"
"85";"1";"—";"241";"236";"64";"Участвует в конкурсе";"2257218";"—"
"86";"3";"—";"241";"236";"80";"Участвует в конкурсе";"1637382";"—"
"87";"1";"—";"241";"236";"76";"Участвует в конкурсе";"1142050";"—"
"88";"1";"—";"240";"240";"67";"Участвует в конкурсе";"1955666";"—"
"89";"3";"—";"239";"239";"80";"Участвует в конкурсе";"1794343";"—"
"90";"1";"—";"239";"234";"71";"Участвует в конкурсе";"1334565";"—"
"91";"2";"—";"238";"238";"82";"Участвует в конкурсе";"1182241";"—"
"92";"2";"—";"236";"236";"77";"Участвует в конкурсе";"1359250";"—"
"93";"1";"—";"235";"235";"64";"Участвует в конкурсе";"1419790";"—"
"94";"3";"—";"235";"235";"86";"Участвует в конкурсе";"2136007";"—"
"95";"2";"+";"235";"235";"80";"Участвует в конкурсе";"1787630";"—"
"96";"3";"—";"233";"233";"78";"Участвует в конкурсе";"2041960";"—"
"97";"5";"+";"233";"233";"80";"Участвует в конкурсе";"1247202";"—"
"98";"4";"—";"232";"232";"83";"Участвует в конкурсе";"1596671";"—"
"99";"1";"—";"232";"227";"64";"Участвует в конкурсе";"2255497";"—"
"100";"1";"—";"230";"230";"75";"Участвует в конкурсе";"1764232";"—"
"101";"3";"—";"228";"228";"76";"Участвует в конкурсе";"1264925";"—"
"102";"3";"—";"227";"222";"72";"Участвует в конкурсе";"1980947";"—"
"103";"1";"—";"227";"219";"64";"Участвует в конкурсе";"1639841";"—"
"104";"1";"—";"226";"226";"75";"Участвует в конкурсе";"1018247";"—"
"105";"1";"—";"225";"225";"75";"Участвует в конкурсе";"1284030";"—"
"106";"4";"—";"225";"225";"72";"Участвует в конкурсе";"1599263";"—"
"107";"3";"—";"223";"218";"76";"Участвует в конкурсе";"1347669";"—"
"108";"2";"—";"223";"218";"67";"Участвует в конкурсе";"1229360";"—"
"109";"3";"—";"220";"217";"75";"Участвует в конкурсе";"1203255";"—"
"110";"1";"—";"219";"219";"62";"Участвует в конкурсе";"1365633";"—"
"111";"3";"—";"218";"218";"67";"Участвует в конкурсе";"1335741";"—"
"112";"2";"—";"217";"217";"64";"Участвует в конкурсе";"1935128";"—"
"113";"1";"—";"215";"210";"60";"Участвует в конкурсе";"2122234";"—"
"114";"2";"—";"214";"214";"67";"Участвует в конкурсе";"1094576";"—"
"115";"1";"—";"213";"213";"64";"Участвует в конкурсе";"1880265";"—"
"116";"2";"+";"211";"211";"68";"Участвует в конкурсе";"1553132";"—"
"117";"2";"—";"210";"210";"70";"Участвует в конкурсе";"1581011";"—"
"118";"1";"—";"208";"208";"64";"Участвует в конкурсе";"2228487";"—"
"119";"1";"—";"207";"207";"62";"Участвует в конкурсе";"1516713";"—"
"120";"3";"—";"201";"195";"64";"Участвует в конкурсе";"1444445";"—"
