"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"293";"288";"96";"Участвует в конкурсе";"1643973";"—"
"2";"1";"—";"293";"285";"96";"Участвует в конкурсе";"1996184";"—"
"3";"1";"—";"292";"287";"98";"Участвует в конкурсе";"1513520";"—"
"4";"2";"—";"291";"286";"94";"Участвует в конкурсе";"1581079";"—"
"5";"1";"—";"291";"286";"92";"Участвует в конкурсе";"1878602";"—"
"6";"1";"—";"290";"285";"96";"Участвует в конкурсе";"1179609";"—"
"7";"1";"—";"290";"285";"98";"Участвует в конкурсе";"1265565";"—"
"8";"1";"—";"289";"284";"96";"Участвует в конкурсе";"1626132";"—"
"9";"1";"—";"287";"282";"96";"Участвует в конкурсе";"1644707";"—"
"10";"1";"—";"287";"277";"92";"Участвует в конкурсе";"1280444";"—"
"11";"1";"—";"286";"276";"92";"Участвует в конкурсе";"1851149";"—"
"12";"1";"—";"285";"277";"100";"Участвует в конкурсе";"1326014";"—"
"13";"5";"—";"283";"278";"85";"Участвует в конкурсе";"965534";"—"
"14";"4";"—";"283";"278";"92";"Участвует в конкурсе";"1835377";"—"
"15";"1";"—";"283";"278";"100";"Участвует в конкурсе";"2263374";"—"
"16";"1";"—";"282";"277";"100";"Участвует в конкурсе";"1211850";"—"
"17";"1";"—";"282";"277";"94";"Участвует в конкурсе";"1346868";"—"
"18";"1";"—";"282";"277";"96";"Участвует в конкурсе";"1640368";"—"
"19";"1";"—";"280";"275";"81";"Участвует в конкурсе";"991360";"—"
"20";"1";"—";"280";"275";"90";"Участвует в конкурсе";"1340576";"—"
"21";"2";"—";"280";"275";"86";"Участвует в конкурсе";"2055485";"—"
"22";"1";"—";"278";"273";"94";"Участвует в конкурсе";"1897628";"—"
"23";"1";"—";"277";"272";"92";"Участвует в конкурсе";"1906321";"—"
"24";"1";"—";"277";"272";"86";"Участвует в конкурсе";"1367559";"—"
"25";"1";"—";"277";"272";"95";"Участвует в конкурсе";"2181941";"—"
"26";"1";"—";"277";"272";"94";"Участвует в конкурсе";"1852250";"—"
"27";"4";"—";"277";"272";"98";"Участвует в конкурсе";"1209649";"—"
"28";"1";"—";"277";"272";"92";"Участвует в конкурсе";"1201714";"—"
"29";"1";"—";"276";"271";"98";"Участвует в конкурсе";"1575510";"—"
"30";"1";"—";"276";"271";"88";"Участвует в конкурсе";"1363014";"—"
"31";"1";"—";"276";"271";"94";"Участвует в конкурсе";"1204679";"—"
"32";"1";"—";"276";"271";"96";"Участвует в конкурсе";"1194668";"—"
"33";"1";"—";"276";"271";"96";"Участвует в конкурсе";"1290720";"—"
"34";"1";"—";"275";"272";"88";"Участвует в конкурсе";"1410656";"—"
"35";"1";"—";"275";"270";"90";"Участвует в конкурсе";"1261743";"—"
"36";"2";"—";"275";"270";"98";"Участвует в конкурсе";"1418496";"—"
"37";"1";"—";"275";"265";"90";"Участвует в конкурсе";"1566072";"—"
"38";"1";"—";"274";"274";"88";"Участвует в конкурсе";"1396745";"—"
"39";"3";"—";"274";"274";"90";"Участвует в конкурсе";"1579234";"—"
"40";"3";"—";"274";"269";"88";"Участвует в конкурсе";"2128570";"—"
"41";"1";"—";"274";"269";"92";"Участвует в конкурсе";"1607639";"—"
"42";"1";"—";"274";"269";"94";"Участвует в конкурсе";"2173957";"—"
"43";"1";"—";"274";"269";"94";"Участвует в конкурсе";"1649864";"—"
"44";"2";"—";"273";"273";"95";"Участвует в конкурсе";"1960786";"—"
"45";"1";"—";"273";"273";"90";"Участвует в конкурсе";"1269578";"—"
"46";"3";"—";"273";"273";"95";"Участвует в конкурсе";"2313837";"—"
"47";"1";"—";"273";"268";"86";"Участвует в конкурсе";"2100812";"—"
"48";"1";"—";"273";"268";"88";"Участвует в конкурсе";"2161514";"—"
"49";"2";"—";"273";"268";"100";"Участвует в конкурсе";"1712385";"—"
"50";"1";"—";"273";"268";"92";"Участвует в конкурсе";"1999689";"—"
"51";"1";"—";"273";"268";"100";"Участвует в конкурсе";"1609127";"—"
"52";"2";"—";"272";"267";"92";"Участвует в конкурсе";"1714042";"—"
"53";"1";"—";"272";"267";"86";"Участвует в конкурсе";"1842405";"—"
"54";"1";"—";"272";"267";"88";"Участвует в конкурсе";"1716037";"—"
"55";"1";"—";"272";"267";"94";"Участвует в конкурсе";"1367798";"—"
"56";"1";"—";"272";"267";"94";"Участвует в конкурсе";"1997520";"—"
"57";"2";"—";"272";"267";"92";"Участвует в конкурсе";"1323397";"—"
"58";"1";"—";"272";"267";"92";"Участвует в конкурсе";"2203106";"—"
"59";"3";"—";"272";"267";"94";"Участвует в конкурсе";"1200363";"—"
"60";"1";"—";"272";"267";"98";"Участвует в конкурсе";"1794627";"—"
"61";"1";"—";"272";"267";"90";"Участвует в конкурсе";"1247276";"—"
"62";"1";"—";"272";"267";"100";"Участвует в конкурсе";"1955265";"—"
"63";"2";"—";"272";"267";"92";"Участвует в конкурсе";"1948985";"—"
"64";"2";"—";"271";"266";"88";"Участвует в конкурсе";"1260287";"—"
"65";"1";"—";"271";"266";"88";"Участвует в конкурсе";"1291677";"—"
"66";"1";"—";"271";"266";"90";"Участвует в конкурсе";"1190600";"—"
"67";"3";"—";"271";"266";"96";"Участвует в конкурсе";"1267477";"—"
"68";"5";"—";"270";"265";"90";"Участвует в конкурсе";"1181864";"—"
"69";"1";"—";"270";"265";"84";"Участвует в конкурсе";"1605881";"—"
"70";"1";"—";"270";"265";"86";"Участвует в конкурсе";"1699231";"—"
"71";"2";"—";"270";"265";"84";"Участвует в конкурсе";"1796004";"—"
"72";"1";"—";"270";"265";"88";"Участвует в конкурсе";"1789582";"—"
"73";"4";"—";"270";"265";"90";"Участвует в конкурсе";"1255904";"—"
"74";"1";"—";"270";"265";"92";"Участвует в конкурсе";"1645942";"—"
"75";"1";"—";"269";"264";"90";"Участвует в конкурсе";"1725060";"—"
"76";"1";"—";"269";"264";"90";"Участвует в конкурсе";"1912124";"—"
