"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1712385";"—"
"2";"1";"—";"291";"286";"94";"Участвует в конкурсе";"1581079";"—"
"3";"2";"—";"290";"285";"96";"Участвует в конкурсе";"1179609";"—"
"4";"2";"—";"290";"285";"98";"Участвует в конкурсе";"1265565";"—"
"5";"2";"—";"287";"282";"96";"Участвует в конкурсе";"1644707";"—"
"6";"2";"—";"287";"277";"92";"Участвует в конкурсе";"1280444";"—"
"7";"3";"—";"286";"276";"92";"Участвует в конкурсе";"1851149";"—"
"8";"2";"—";"285";"277";"100";"Участвует в конкурсе";"1326014";"—"
"9";"4";"—";"283";"278";"85";"Участвует в конкурсе";"965534";"—"
"10";"2";"—";"282";"277";"100";"Участвует в конкурсе";"1211850";"—"
"11";"2";"—";"282";"277";"94";"Участвует в конкурсе";"1346868";"—"
"12";"2";"—";"282";"277";"96";"Участвует в конкурсе";"1640368";"—"
"13";"2";"—";"280";"275";"90";"Участвует в конкурсе";"1340576";"—"
"14";"1";"—";"280";"275";"86";"Участвует в конкурсе";"2055485";"—"
"15";"2";"—";"278";"273";"94";"Участвует в конкурсе";"1897628";"—"
"16";"2";"—";"277";"272";"92";"Участвует в конкурсе";"1906321";"—"
"17";"2";"—";"277";"272";"94";"Участвует в конкурсе";"1852250";"—"
"18";"3";"—";"277";"272";"98";"Участвует в конкурсе";"1209649";"—"
"19";"1";"—";"277";"272";"92";"Участвует в конкурсе";"1981976";"—"
"20";"2";"—";"276";"271";"98";"Участвует в конкурсе";"1575510";"—"
"21";"2";"—";"276";"271";"88";"Участвует в конкурсе";"1363014";"—"
"22";"2";"—";"276";"271";"96";"Участвует в конкурсе";"1194668";"—"
"23";"2";"—";"276";"271";"96";"Участвует в конкурсе";"1290720";"—"
"24";"1";"—";"275";"270";"98";"Участвует в конкурсе";"1418496";"—"
"25";"2";"—";"275";"265";"90";"Участвует в конкурсе";"1566072";"—"
"26";"2";"—";"274";"274";"88";"Участвует в конкурсе";"1396745";"—"
"27";"4";"—";"274";"274";"90";"Участвует в конкурсе";"1579234";"—"
"28";"2";"—";"274";"269";"92";"Участвует в конкурсе";"1607639";"—"
"29";"3";"—";"274";"269";"94";"Участвует в конкурсе";"2173957";"—"
"30";"2";"—";"274";"269";"94";"Участвует в конкурсе";"1649864";"—"
"31";"2";"—";"273";"268";"86";"Участвует в конкурсе";"2100812";"—"
"32";"2";"—";"273";"268";"88";"Участвует в конкурсе";"2161514";"—"
"33";"2";"—";"273";"268";"92";"Участвует в конкурсе";"1999689";"—"
"34";"2";"—";"273";"268";"100";"Участвует в конкурсе";"1609127";"—"
"35";"2";"—";"273";"265";"96";"Участвует в конкурсе";"1285188";"—"
"36";"3";"—";"272";"272";"88";"Участвует в конкурсе";"1410656";"—"
"37";"2";"—";"272";"267";"88";"Участвует в конкурсе";"1716037";"—"
"38";"2";"—";"272";"267";"94";"Участвует в конкурсе";"1367798";"—"
"39";"2";"—";"272";"267";"94";"Участвует в конкурсе";"1997520";"—"
"40";"1";"—";"272";"267";"92";"Участвует в конкурсе";"1323397";"—"
"41";"2";"—";"272";"267";"92";"Участвует в конкурсе";"2203106";"—"
"42";"2";"—";"272";"267";"98";"Участвует в конкурсе";"1794627";"—"
"43";"2";"—";"272";"267";"90";"Участвует в конкурсе";"1247276";"—"
"44";"2";"—";"272";"267";"100";"Участвует в конкурсе";"1955265";"—"
"45";"3";"—";"272";"267";"92";"Участвует в конкурсе";"1948985";"—"
"46";"2";"—";"271";"266";"90";"Участвует в конкурсе";"1190600";"—"
"47";"2";"—";"271";"266";"96";"Участвует в конкурсе";"1267477";"—"
"48";"4";"—";"270";"265";"90";"Участвует в конкурсе";"1181864";"—"
"49";"2";"—";"270";"265";"84";"Участвует в конкурсе";"1605881";"—"
"50";"1";"—";"270";"265";"84";"Участвует в конкурсе";"1796004";"—"
"51";"2";"—";"270";"265";"88";"Участвует в конкурсе";"1789582";"—"
"52";"2";"—";"270";"265";"92";"Участвует в конкурсе";"1645942";"—"
"53";"2";"—";"269";"264";"90";"Участвует в конкурсе";"1912124";"—"
"54";"1";"—";"269";"264";"90";"Участвует в конкурсе";"2271802";"—"
"55";"2";"—";"269";"264";"81";"Участвует в конкурсе";"1502175";"—"
"56";"2";"—";"269";"264";"92";"Участвует в конкурсе";"2138335";"—"
"57";"2";"—";"268";"263";"82";"Участвует в конкурсе";"1878118";"—"
"58";"2";"—";"268";"263";"90";"Участвует в конкурсе";"2053720";"—"
"59";"1";"—";"268";"263";"92";"Участвует в конкурсе";"1903806";"—"
"60";"1";"—";"268";"263";"100";"Участвует в конкурсе";"1921901";"—"
"61";"3";"—";"268";"263";"92";"Участвует в конкурсе";"2100697";"—"
"62";"1";"—";"267";"267";"93";"Участвует в конкурсе";"1316679";"—"
"63";"2";"—";"267";"264";"98";"Участвует в конкурсе";"982854";"—"
"64";"2";"—";"267";"262";"90";"Участвует в конкурсе";"1541929";"—"
"65";"2";"—";"267";"259";"90";"Участвует в конкурсе";"1797967";"—"
"66";"3";"—";"267";"257";"90";"Участвует в конкурсе";"1493697";"—"
"67";"4";"—";"266";"266";"88";"Участвует в конкурсе";"1907635";"—"
"68";"1";"—";"266";"261";"80";"Участвует в конкурсе";"1591295";"—"
"69";"2";"—";"266";"261";"85";"Участвует в конкурсе";"1290023";"—"
"70";"2";"—";"266";"261";"84";"Участвует в конкурсе";"1075680";"—"
"71";"1";"—";"266";"261";"84";"Участвует в конкурсе";"2100714";"—"
"72";"1";"—";"266";"261";"86";"Участвует в конкурсе";"2179625";"—"
"73";"2";"—";"266";"261";"98";"Участвует в конкурсе";"1334054";"—"
"74";"2";"—";"266";"261";"88";"Участвует в конкурсе";"1847579";"—"
"75";"2";"—";"266";"261";"85";"Участвует в конкурсе";"1327050";"—"
"76";"3";"—";"266";"261";"88";"Участвует в конкурсе";"2181216";"—"
"77";"2";"—";"265";"265";"90";"Участвует в конкурсе";"1611202";"—"
"78";"2";"—";"265";"265";"90";"—";"1938589";"—"
"79";"2";"—";"265";"265";"90";"Участвует в конкурсе";"2242854";"—"
"80";"1";"—";"265";"260";"90";"Участвует в конкурсе";"1596085";"—"
"81";"3";"—";"265";"260";"93";"Участвует в конкурсе";"1337682";"—"
"82";"2";"—";"265";"260";"88";"Участвует в конкурсе";"1410246";"—"
"83";"2";"—";"264";"259";"86";"Участвует в конкурсе";"1640408";"—"
"84";"3";"—";"264";"259";"88";"Участвует в конкурсе";"1519139";"—"
"85";"2";"—";"264";"259";"96";"Участвует в конкурсе";"1596679";"—"
"86";"2";"—";"264";"256";"90";"Участвует в конкурсе";"1712390";"—"
"87";"2";"—";"263";"263";"86";"Участвует в конкурсе";"1393196";"—"
"88";"1";"—";"263";"263";"90";"Участвует в конкурсе";"1210547";"—"
"89";"4";"—";"263";"263";"90";"Участвует в конкурсе";"2280791";"—"
"90";"2";"—";"263";"263";"88";"Участвует в конкурсе";"1723397";"—"
"91";"3";"—";"263";"263";"85";"Участвует в конкурсе";"1768392";"—"
"92";"2";"—";"263";"263";"92";"Участвует в конкурсе";"1988487";"—"
"93";"2";"—";"263";"258";"85";"Участвует в конкурсе";"2001526";"—"
"94";"4";"—";"262";"262";"78";"Участвует в конкурсе";"1350730";"—"
"95";"1";"—";"262";"262";"80";"Участвует в конкурсе";"2321419";"—"
"96";"2";"—";"262";"262";"90";"Участвует в конкурсе";"1627123";"—"
"97";"2";"—";"262";"257";"86";"Участвует в конкурсе";"1635170";"—"
"98";"2";"—";"262";"257";"86";"Участвует в конкурсе";"1785115";"—"
"99";"3";"—";"261";"261";"78";"Участвует в конкурсе";"1804309";"—"
"100";"2";"—";"261";"261";"83";"На рассмотрении";"1712296";"—"
"101";"2";"—";"261";"256";"73";"Участвует в конкурсе";"1986668";"—"
"102";"2";"—";"261";"256";"79";"Участвует в конкурсе";"1774611";"—"
"103";"2";"—";"261";"256";"90";"Участвует в конкурсе";"2096924";"—"
"104";"2";"—";"261";"256";"97";"Участвует в конкурсе";"1456015";"—"
"105";"2";"—";"261";"256";"90";"Участвует в конкурсе";"1725090";"—"
"106";"2";"—";"261";"256";"84";"Участвует в конкурсе";"1961824";"—"
"107";"1";"—";"260";"260";"84";"Участвует в конкурсе";"1402813";"—"
"108";"1";"—";"260";"255";"86";"Участвует в конкурсе";"1497754";"—"
"109";"2";"—";"260";"255";"86";"Участвует в конкурсе";"2024515";"—"
"110";"2";"—";"260";"255";"90";"Участвует в конкурсе";"1752323";"—"
"111";"2";"—";"260";"255";"92";"Участвует в конкурсе";"1586080";"—"
"112";"2";"—";"260";"255";"94";"Участвует в конкурсе";"1702221";"—"
"113";"1";"—";"260";"255";"86";"Участвует в конкурсе";"2286554";"—"
"114";"1";"—";"260";"255";"90";"Участвует в конкурсе";"1813393";"—"
"115";"2";"—";"260";"255";"90";"Участвует в конкурсе";"1383207";"—"
"116";"4";"—";"259";"259";"90";"Участвует в конкурсе";"1334659";"—"
"117";"1";"—";"259";"259";"81";"Участвует в конкурсе";"1564898";"—"
"118";"1";"—";"259";"259";"84";"Участвует в конкурсе";"1852690";"—"
"119";"1";"—";"259";"254";"81";"Участвует в конкурсе";"2135050";"—"
