"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"10";"0";"—";"Участвует в конкурсе";"1600338";"—"
"2";"5";"—";"302";"297";"100";"Участвует в конкурсе";"1364439";"—"
"3";"2";"—";"299";"294";"100";"Участвует в конкурсе";"1620311";"—"
"4";"3";"—";"299";"294";"95";"Участвует в конкурсе";"1599106";"—"
"5";"1";"—";"298";"290";"98";"Участвует в конкурсе";"1246980";"—"
"6";"3";"—";"297";"292";"95";"Участвует в конкурсе";"1291399";"—"
"7";"1";"—";"296";"291";"100";"Участвует в конкурсе";"1566413";"—"
"8";"3";"—";"296";"291";"98";"Участвует в конкурсе";"1692921";"—"
"9";"4";"—";"295";"290";"90";"Участвует в конкурсе";"1408433";"—"
"10";"2";"—";"294";"294";"98";"Участвует в конкурсе";"1569590";"—"
"11";"4";"—";"292";"287";"98";"Участвует в конкурсе";"1167293";"—"
"12";"3";"—";"292";"287";"95";"Участвует в конкурсе";"1310411";"—"
"13";"1";"—";"292";"284";"93";"Участвует в конкурсе";"1193759";"—"
"14";"3";"—";"291";"286";"95";"Участвует в конкурсе";"1520134";"—"
"15";"3";"—";"291";"286";"94";"Участвует в конкурсе";"1581079";"—"
"16";"2";"—";"291";"286";"98";"Участвует в конкурсе";"1780961";"—"
"17";"2";"—";"291";"286";"98";"Участвует в конкурсе";"2297812";"—"
"18";"3";"—";"291";"281";"95";"Участвует в конкурсе";"2052288";"—"
"19";"2";"—";"290";"290";"98";"Участвует в конкурсе";"1420886";"—"
"20";"1";"—";"290";"285";"94";"Участвует в конкурсе";"1513279";"—"
"21";"4";"—";"290";"285";"100";"Участвует в конкурсе";"1795014";"—"
"22";"3";"—";"290";"285";"95";"Участвует в конкурсе";"1783449";"—"
"23";"1";"—";"290";"285";"100";"Участвует в конкурсе";"1501895";"—"
"24";"2";"—";"289";"286";"100";"Участвует в конкурсе";"1977911";"—"
"25";"5";"—";"289";"284";"98";"Участвует в конкурсе";"1625066";"—"
"26";"1";"—";"289";"284";"95";"Участвует в конкурсе";"2041874";"—"
"27";"1";"—";"289";"284";"93";"Участвует в конкурсе";"1443111";"—"
"28";"3";"—";"289";"284";"95";"Участвует в конкурсе";"2249798";"—"
"29";"2";"—";"289";"284";"96";"Участвует в конкурсе";"1626132";"—"
"30";"3";"—";"289";"279";"98";"Участвует в конкурсе";"1350561";"—"
"31";"2";"—";"288";"280";"95";"Участвует в конкурсе";"1517544";"—"
"32";"1";"—";"288";"280";"90";"Участвует в конкурсе";"1538710";"—"
"33";"3";"—";"287";"287";"95";"Участвует в конкурсе";"1422687";"—"
"34";"3";"—";"287";"282";"95";"Участвует в конкурсе";"1493379";"—"
"35";"1";"—";"287";"282";"95";"Участвует в конкурсе";"1776131";"—"
"36";"2";"—";"286";"281";"90";"Участвует в конкурсе";"1635319";"—"
"37";"4";"—";"286";"281";"90";"Участвует в конкурсе";"2343910";"—"
"38";"3";"—";"286";"281";"93";"Участвует в конкурсе";"2099279";"—"
"39";"3";"—";"286";"281";"100";"Участвует в конкурсе";"1431881";"—"
"40";"2";"—";"286";"281";"95";"Участвует в конкурсе";"1854486";"—"
"41";"2";"—";"285";"285";"100";"Участвует в конкурсе";"2264692";"—"
"42";"2";"—";"285";"285";"100";"Участвует в конкурсе";"1987680";"—"
"43";"4";"—";"285";"280";"98";"Участвует в конкурсе";"1206264";"—"
"44";"3";"—";"285";"280";"88";"Участвует в конкурсе";"1287292";"—"
"45";"1";"—";"285";"280";"94";"Участвует в конкурсе";"1119917";"—"
"46";"3";"—";"284";"279";"98";"Участвует в конкурсе";"1843556";"—"
"47";"1";"—";"284";"279";"93";"Участвует в конкурсе";"1119976";"—"
"48";"3";"—";"284";"279";"90";"Участвует в конкурсе";"1996184";"—"
"49";"2";"—";"283";"278";"85";"Участвует в конкурсе";"965534";"—"
"50";"2";"—";"283";"278";"90";"Участвует в конкурсе";"1442758";"—"
"51";"3";"—";"283";"278";"88";"Участвует в конкурсе";"1323249";"—"
"52";"4";"—";"283";"278";"85";"Участвует в конкурсе";"1200904";"—"
"53";"4";"—";"283";"278";"85";"Участвует в конкурсе";"2238966";"—"
"54";"2";"—";"283";"278";"93";"Участвует в конкурсе";"1272122";"—"
"55";"1";"—";"283";"278";"94";"Участвует в конкурсе";"1386545";"—"
"56";"3";"—";"282";"277";"95";"Участвует в конкурсе";"1521692";"—"
"57";"3";"—";"282";"277";"90";"Участвует в конкурсе";"2264458";"—"
"58";"4";"—";"282";"277";"85";"Участвует в конкурсе";"2314652";"—"
"59";"3";"—";"282";"272";"95";"Участвует в конкурсе";"2181941";"—"
"60";"4";"—";"281";"281";"95";"Участвует в конкурсе";"1815179";"—"
"61";"3";"—";"281";"281";"100";"Участвует в конкурсе";"2268515";"—"
"62";"2";"—";"281";"276";"95";"Участвует в конкурсе";"1198929";"—"
"63";"5";"—";"281";"276";"95";"Участвует в конкурсе";"2391145";"—"
"64";"4";"—";"281";"276";"90";"Участвует в конкурсе";"2415700";"—"
"65";"2";"—";"281";"276";"92";"Участвует в конкурсе";"1851149";"—"
"66";"3";"—";"281";"273";"88";"Участвует в конкурсе";"2044273";"—"
"67";"2";"—";"280";"275";"100";"Участвует в конкурсе";"1289304";"—"
"68";"3";"—";"280";"275";"90";"Участвует в конкурсе";"1397016";"—"
"69";"2";"—";"280";"275";"90";"Участвует в конкурсе";"2040968";"—"
"70";"1";"—";"279";"279";"85";"Участвует в конкурсе";"1854564";"—"
"71";"1";"—";"279";"274";"88";"Участвует в конкурсе";"1335031";"—"
"72";"1";"—";"279";"274";"88";"Участвует в конкурсе";"2227210";"—"
"73";"3";"—";"279";"274";"93";"Участвует в конкурсе";"1212550";"—"
"74";"3";"—";"279";"274";"93";"Участвует в конкурсе";"2262047";"—"
"75";"1";"—";"279";"274";"80";"Участвует в конкурсе";"1857685";"—"
"76";"1";"—";"279";"274";"85";"Участвует в конкурсе";"2168570";"—"
"77";"3";"—";"279";"274";"90";"Участвует в конкурсе";"2228050";"—"
"78";"1";"—";"279";"269";"88";"Участвует в конкурсе";"2128570";"—"
"79";"3";"—";"278";"278";"88";"Участвует в конкурсе";"1340187";"—"
"80";"3";"—";"278";"273";"90";"Участвует в конкурсе";"1628027";"—"
"81";"4";"—";"278";"273";"88";"Участвует в конкурсе";"1266273";"—"
"82";"1";"—";"278";"273";"98";"Участвует в конкурсе";"1593339";"—"
"83";"2";"—";"278";"273";"100";"Участвует в конкурсе";"2244776";"—"
