"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"300";"295";"98";"Участвует в конкурсе";"1287124";"—"
"2";"2";"+";"294";"294";"98";"Участвует в конкурсе";"1569590";"—"
"3";"3";"—";"294";"289";"95";"Участвует в конкурсе";"1383312";"—"
"4";"2";"—";"289";"284";"95";"Участвует в конкурсе";"1250437";"—"
"5";"3";"—";"287";"282";"95";"Участвует в конкурсе";"1603405";"—"
"6";"2";"+";"286";"281";"95";"Участвует в конкурсе";"1854486";"—"
"7";"4";"—";"285";"280";"98";"Участвует в конкурсе";"1206264";"—"
"8";"3";"—";"284";"279";"90";"Участвует в конкурсе";"1987497";"—"
"9";"2";"—";"277";"277";"87";"Участвует в конкурсе";"1728313";"—"
"10";"3";"—";"276";"271";"88";"Участвует в конкурсе";"2405134";"—"
"11";"4";"—";"273";"268";"93";"Участвует в конкурсе";"2216332";"—"
"12";"1";"—";"272";"267";"93";"Участвует в конкурсе";"1178497";"—"
"13";"2";"—";"272";"267";"98";"Участвует в конкурсе";"985059";"—"
"14";"2";"—";"271";"266";"98";"Участвует в конкурсе";"1508756";"—"
"15";"3";"—";"270";"265";"80";"Участвует в конкурсе";"2177733";"—"
"16";"2";"—";"270";"265";"77";"Участвует в конкурсе";"1560374";"—"
"17";"2";"—";"270";"265";"90";"Участвует в конкурсе";"1618719";"—"
"18";"2";"—";"268";"268";"85";"Участвует в конкурсе";"1979523";"—"
"19";"2";"—";"267";"262";"95";"Участвует в конкурсе";"2089577";"—"
"20";"2";"—";"266";"261";"88";"Участвует в конкурсе";"1619038";"—"
"21";"2";"+";"266";"261";"80";"Участвует в конкурсе";"1628398";"—"
"22";"2";"+";"263";"258";"95";"Участвует в конкурсе";"1239868";"—"
"23";"1";"—";"261";"256";"93";"Участвует в конкурсе";"1203448";"—"
"24";"2";"—";"261";"256";"88";"Участвует в конкурсе";"1584145";"—"
"25";"1";"—";"257";"250";"90";"Участвует в конкурсе";"2274159";"—"
"26";"1";"—";"256";"251";"90";"Участвует в конкурсе";"1365727";"—"
"27";"2";"—";"255";"250";"98";"Участвует в конкурсе";"1442705";"—"
"28";"1";"—";"255";"250";"95";"Участвует в конкурсе";"1635896";"—"
"29";"4";"—";"253";"248";"85";"Участвует в конкурсе";"1353395";"—"
"30";"4";"—";"252";"247";"83";"Участвует в конкурсе";"1396902";"—"
"31";"2";"—";"252";"247";"72";"Участвует в конкурсе";"1381350";"—"
"32";"2";"—";"251";"251";"83";"Участвует в конкурсе";"1721114";"—"
"33";"2";"—";"251";"246";"83";"Участвует в конкурсе";"1727171";"—"
"34";"4";"—";"250";"250";"90";"Участвует в конкурсе";"1157734";"—"
"35";"2";"—";"249";"244";"78";"Участвует в конкурсе";"2220150";"—"
"36";"2";"—";"248";"243";"83";"Участвует в конкурсе";"1790298";"—"
"37";"2";"—";"243";"243";"90";"Участвует в конкурсе";"1576148";"—"
"38";"1";"—";"243";"238";"80";"Участвует в конкурсе";"1798366";"—"
"39";"2";"—";"241";"241";"83";"Участвует в конкурсе";"1404267";"—"
"40";"1";"—";"241";"236";"75";"Участвует в конкурсе";"1152097";"—"
"41";"3";"—";"238";"233";"70";"Участвует в конкурсе";"1240436";"—"
"42";"1";"—";"236";"236";"80";"Участвует в конкурсе";"1703362";"—"
"43";"2";"—";"234";"234";"80";"Участвует в конкурсе";"1238303";"—"
"44";"2";"+";"232";"227";"70";"Участвует в конкурсе";"1988237";"—"
"45";"3";"—";"230";"230";"80";"Участвует в конкурсе";"2224068";"—"
"46";"3";"—";"230";"225";"72";"Участвует в конкурсе";"1070526";"—"
"47";"3";"—";"226";"226";"75";"Участвует в конкурсе";"1267742";"—"
"48";"3";"+";"225";"225";"72";"Участвует в конкурсе";"2341062";"—"
"49";"1";"+";"225";"225";"67";"Участвует в конкурсе";"1840531";"—"
"50";"1";"—";"220";"220";"67";"Участвует в конкурсе";"1061234";"—"
"51";"3";"—";"220";"218";"67";"Участвует в конкурсе";"1212985";"—"
"52";"4";"—";"219";"219";"70";"Участвует в конкурсе";"1142755";"—"
"53";"1";"—";"217";"217";"70";"Участвует в конкурсе";"1443666";"—"
"54";"1";"—";"210";"205";"68";"Участвует в конкурсе";"1857213";"—"
