"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"5";"0";"—";"Участвует в конкурсе";"1597135";"—"
"2";"3";"—";"5";"0";"—";"Участвует в конкурсе";"2088753";"—"
"3";"1";"+";"0";"0";"—";"Участвует в конкурсе";"965737";"—"
"4";"1";"+";"0";"0";"—";"Участвует в конкурсе";"1215034";"—"
"5";"1";"—";"283";"278";"97";"Участвует в конкурсе";"1206348";"—"
"6";"1";"—";"280";"275";"97";"Участвует в конкурсе";"1539502";"—"
"7";"1";"—";"273";"273";"86";"Участвует в конкурсе";"1622034";"—"
"8";"1";"—";"271";"266";"95";"Участвует в конкурсе";"1257827";"—"
"9";"1";"—";"271";"261";"94";"Участвует в конкурсе";"1243684";"—"
"10";"1";"—";"251";"246";"83";"Участвует в конкурсе";"1383029";"—"
