"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"18";"—";"284";"284";"0";"Участвуете в конкурсе";"1728313";"—"
"2";"4";"—";"276";"266";"10";"Участвуете в конкурсе";"1354628";"—"
"3";"5";"Электронное";"268";"264";"4";"Участвуете в конкурсе";"1542070";"—"
"4";"9";"—";"266";"256";"10";"Участвуете в конкурсе";"2119866";"—"
"5";"7";"—";"265";"262";"3";"Участвуете в конкурсе";"1520198";"—"
"6";"1";"—";"265";"255";"10";"Участвуете в конкурсе";"1614083";"—"
"7";"1";"—";"263";"253";"10";"Участвуете в конкурсе";"966646";"—"
"8";"16";"Электронное";"260";"260";"0";"Участвуете в конкурсе";"1629892";"—"
"9";"11";"—";"259";"259";"0";"Участвуете в конкурсе";"1424003";"—"
"10";"6";"—";"258";"258";"0";"Участвуете в конкурсе";"1141239";"—"
"11";"7";"Электронное";"258";"248";"10";"Участвуете в конкурсе";"1715288";"—"
"12";"4";"—";"257";"247";"10";"Участвуете в конкурсе";"1314562";"—"
"13";"10";"—";"254";"244";"10";"Участвуете в конкурсе";"2220150";"—"
"14";"8";"—";"253";"253";"0";"Участвуете в конкурсе";"1493829";"—"
"15";"1";"—";"252";"242";"10";"Участвуете в конкурсе";"1788807";"—"
"16";"12";"—";"251";"241";"10";"Участвуете в конкурсе";"1286125";"—"
"17";"8";"—";"250";"240";"10";"Участвуете в конкурсе";"2248399";"—"
"18";"8";"—";"248";"238";"10";"Участвуете в конкурсе";"1556116";"—"
"19";"8";"—";"245";"245";"0";"Участвуете в конкурсе";"1330860";"—"
"20";"11";"Электронное";"238";"238";"0";"Участвуете в конкурсе";"1267575";"—"
"21";"7";"—";"238";"228";"10";"Участвуете в конкурсе";"1346524";"—"
"22";"11";"—";"236";"226";"10";"Участвуете в конкурсе";"1585866";"—"
"23";"8";"—";"235";"235";"0";"Участвуете в конкурсе";"2306178";"—"
"24";"6";"—";"234";"234";"0";"Участвуете в конкурсе";"1713077";"—"
"25";"8";"Электронное";"234";"229";"5";"Участвуете в конкурсе";"1853137";"—"
"26";"6";"Электронное";"234";"224";"10";"Участвуете в конкурсе";"1565839";"—"
"27";"10";"—";"233";"223";"10";"Участвуете в конкурсе";"1413062";"—"
"28";"10";"—";"230";"228";"2";"Участвуете в конкурсе";"1514477";"—"
"29";"5";"—";"228";"228";"0";"Участвуете в конкурсе";"1651529";"—"
"30";"1";"—";"228";"218";"10";"Участвуете в конкурсе";"1933999";"—"
"31";"12";"—";"226";"216";"10";"Участвуете в конкурсе";"2245367";"—"
"32";"2";"Электронное";"225";"225";"0";"Участвуете в конкурсе";"1867810";"—"
"33";"2";"—";"224";"224";"0";"Участвуете в конкурсе";"2309526";"—"
"34";"4";"—";"223";"223";"0";"Участвуете в конкурсе";"1353792";"—"
"35";"3";"—";"223";"223";"0";"Участвуете в конкурсе";"1602774";"—"
"36";"7";"—";"221";"221";"0";"Участвуете в конкурсе";"1022024";"—"
"1";"1";"Электронное";"220";"220";"0";"Участвуете в конкурсе";"1174925";"—"
"38";"5";"—";"220";"218";"2";"Участвуете в конкурсе";"1325517";"—"
