"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"255";"255";"0";"Участвуете в конкурсе";"996977";"—"
"2";"1";"Электронное";"240";"230";"10";"Участвуете в конкурсе";"1333550";"—"
"3";"1";"Электронное";"228";"223";"0";"Участвуете в конкурсе";"2242945";"—"
"4";"1";"Электронное";"228";"213";"10";"Участвуете в конкурсе";"1040354";"—"
"5";"1";"—";"210";"208";"2";"Участвуете в конкурсе";"1190480";"—"
"5";"1";"Электронное";"209";"205";"4";"Участвуете в конкурсе";"2184794";"—"
"6";"1";"Электронное";"205";"205";"0";"Участвуете в конкурсе";"1353818";"—"
"8";"1";"Электронное";"205";"202";"3";"Участвуете в конкурсе";"2080599";"—"
"9";"1";"—";"198";"198";"0";"Участвуете в конкурсе";"1199607";"—"
"10";"2";"—";"198";"198";"0";"Участвуете в конкурсе";"1783249";"—"
"11";"7";"—";"195";"195";"0";"Участвуете в конкурсе";"1846440";"—"
"12";"1";"Электронное";"189";"189";"0";"Участвуете в конкурсе";"1857661";"—"
"7";"1";"Электронное";"186";"186";"0";"Участвуете в конкурсе";"1281437";"—"
"14";"2";"—";"185";"185";"0";"Участвуете в конкурсе";"2273943";"—"
"15";"1";"Электронное";"182";"182";"0";"Участвуете в конкурсе";"1196984";"—"
"16";"2";"—";"181";"179";"2";"Участвуете в конкурсе";"2328841";"—"
"17";"2";"—";"181";"176";"5";"Участвуете в конкурсе";"1655657";"—"
"18";"4";"—";"177";"177";"0";"Участвуете в конкурсе";"1200635";"—"
"19";"1";"Электронное";"173";"173";"0";"Участвуете в конкурсе";"1241432";"—"
"20";"2";"—";"164";"164";"0";"Участвуете в конкурсе";"1263026";"—"
"21";"1";"—";"276";"266";"10";"Участвуете в конкурсе";"1243844";"—"
"22";"2";"—";"273";"273";"0";"Участвуете в конкурсе";"1437865";"—"
"23";"1";"—";"254";"244";"10";"Участвуете в конкурсе";"1161200";"—"
"24";"2";"—";"253";"243";"10";"Участвуете в конкурсе";"1355582";"—"
"25";"1";"—";"252";"252";"0";"Участвуете в конкурсе";"1964859";"—"
"26";"1";"—";"249";"239";"10";"Участвуете в конкурсе";"1847194";"—"
"27";"1";"—";"248";"238";"10";"Участвуете в конкурсе";"1712205";"—"
"28";"1";"—";"246";"236";"10";"Участвуете в конкурсе";"1340686";"—"
"29";"1";"—";"241";"241";"0";"Участвуете в конкурсе";"1899396";"—"
"1";"1";"Электронное";"240";"240";"0";"Участвуете в конкурсе";"1531630";"—"
"31";"1";"—";"239";"239";"0";"Участвуете в конкурсе";"1513059";"—"
"32";"1";"—";"239";"237";"2";"Участвуете в конкурсе";"1266206";"—"
"33";"4";"—";"238";"238";"0";"Участвуете в конкурсе";"2076974";"—"
"34";"6";"—";"235";"235";"0";"Участвуете в конкурсе";"1026084";"—"
"35";"1";"Электронное";"234";"234";"0";"Участвуете в конкурсе";"2156056";"—"
"36";"1";"—";"232";"222";"10";"Участвуете в конкурсе";"1125219";"—"
"37";"5";"—";"228";"228";"0";"Участвуете в конкурсе";"2285078";"—"
"38";"8";"Электронное";"226";"216";"10";"Участвуете в конкурсе";"2123716";"—"
"39";"4";"—";"224";"214";"10";"Участвуете в конкурсе";"1832892";"—"
"40";"1";"—";"223";"223";"0";"Участвуете в конкурсе";"1602774";"—"
"41";"5";"—";"223";"223";"0";"Участвуете в конкурсе";"2110182";"—"
"42";"1";"—";"222";"220";"2";"Участвуете в конкурсе";"1725696";"—"
"43";"5";"—";"221";"221";"0";"Участвуете в конкурсе";"1879625";"—"
"44";"1";"—";"221";"221";"0";"Участвуете в конкурсе";"1245826";"—"
"45";"1";"—";"219";"219";"0";"Участвуете в конкурсе";"1289620";"—"
"46";"1";"—";"219";"219";"0";"Участвуете в конкурсе";"1440426";"—"
"47";"5";"—";"219";"217";"2";"Участвуете в конкурсе";"1939618";"—"
"48";"1";"—";"218";"218";"0";"Участвуете в конкурсе";"1656911";"—"
"49";"2";"—";"218";"208";"10";"Участвуете в конкурсе";"1716713";"—"
"50";"1";"—";"212";"212";"0";"Участвуете в конкурсе";"1568921";"—"
"51";"1";"—";"207";"207";"0";"Участвуете в конкурсе";"1794902";"—"
"2";"1";"Электронное";"207";"207";"0";"Участвуете в конкурсе";"2082412";"—"
"53";"3";"—";"202";"202";"0";"Участвуете в конкурсе";"1798041";"—"
"54";"2";"—";"198";"198";"0";"Участвуете в конкурсе";"1909010";"—"
"55";"1";"—";"197";"195";"2";"Участвуете в конкурсе";"1825481";"—"
"56";"6";"—";"196";"196";"0";"Участвуете в конкурсе";"1162681";"—"
"57";"2";"—";"195";"195";"0";"Участвуете в конкурсе";"1346052";"—"
"58";"4";"—";"195";"195";"0";"Участвуете в конкурсе";"1781586";"—"
"59";"1";"—";"194";"194";"0";"Участвуете в конкурсе";"1196040";"—"
"60";"2";"—";"193";"193";"0";"Участвуете в конкурсе";"1627425";"—"
"61";"1";"—";"190";"190";"0";"Участвуете в конкурсе";"1027210";"—"
"62";"1";"—";"187";"187";"0";"Участвуете в конкурсе";"1574354";"—"
"63";"1";"—";"186";"176";"10";"Участвуете в конкурсе";"1173377";"—"
"64";"3";"—";"180";"180";"0";"Участвуете в конкурсе";"1195065";"—"
"65";"2";"Электронное";"10";"0";"10";"Участвуете в конкурсе";"1653482";"—"
"66";"8";"—";"10";"0";"10";"Участвуете в конкурсе";"1893189";"—"
"67";"1";"—";"2";"0";"2";"Участвуете в конкурсе";"1192571";"—"
"68";"6";"—";"2";"0";"2";"Участвуете в конкурсе";"2267213";"—"
"1";"1";"Электронное";"0";"0";"0";"Участвуете в конкурсе";"1298686";"—"
"70";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"1390814";"—"
"71";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"1626832";"—"
"72";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"1682029";"—"
"73";"3";"—";"0";"0";"0";"Участвуете в конкурсе";"1720517";"—"
"74";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"1730315";"—"
"75";"3";"—";"0";"0";"0";"Участвуете в конкурсе";"1845011";"—"
"76";"5";"—";"0";"0";"0";"Участвуете в конкурсе";"1888987";"—"
"77";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"1933285";"—"
"78";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"1995814";"—"
"79";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"2243902";"—"
"80";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"2292069";"—"
"81";"2";"—";"0";"0";"0";"Участвуете в конкурсе";"2337886";"—"
"82";"1";"—";"276";"266";"10";"Участвуете в конкурсе";"1339813";"—"
"83";"1";"—";"271";"261";"10";"Участвуете в конкурсе";"1729520";"—"
"84";"1";"—";"269";"259";"10";"Участвуете в конкурсе";"1197099";"—"
"85";"7";"—";"263";"253";"10";"Участвуете в конкурсе";"2241609";"—"
"86";"4";"—";"258";"248";"10";"Участвуете в конкурсе";"1039780";"—"
"87";"1";"—";"257";"247";"10";"Участвуете в конкурсе";"2410830";"—"
"88";"1";"—";"257";"247";"10";"Участвуете в конкурсе";"1291492";"—"
"89";"3";"—";"256";"246";"10";"Участвуете в конкурсе";"1757493";"—"
"90";"4";"—";"254";"244";"10";"Участвуете в конкурсе";"1188807";"—"
"91";"1";"—";"252";"252";"0";"Участвуете в конкурсе";"1964859";"—"
"92";"1";"—";"247";"237";"10";"Участвуете в конкурсе";"1721407";"—"
"93";"1";"—";"244";"234";"10";"Участвуете в конкурсе";"1252562";"—"
"94";"1";"—";"242";"235";"7";"Участвуете в конкурсе";"1909043";"—"
"95";"2";"—";"242";"232";"10";"Участвуете в конкурсе";"1639802";"—"
"96";"1";"—";"240";"240";"0";"Участвуете в конкурсе";"2008992";"—"
"97";"1";"—";"239";"229";"10";"Участвуете в конкурсе";"1445098";"—"
"98";"1";"—";"238";"238";"0";"Участвуете в конкурсе";"1509682";"—"
"99";"4";"—";"238";"228";"10";"Участвуете в конкурсе";"1423548";"—"
"100";"2";"—";"238";"228";"10";"Участвуете в конкурсе";"1550578";"—"
"101";"8";"—";"237";"237";"0";"Участвуете в конкурсе";"1959784";"—"
"102";"1";"—";"237";"237";"0";"Участвуете в конкурсе";"1210416";"—"
"103";"4";"Электронное";"237";"227";"10";"Участвуете в конкурсе";"1718215";"—"
"104";"1";"—";"236";"233";"3";"Участвуете в конкурсе";"1484513";"—"
"1";"2";"Электронное";"235";"225";"10";"Участвуете в конкурсе";"1594169";"—"
"106";"2";"—";"235";"225";"10";"Участвуете в конкурсе";"1743514";"—"
"107";"1";"—";"231";"229";"2";"Участвуете в конкурсе";"1391267";"—"
"108";"1";"—";"230";"230";"0";"Участвуете в конкурсе";"1310205";"—"
"109";"1";"—";"230";"220";"10";"Участвуете в конкурсе";"2340549";"—"
"110";"3";"—";"230";"220";"10";"Участвуете в конкурсе";"2371771";"—"
"111";"2";"—";"227";"227";"0";"Участвуете в конкурсе";"1959842";"—"
"112";"1";"—";"226";"224";"2";"Участвуете в конкурсе";"1505905";"—"
"113";"5";"—";"226";"224";"2";"Участвуете в конкурсе";"1798297";"—"
"114";"2";"Электронное";"225";"225";"0";"Участвуете в конкурсе";"1240486";"—"
"2";"1";"Электронное";"223";"221";"2";"Участвуете в конкурсе";"1695914";"—"
"116";"5";"—";"222";"222";"0";"Участвуете в конкурсе";"2042798";"—"
"117";"1";"—";"222";"220";"2";"Участвуете в конкурсе";"939270";"—"
"118";"1";"—";"222";"212";"10";"Участвуете в конкурсе";"1515589";"—"
"119";"1";"—";"220";"210";"10";"Участвуете в конкурсе";"1914534";"—"
"120";"10";"—";"219";"219";"0";"Участвуете в конкурсе";"1130271";"—"
"121";"4";"—";"219";"219";"0";"Участвуете в конкурсе";"2130546";"—"
"122";"1";"—";"219";"209";"10";"Участвуете в конкурсе";"1360989";"—"
"123";"3";"—";"218";"216";"2";"Участвуете в конкурсе";"1852048";"—"
"124";"2";"—";"218";"208";"10";"Участвуете в конкурсе";"1356787";"—"
"125";"4";"—";"217";"215";"2";"Участвуете в конкурсе";"1908206";"—"
"126";"4";"—";"216";"216";"0";"Участвуете в конкурсе";"1622801";"—"
"127";"1";"—";"216";"214";"2";"Участвуете в конкурсе";"1068240";"—"
"128";"1";"—";"216";"211";"5";"Участвуете в конкурсе";"983774";"—"
"129";"1";"—";"215";"215";"0";"Участвуете в конкурсе";"962549";"—"
"130";"2";"—";"215";"213";"2";"Участвуете в конкурсе";"2093329";"—"
"131";"1";"—";"213";"210";"3";"Участвуете в конкурсе";"1349643";"—"
"132";"1";"—";"212";"202";"10";"Участвуете в конкурсе";"1554435";"—"
"133";"4";"—";"212";"202";"10";"Участвуете в конкурсе";"1053274";"—"
"134";"5";"—";"211";"209";"2";"Участвуете в конкурсе";"1267274";"—"
"135";"4";"—";"209";"209";"0";"Участвуете в конкурсе";"1210895";"—"
"136";"7";"—";"209";"209";"0";"Участвуете в конкурсе";"1849962";"—"
"137";"1";"—";"209";"209";"0";"Участвуете в конкурсе";"1321692";"—"
"138";"4";"—";"209";"207";"2";"Участвуете в конкурсе";"2335157";"—"
"139";"2";"—";"207";"207";"0";"Участвуете в конкурсе";"1310121";"—"
"140";"3";"—";"207";"205";"2";"Участвуете в конкурсе";"1544454";"—"
"141";"1";"—";"207";"205";"2";"Участвуете в конкурсе";"1244989";"—"
"142";"1";"—";"205";"205";"0";"Участвуете в конкурсе";"2302682";"—"
"143";"2";"Электронное";"204";"204";"0";"Участвуете в конкурсе";"1185426";"—"
"144";"1";"—";"201";"201";"0";"Участвуете в конкурсе";"1521122";"—"
"145";"1";"—";"201";"201";"0";"Участвуете в конкурсе";"2210397";"—"
"146";"1";"—";"201";"198";"3";"Участвуете в конкурсе";"1170813";"—"
"147";"1";"—";"198";"198";"0";"Участвуете в конкурсе";"2074858";"—"
"148";"1";"—";"197";"197";"0";"Участвуете в конкурсе";"1274484";"—"
"149";"3";"—";"195";"195";"0";"Участвуете в конкурсе";"1846440";"—"
"150";"6";"—";"195";"193";"2";"Участвуете в конкурсе";"2222766";"—"
"151";"1";"—";"194";"194";"0";"Участвуете в конкурсе";"2000967";"—"
"152";"1";"—";"193";"188";"5";"Участвуете в конкурсе";"1832784";"—"
"153";"1";"—";"191";"191";"0";"Участвуете в конкурсе";"2035181";"—"
"154";"11";"—";"190";"190";"0";"Участвуете в конкурсе";"2420912";"—"
"155";"1";"—";"189";"187";"2";"Участвуете в конкурсе";"1928584";"—"
"156";"4";"—";"187";"187";"0";"Участвуете в конкурсе";"2269000";"—"
"157";"3";"—";"186";"186";"0";"Участвуете в конкурсе";"1759116";"—"
"158";"3";"—";"184";"181";"3";"Участвуете в конкурсе";"1747431";"—"
"159";"4";"—";"182";"182";"0";"Участвуете в конкурсе";"1644267";"—"
"3";"6";"Электронное";"178";"178";"0";"Участвуете в конкурсе";"1625256";"—"
"161";"3";"Электронное";"175";"175";"0";"Участвуете в конкурсе";"1134352";"—"
"162";"9";"—";"175";"172";"3";"Участвуете в конкурсе";"1216076";"—"
"163";"1";"—";"174";"174";"0";"Участвуете в конкурсе";"1194287";"—"
"164";"1";"—";"172";"172";"0";"Участвуете в конкурсе";"1021012";"—"
"165";"1";"—";"172";"172";"0";"Участвуете в конкурсе";"1718011";"—"
"166";"4";"—";"171";"168";"3";"Участвуете в конкурсе";"1793413";"—"
"167";"13";"—";"169";"169";"0";"Участвуете в конкурсе";"2425073";"—"
"168";"2";"—";"167";"167";"0";"Участвуете в конкурсе";"1192576";"—"
"169";"3";"—";"164";"164";"0";"Участвуете в конкурсе";"2245369";"—"
"170";"6";"—";"159";"159";"0";"Участвуете в конкурсе";"2164566";"—"
"1";"1";"Электронное";"—";"—";"0";"Участвуете в конкурсе";"2156056";"—"
"172";"1";"—";"298";"288";"10";"Участвуете в конкурсе";"1644638";"—"
"173";"1";"—";"297";"287";"10";"Участвуете в конкурсе";"1391310";"—"
"174";"7";"—";"297";"287";"10";"Участвуете в конкурсе";"1569161";"—"
"1";"1";"Электронное";"296";"296";"0";"Участвуете в конкурсе";"1035996";"—"
"176";"5";"—";"295";"285";"10";"Участвуете в конкурсе";"1200235";"—"
"2";"1";"Электронное";"294";"284";"10";"Участвуете в конкурсе";"1348133";"—"
