"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"289";"289";"0";"Участвуете в конкурсе";"1066841";"—"
"2";"3";"—";"287";"277";"10";"Участвуете в конкурсе";"1558116";"—"
"3";"1";"—";"285";"275";"10";"Участвуете в конкурсе";"1191075";"—"
"4";"8";"—";"284";"284";"0";"Участвуете в конкурсе";"1559848";"—"
"5";"1";"—";"284";"274";"10";"Участвуете в конкурсе";"1175420";"—"
"6";"1";"—";"283";"273";"10";"Участвуете в конкурсе";"1334530";"—"
"7";"1";"—";"282";"282";"0";"Участвуете в конкурсе";"1598047";"—"
"8";"2";"—";"282";"272";"10";"Участвуете в конкурсе";"2039543";"—"
"9";"3";"—";"281";"281";"0";"Участвуете в конкурсе";"1102738";"—"
"10";"6";"—";"279";"279";"0";"Участвуете в конкурсе";"1170062";"—"
"11";"2";"—";"279";"269";"10";"Участвуете в конкурсе";"1241085";"—"
"12";"1";"—";"276";"276";"0";"Участвуете в конкурсе";"1782131";"—"
"13";"1";"—";"271";"266";"5";"Участвуете в конкурсе";"1730793";"—"
"14";"1";"—";"271";"261";"10";"Участвуете в конкурсе";"1959154";"—"
"15";"1";"—";"271";"261";"10";"Участвуете в конкурсе";"1325061";"—"
"16";"1";"—";"270";"265";"5";"Участвуете в конкурсе";"1511998";"—"
"17";"18";"—";"267";"257";"10";"Участвуете в конкурсе";"2250557";"—"
"18";"1";"—";"266";"256";"10";"Участвуете в конкурсе";"1599768";"—"
"19";"6";"—";"266";"256";"10";"Участвуете в конкурсе";"1717452";"—"
"20";"1";"—";"266";"256";"10";"Участвуете в конкурсе";"1522640";"—"
"21";"11";"—";"265";"255";"10";"Участвуете в конкурсе";"1354355";"—"
"22";"1";"—";"263";"253";"10";"Участвуете в конкурсе";"1394133";"—"
"23";"1";"—";"262";"252";"10";"Участвуете в конкурсе";"2239333";"—"
"24";"2";"—";"261";"251";"10";"Участвуете в конкурсе";"1641569";"—"
"25";"1";"—";"261";"251";"10";"Участвуете в конкурсе";"1145156";"—"
"26";"1";"—";"259";"259";"0";"Участвуете в конкурсе";"1292762";"—"
"27";"1";"—";"259";"249";"10";"Участвуете в конкурсе";"996963";"—"
"28";"1";"—";"259";"249";"10";"Участвуете в конкурсе";"1585886";"—"
"29";"1";"—";"259";"249";"10";"Участвуете в конкурсе";"1794676";"—"
"30";"6";"—";"258";"248";"10";"Участвуете в конкурсе";"2227622";"—"
"31";"1";"—";"257";"247";"10";"Участвуете в конкурсе";"1076595";"—"
"32";"5";"—";"256";"246";"10";"Участвуете в конкурсе";"1727480";"—"
"33";"14";"—";"255";"255";"0";"Участвуете в конкурсе";"996977";"—"
"34";"2";"—";"255";"255";"0";"Участвуете в конкурсе";"1623459";"—"
"35";"5";"—";"255";"253";"2";"Участвуете в конкурсе";"1960602";"—"
"36";"1";"Да";"255";"245";"10";"Участвуете в конкурсе";"2074548";"—"
"37";"1";"—";"255";"245";"10";"Участвуете в конкурсе";"1605869";"—"
"38";"4";"—";"255";"245";"10";"Участвуете в конкурсе";"1588161";"—"
"39";"3";"—";"254";"254";"0";"Участвуете в конкурсе";"2182516";"—"
"40";"2";"—";"254";"254";"0";"Участвуете в конкурсе";"1245503";"—"
"41";"4";"—";"254";"254";"0";"Участвуете в конкурсе";"1910810";"—"
"42";"1";"—";"254";"244";"10";"Участвуете в конкурсе";"1196896";"—"
"43";"2";"—";"252";"252";"0";"Участвуете в конкурсе";"1546821";"—"
"44";"1";"—";"252";"252";"0";"Участвуете в конкурсе";"1347401";"—"
"45";"14";"—";"252";"250";"2";"Участвуете в конкурсе";"1519237";"—"
"46";"1";"—";"252";"242";"10";"Участвуете в конкурсе";"1654106";"—"
"47";"4";"—";"251";"249";"2";"Участвуете в конкурсе";"2098509";"—"
"48";"1";"—";"251";"241";"10";"Участвуете в конкурсе";"1851338";"—"
"49";"3";"—";"251";"241";"10";"Участвуете в конкурсе";"1359698";"—"
"50";"1";"—";"250";"250";"0";"Участвуете в конкурсе";"1041079";"—"
"51";"9";"—";"249";"249";"0";"Участвуете в конкурсе";"1999336";"—"
"52";"1";"—";"249";"249";"0";"Участвуете в конкурсе";"1705917";"—"
"53";"1";"—";"249";"247";"2";"Участвуете в конкурсе";"1191584";"—"
"54";"1";"—";"249";"246";"3";"Участвуете в конкурсе";"1316389";"—"
"55";"2";"—";"249";"239";"10";"Участвуете в конкурсе";"1908144";"—"
"56";"1";"—";"249";"239";"10";"Участвуете в конкурсе";"1304838";"—"
