"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"16";"—";"307";"297";"10";"Участвуете в конкурсе";"1740971";"—"
"2";"7";"—";"301";"291";"10";"Участвуете в конкурсе";"1180515";"—"
"3";"18";"—";"299";"289";"10";"Участвуете в конкурсе";"1767515";"—"
"4";"10";"—";"297";"287";"10";"Участвуете в конкурсе";"1002125";"—"
"5";"1";"—";"296";"286";"10";"Участвуете в конкурсе";"2100564";"—"
"6";"5";"—";"291";"281";"10";"Участвуете в конкурсе";"1436615";"—"
"7";"4";"—";"290";"280";"10";"Участвуете в конкурсе";"2005775";"—"
"8";"2";"—";"290";"280";"10";"Участвуете в конкурсе";"1649552";"—"
"9";"5";"—";"288";"288";"0";"Участвуете в конкурсе";"1754895";"—"
"10";"2";"—";"288";"288";"0";"Участвуете в конкурсе";"1784930";"—"
"11";"20";"—";"284";"284";"0";"Участвуете в конкурсе";"1559848";"—"
"12";"3";"—";"284";"274";"10";"Участвуете в конкурсе";"1779294";"—"
"13";"2";"—";"283";"283";"0";"Участвуете в конкурсе";"1694425";"—"
"14";"12";"—";"282";"272";"10";"Участвуете в конкурсе";"2039543";"—"
"15";"4";"—";"282";"272";"10";"Участвуете в конкурсе";"1908074";"—"
"16";"1";"—";"281";"281";"0";"Участвуете в конкурсе";"1728115";"—"
"17";"1";"—";"281";"279";"2";"Участвуете в конкурсе";"1027077";"—"
"18";"2";"—";"281";"271";"10";"Участвуете в конкурсе";"1616124";"—"
"19";"4";"—";"281";"271";"10";"Участвуете в конкурсе";"2222914";"—"
"20";"5";"—";"281";"271";"10";"Участвуете в конкурсе";"1569745";"—"
"21";"2";"—";"280";"274";"6";"Участвуете в конкурсе";"1199343";"—"
"22";"6";"—";"279";"279";"0";"Участвуете в конкурсе";"1785368";"—"
"23";"5";"—";"279";"276";"3";"Участвуете в конкурсе";"1504424";"—"
"24";"3";"—";"279";"269";"10";"Участвуете в конкурсе";"1855542";"—"
"25";"13";"—";"279";"269";"10";"Участвуете в конкурсе";"1788034";"—"
"26";"7";"—";"279";"269";"10";"Участвуете в конкурсе";"1585096";"—"
"27";"4";"—";"279";"269";"10";"Участвуете в конкурсе";"1519451";"—"
"28";"1";"—";"278";"278";"0";"Участвуете в конкурсе";"1086025";"—"
"29";"12";"—";"278";"278";"0";"Участвуете в конкурсе";"1839719";"—"
"30";"5";"—";"278";"268";"10";"Участвуете в конкурсе";"1505484";"—"
"31";"4";"—";"278";"268";"10";"Участвуете в конкурсе";"1721284";"—"
"32";"7";"—";"277";"277";"0";"Участвуете в конкурсе";"1292893";"—"
"33";"3";"—";"277";"267";"10";"Участвуете в конкурсе";"1177548";"—"
"34";"2";"—";"277";"267";"10";"Участвуете в конкурсе";"1786847";"—"
"35";"2";"—";"277";"267";"10";"Участвуете в конкурсе";"1325063";"—"
"36";"1";"—";"277";"267";"10";"Участвуете в конкурсе";"1158264";"—"
"37";"11";"—";"276";"274";"2";"Участвуете в конкурсе";"1622597";"—"
"38";"11";"—";"276";"266";"10";"Участвуете в конкурсе";"1940619";"—"
"39";"11";"—";"276";"266";"10";"Участвуете в конкурсе";"1845366";"—"
"40";"4";"—";"276";"266";"10";"Участвуете в конкурсе";"988282";"—"
"41";"5";"—";"275";"275";"0";"Участвуете в конкурсе";"1606981";"—"
"42";"2";"—";"275";"273";"2";"Участвуете в конкурсе";"1536009";"—"
"43";"1";"—";"275";"265";"10";"Участвуете в конкурсе";"2266801";"—"
"44";"2";"—";"274";"271";"3";"Участвуете в конкурсе";"1858285";"—"
"45";"3";"—";"274";"264";"10";"Участвуете в конкурсе";"1408384";"—"
"46";"1";"—";"274";"264";"10";"Участвуете в конкурсе";"1886005";"—"
"47";"5";"—";"274";"264";"10";"Участвуете в конкурсе";"1433428";"—"
"48";"1";"—";"274";"264";"10";"Участвуете в конкурсе";"1903437";"—"
"49";"15";"—";"273";"273";"0";"Участвуете в конкурсе";"1171457";"—"
"50";"8";"—";"273";"263";"10";"Участвуете в конкурсе";"2318493";"—"
"51";"3";"—";"273";"263";"10";"Участвуете в конкурсе";"2031022";"—"
"52";"1";"—";"273";"263";"10";"Участвуете в конкурсе";"2254614";"—"
"53";"17";"—";"273";"263";"10";"Участвуете в конкурсе";"1327994";"—"
"54";"9";"—";"273";"263";"10";"Участвуете в конкурсе";"1438941";"—"
"55";"2";"—";"272";"272";"0";"Участвуете в конкурсе";"1231692";"—"
"56";"6";"—";"272";"272";"0";"Участвуете в конкурсе";"1978473";"—"
"57";"6";"—";"272";"262";"10";"Участвуете в конкурсе";"1213224";"—"
"58";"5";"—";"272";"262";"10";"Участвуете в конкурсе";"1416387";"—"
"59";"12";"—";"272";"262";"10";"Участвуете в конкурсе";"2228558";"—"
"60";"3";"—";"272";"262";"10";"Участвуете в конкурсе";"1621536";"—"
"61";"1";"—";"271";"261";"10";"Участвуете в конкурсе";"2053841";"—"
"62";"1";"—";"271";"261";"10";"Участвуете в конкурсе";"1210025";"—"
"63";"9";"—";"270";"267";"3";"Участвуете в конкурсе";"1902468";"—"
"64";"5";"—";"270";"260";"10";"Участвуете в конкурсе";"1568837";"—"
"65";"13";"—";"270";"260";"10";"Участвуете в конкурсе";"2209562";"—"
"66";"2";"—";"270";"260";"10";"Участвуете в конкурсе";"1333039";"—"
"67";"1";"—";"269";"269";"0";"Участвуете в конкурсе";"1517539";"—"
"68";"10";"—";"269";"269";"0";"Участвуете в конкурсе";"2313957";"—"
"69";"3";"—";"269";"267";"2";"Участвуете в конкурсе";"1644179";"—"
"70";"9";"—";"269";"259";"10";"Участвуете в конкурсе";"2265445";"—"
"71";"7";"—";"269";"259";"10";"Участвуете в конкурсе";"2303660";"—"
"72";"4";"—";"269";"259";"10";"Участвуете в конкурсе";"1782077";"—"
"73";"10";"—";"269";"259";"10";"Участвуете в конкурсе";"1133458";"—"
"74";"8";"—";"269";"259";"10";"Участвуете в конкурсе";"1721857";"—"
"75";"6";"—";"268";"268";"0";"Участвуете в конкурсе";"1772236";"—"
"76";"1";"—";"268";"258";"10";"Участвуете в конкурсе";"1787299";"—"
"77";"8";"—";"268";"258";"10";"Участвуете в конкурсе";"1437508";"—"
"78";"11";"—";"268";"258";"10";"Участвуете в конкурсе";"1743614";"—"
"79";"7";"—";"267";"267";"0";"Участвуете в конкурсе";"1431782";"—"
"80";"3";"—";"267";"267";"0";"Участвуете в конкурсе";"1557696";"—"
"81";"13";"—";"267";"267";"0";"Участвуете в конкурсе";"1168227";"—"
"82";"3";"—";"267";"267";"0";"Участвуете в конкурсе";"1022169";"—"
"83";"4";"—";"267";"265";"2";"Участвуете в конкурсе";"2245046";"—"
"84";"3";"—";"267";"265";"2";"Участвуете в конкурсе";"1512750";"—"
"85";"2";"—";"267";"257";"10";"Участвуете в конкурсе";"2080301";"—"
"86";"1";"—";"267";"257";"10";"Участвуете в конкурсе";"1854486";"—"
"87";"5";"—";"267";"257";"10";"Участвуете в конкурсе";"2250557";"—"
"88";"6";"—";"267";"257";"10";"Участвуете в конкурсе";"1410867";"—"
"89";"4";"—";"266";"266";"0";"Участвуете в конкурсе";"1916586";"—"
"90";"10";"—";"266";"256";"10";"Участвуете в конкурсе";"1239426";"—"
"91";"11";"—";"266";"256";"10";"Участвуете в конкурсе";"2271492";"—"
"92";"6";"—";"266";"256";"10";"Участвуете в конкурсе";"1522640";"—"
"93";"7";"—";"265";"265";"0";"Участвуете в конкурсе";"2128900";"—"
"94";"5";"—";"265";"255";"10";"Участвуете в конкурсе";"1762527";"—"
"95";"1";"—";"265";"255";"10";"Участвуете в конкурсе";"1839909";"—"
"96";"2";"—";"265";"255";"10";"Участвуете в конкурсе";"1282844";"—"
"97";"12";"—";"265";"255";"10";"Участвуете в конкурсе";"1743336";"—"
"98";"13";"—";"265";"255";"10";"Участвуете в конкурсе";"1544244";"—"
"99";"8";"—";"265";"255";"10";"Участвуете в конкурсе";"1678214";"—"
"100";"5";"—";"265";"255";"10";"Участвуете в конкурсе";"1354355";"—"
"101";"6";"—";"265";"255";"10";"Участвуете в конкурсе";"1179008";"—"
"102";"15";"—";"264";"264";"0";"Участвуете в конкурсе";"1480255";"—"
"103";"3";"—";"264";"254";"10";"Участвуете в конкурсе";"1211745";"—"
"104";"6";"—";"263";"263";"0";"Участвуете в конкурсе";"2042943";"—"
"105";"2";"—";"263";"261";"2";"Участвуете в конкурсе";"1251594";"—"
"106";"2";"—";"263";"253";"10";"Участвуете в конкурсе";"1854299";"—"
"107";"3";"—";"263";"253";"10";"Участвуете в конкурсе";"1242070";"—"
"108";"2";"Да";"263";"253";"10";"Участвуете в конкурсе";"1188146";"—"
"109";"2";"—";"263";"253";"10";"Участвуете в конкурсе";"2216924";"—"
"110";"2";"—";"263";"253";"10";"Участвуете в конкурсе";"2288424";"—"
"111";"7";"—";"262";"262";"0";"Участвуете в конкурсе";"1858084";"—"
"112";"2";"—";"262";"260";"2";"Участвуете в конкурсе";"1621574";"—"
