"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"252";"242";"10";"Участвуете в конкурсе";"1421767";"—"
"2";"1";"Электронное";"236";"226";"10";"Участвуете в конкурсе";"1701795";"—"
"3";"1";"Электронное";"228";"228";"0";"Участвуете в конкурсе";"1432947";"—"
"4";"1";"—";"223";"223";"0";"Участвуете в конкурсе";"1574533";"—"
"5";"13";"Электронное";"216";"211";"5";"Участвуете в конкурсе";"1485146";"—"
"6";"1";"—";"212";"212";"0";"Участвуете в конкурсе";"2255119";"—"
"7";"1";"—";"212";"212";"0";"Участвуете в конкурсе";"1491903";"—"
"8";"1";"—";"203";"198";"5";"Участвуете в конкурсе";"1573070";"—"
"3";"1";"Электронное";"201";"201";"0";"Участвуете в конкурсе";"1254063";"—"
"4";"1";"Электронное";"199";"195";"4";"Участвуете в конкурсе";"1290367";"—"
"11";"1";"—";"196";"196";"0";"Участвуете в конкурсе";"1446618";"—"
"12";"1";"—";"189";"189";"0";"Участвуете в конкурсе";"1103735";"—"
"13";"7";"Электронное";"291";"281";"10";"Участвуете в конкурсе";"1526672";"—"
"14";"5";"—";"288";"278";"10";"Участвуете в конкурсе";"1956992";"—"
"15";"7";"—";"287";"287";"0";"Участвуете в конкурсе";"1722010";"—"
"16";"15";"—";"284";"284";"0";"Участвуете в конкурсе";"1728313";"—"
"17";"7";"—";"275";"265";"10";"Участвуете в конкурсе";"2021531";"—"
"18";"4";"Электронное";"274";"264";"10";"Участвуете в конкурсе";"938617";"—"
"19";"5";"—";"273";"263";"10";"Участвуете в конкурсе";"2339431";"—"
"20";"4";"Электронное";"270";"260";"10";"Участвуете в конкурсе";"1739266";"—"
"21";"5";"—";"266";"256";"10";"Участвуете в конкурсе";"2119866";"—"
"22";"1";"—";"265";"262";"3";"Участвуете в конкурсе";"1520198";"—"
"23";"2";"—";"265";"255";"10";"Участвуете в конкурсе";"1614083";"—"
"24";"3";"Электронное";"260";"260";"0";"Участвуете в конкурсе";"1629892";"—"
"25";"5";"—";"259";"259";"0";"Участвуете в конкурсе";"1424003";"—"
"26";"6";"—";"259";"249";"10";"Участвуете в конкурсе";"1616589";"—"
"27";"4";"—";"258";"258";"0";"Участвуете в конкурсе";"1141239";"—"
"28";"7";"—";"258";"248";"10";"Участвуете в конкурсе";"1353395";"—"
"29";"5";"—";"257";"247";"10";"Участвуете в конкурсе";"1314562";"—"
"30";"6";"Электронное";"255";"250";"5";"Участвуете в конкурсе";"2070922";"—"
"31";"4";"—";"254";"244";"10";"Участвуете в конкурсе";"1161200";"—"
"32";"6";"—";"253";"253";"0";"Участвуете в конкурсе";"1493829";"—"
"33";"10";"—";"253";"243";"10";"Участвуете в конкурсе";"1991819";"—"
"34";"5";"—";"251";"241";"10";"Участвуете в конкурсе";"1286125";"—"
"35";"3";"—";"250";"250";"0";"Участвуете в конкурсе";"1848238";"—"
"36";"9";"Электронное";"250";"248";"2";"Участвуете в конкурсе";"1694592";"—"
"37";"7";"—";"250";"240";"10";"Участвуете в конкурсе";"2248399";"—"
"38";"6";"—";"249";"239";"10";"Участвуете в конкурсе";"1847194";"—"
"39";"1";"—";"245";"245";"0";"Участвуете в конкурсе";"1330860";"—"
"40";"3";"—";"245";"240";"5";"Участвуете в конкурсе";"2181000";"—"
"41";"6";"—";"244";"244";"0";"Участвуете в конкурсе";"1904650";"—"
"42";"4";"—";"244";"234";"10";"Участвуете в конкурсе";"1198681";"—"
"43";"3";"—";"243";"243";"0";"Участвуете в конкурсе";"1914936";"—"
"44";"2";"—";"242";"240";"2";"Участвуете в конкурсе";"1328779";"—"
"45";"2";"—";"239";"237";"2";"Участвуете в конкурсе";"2370785";"—"
"46";"5";"—";"238";"238";"0";"Участвуете в конкурсе";"2076974";"—"
"47";"4";"Электронное";"238";"238";"0";"Участвуете в конкурсе";"1267575";"—"
"48";"7";"—";"237";"237";"0";"Участвуете в конкурсе";"1653572";"—"
"49";"4";"—";"237";"237";"0";"Участвуете в конкурсе";"2056987";"—"
"50";"7";"—";"237";"235";"2";"Участвуете в конкурсе";"1533057";"—"
"51";"10";"—";"236";"226";"10";"Участвуете в конкурсе";"1585866";"—"
"52";"4";"—";"235";"235";"0";"Участвуете в конкурсе";"1999167";"—"
"53";"12";"—";"235";"230";"5";"Участвуете в конкурсе";"1254830";"—"
"54";"7";"—";"234";"234";"0";"Участвуете в конкурсе";"1713077";"—"
"55";"7";"Электронное";"234";"229";"5";"Участвуете в конкурсе";"1853137";"—"
"56";"6";"—";"233";"223";"10";"Участвуете в конкурсе";"1413062";"—"
