"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"8";"—";"—";"—";"0";"Участвуете в конкурсе";"2032312";"—"
"2";"15";"—";"307";"297";"10";"Участвуете в конкурсе";"1740971";"—"
"3";"10";"—";"301";"291";"10";"Участвуете в конкурсе";"1180515";"—"
"4";"17";"—";"297";"287";"10";"Участвуете в конкурсе";"1002125";"—"
"5";"10";"—";"290";"280";"10";"Участвуете в конкурсе";"2005775";"—"
"6";"6";"—";"288";"288";"0";"Участвуете в конкурсе";"1754895";"—"
"7";"16";"—";"284";"284";"0";"Участвуете в конкурсе";"1559848";"—"
"8";"14";"—";"284";"274";"10";"Участвуете в конкурсе";"1779294";"—"
"9";"13";"—";"281";"281";"0";"Участвуете в конкурсе";"1728115";"—"
"10";"10";"—";"281";"271";"10";"Участвуете в конкурсе";"1616124";"—"
"11";"4";"—";"281";"271";"10";"Участвуете в конкурсе";"1569745";"—"
"12";"7";"—";"280";"274";"6";"Участвуете в конкурсе";"1199343";"—"
"13";"3";"—";"279";"279";"0";"Участвуете в конкурсе";"1721293";"—"
"14";"3";"—";"279";"279";"0";"Участвуете в конкурсе";"1257336";"—"
"15";"6";"—";"279";"276";"3";"Участвуете в конкурсе";"1504424";"—"
"16";"11";"—";"278";"278";"0";"Участвуете в конкурсе";"1086025";"—"
"17";"10";"—";"278";"278";"0";"Участвуете в конкурсе";"1839719";"—"
"18";"8";"—";"278";"268";"10";"Участвуете в конкурсе";"1505484";"—"
"19";"16";"—";"277";"277";"0";"Участвуете в конкурсе";"1292893";"—"
"20";"5";"—";"276";"266";"10";"Участвуете в конкурсе";"1940619";"—"
"21";"8";"—";"276";"266";"10";"Участвуете в конкурсе";"1418906";"—"
"22";"2";"—";"276";"266";"10";"Участвуете в конкурсе";"2224431";"—"
"23";"2";"—";"275";"275";"0";"Участвуете в конкурсе";"996095";"—"
"24";"10";"—";"274";"264";"10";"Участвуете в конкурсе";"1408384";"—"
"25";"7";"—";"274";"264";"10";"Участвуете в конкурсе";"1903437";"—"
"26";"12";"—";"273";"263";"10";"Участвуете в конкурсе";"2318493";"—"
"27";"3";"—";"273";"263";"10";"Участвуете в конкурсе";"1327994";"—"
"28";"5";"—";"272";"266";"6";"Участвуете в конкурсе";"1634337";"—"
"29";"8";"—";"272";"262";"10";"Участвуете в конкурсе";"1213224";"—"
"30";"5";"—";"272";"262";"10";"Участвуете в конкурсе";"1621536";"—"
"31";"5";"—";"271";"261";"10";"Участвуете в конкурсе";"2044282";"—"
"32";"4";"—";"270";"267";"3";"Участвуете в конкурсе";"1902468";"—"
"33";"9";"—";"270";"260";"10";"Участвуете в конкурсе";"2209562";"—"
"34";"19";"—";"269";"269";"0";"Участвуете в конкурсе";"2313957";"—"
"35";"6";"—";"269";"267";"2";"Участвуете в конкурсе";"1644179";"—"
"36";"8";"—";"269";"259";"10";"Участвуете в конкурсе";"2265445";"—"
"37";"8";"—";"269";"259";"10";"Участвуете в конкурсе";"2303660";"—"
"38";"3";"—";"269";"259";"10";"Участвуете в конкурсе";"1782077";"—"
"39";"8";"—";"269";"259";"10";"Участвуете в конкурсе";"1133458";"—"
"40";"19";"—";"269";"259";"10";"Участвуете в конкурсе";"1721857";"—"
"41";"7";"—";"268";"268";"0";"Участвуете в конкурсе";"1271791";"—"
"42";"8";"—";"267";"265";"2";"Участвуете в конкурсе";"1512750";"—"
"43";"7";"—";"267";"260";"7";"Участвуете в конкурсе";"2086181";"—"
"44";"13";"—";"267";"257";"10";"Участвуете в конкурсе";"2250557";"—"
"45";"14";"—";"266";"256";"10";"Участвуете в конкурсе";"1239426";"—"
"46";"9";"—";"266";"256";"10";"Участвуете в конкурсе";"2271492";"—"
"47";"2";"—";"265";"265";"0";"Участвуете в конкурсе";"2128900";"—"
"48";"8";"—";"265";"255";"10";"Участвуете в конкурсе";"1282844";"—"
"49";"12";"—";"265";"255";"10";"Участвуете в конкурсе";"1213942";"—"
"50";"13";"—";"265";"255";"10";"Участвуете в конкурсе";"1678214";"—"
"51";"10";"—";"265";"255";"10";"Участвуете в конкурсе";"1354355";"—"
"52";"7";"—";"263";"263";"0";"Участвуете в конкурсе";"1153485";"—"
"53";"7";"—";"263";"253";"10";"Участвуете в конкурсе";"1812308";"—"
"54";"9";"—";"263";"253";"10";"Участвуете в конкурсе";"2288424";"—"
"55";"13";"—";"262";"252";"10";"Участвуете в конкурсе";"1434484";"—"
"56";"6";"—";"262";"252";"10";"Участвуете в конкурсе";"1832303";"—"
"57";"11";"—";"261";"261";"0";"Участвуете в конкурсе";"996977";"—"
"58";"9";"—";"261";"261";"0";"Участвуете в конкурсе";"1551856";"—"
"59";"8";"—";"261";"257";"4";"Участвуете в конкурсе";"1177470";"—"
"60";"10";"—";"261";"251";"10";"Участвуете в конкурсе";"2312584";"—"
"61";"2";"—";"260";"260";"0";"Участвуете в конкурсе";"1613527";"—"
"62";"12";"—";"260";"258";"2";"Участвуете в конкурсе";"1968179";"—"
"63";"3";"—";"260";"250";"10";"Участвуете в конкурсе";"2271395";"—"
"64";"18";"—";"260";"250";"10";"Участвуете в конкурсе";"1196595";"—"
"65";"3";"—";"260";"250";"10";"Участвуете в конкурсе";"1984349";"—"
"66";"2";"—";"260";"250";"10";"Участвуете в конкурсе";"2101840";"—"
"67";"7";"—";"259";"259";"0";"Участвуете в конкурсе";"1214873";"—"
"68";"13";"—";"259";"252";"7";"Участвуете в конкурсе";"1285720";"—"
"69";"12";"—";"259";"249";"10";"Участвуете в конкурсе";"1481535";"—"
"70";"6";"—";"258";"256";"2";"Участвуете в конкурсе";"1432911";"—"
"71";"9";"—";"258";"248";"10";"Участвуете в конкурсе";"2240027";"—"
"72";"11";"—";"257";"257";"0";"Участвуете в конкурсе";"2054886";"—"
"73";"10";"—";"257";"257";"0";"Участвуете в конкурсе";"1594692";"—"
"74";"6";"—";"257";"247";"10";"Участвуете в конкурсе";"2273286";"—"
"75";"6";"—";"256";"256";"0";"Участвуете в конкурсе";"1715932";"—"
"76";"13";"—";"256";"251";"5";"Участвуете в конкурсе";"2218107";"—"
"77";"4";"—";"255";"255";"0";"Участвуете в конкурсе";"1304850";"—"
"78";"13";"—";"255";"251";"4";"Участвуете в конкурсе";"2308589";"—"
"79";"8";"—";"255";"245";"10";"Участвуете в конкурсе";"1580193";"—"
"80";"14";"—";"254";"252";"2";"Участвуете в конкурсе";"1992916";"—"
"81";"8";"—";"254";"250";"4";"Участвуете в конкурсе";"1853060";"—"
"82";"1";"—";"254";"245";"9";"Участвуете в конкурсе";"2002310";"—"
"83";"6";"—";"254";"244";"10";"Участвуете в конкурсе";"1257643";"—"
"84";"12";"—";"254";"244";"10";"Участвуете в конкурсе";"2246913";"—"
"85";"15";"—";"254";"244";"10";"Участвуете в конкурсе";"2167087";"—"
"86";"5";"—";"254";"244";"10";"Участвуете в конкурсе";"1557768";"—"
"87";"14";"—";"253";"250";"3";"Участвуете в конкурсе";"1882807";"—"
"88";"9";"—";"253";"248";"5";"Участвуете в конкурсе";"2339565";"—"
"89";"13";"—";"253";"243";"10";"Участвуете в конкурсе";"2244359";"—"
"90";"11";"—";"253";"243";"10";"Участвуете в конкурсе";"1117922";"—"
"91";"14";"—";"252";"250";"2";"Участвуете в конкурсе";"1206048";"—"
"92";"1";"—";"252";"250";"2";"Участвуете в конкурсе";"1167766";"—"
"93";"9";"—";"252";"242";"10";"Участвуете в конкурсе";"1624706";"—"
"94";"12";"—";"251";"246";"5";"Участвуете в конкурсе";"1266040";"—"
"95";"7";"—";"251";"241";"10";"Участвуете в конкурсе";"1286125";"—"
"96";"16";"—";"251";"241";"10";"Участвуете в конкурсе";"1597013";"—"
"97";"10";"—";"250";"250";"0";"Участвуете в конкурсе";"2370287";"—"
"98";"12";"—";"250";"250";"0";"Участвуете в конкурсе";"965660";"—"
"99";"10";"—";"250";"248";"2";"Участвуете в конкурсе";"1727487";"—"
"100";"12";"—";"250";"240";"10";"Участвуете в конкурсе";"2180238";"—"
"101";"10";"—";"250";"240";"10";"Участвуете в конкурсе";"1423613";"—"
"102";"6";"—";"250";"240";"10";"Участвуете в конкурсе";"1435514";"—"
"103";"17";"—";"250";"240";"10";"Участвуете в конкурсе";"1784334";"—"
"104";"14";"—";"249";"249";"0";"Участвуете в конкурсе";"1982816";"—"
"105";"3";"—";"249";"239";"10";"Участвуете в конкурсе";"1259739";"—"
"106";"18";"—";"249";"239";"10";"Участвуете в конкурсе";"1206726";"—"
"107";"4";"—";"249";"239";"10";"Участвуете в конкурсе";"1853641";"—"
"108";"2";"—";"249";"239";"10";"Участвуете в конкурсе";"1898535";"—"
"109";"12";"—";"249";"239";"10";"Участвуете в конкурсе";"1582166";"—"
"110";"10";"—";"249";"239";"10";"Участвуете в конкурсе";"1650371";"—"
"111";"16";"—";"248";"248";"0";"Участвуете в конкурсе";"2133476";"—"
"112";"3";"—";"248";"248";"0";"Участвуете в конкурсе";"1845147";"—"
"113";"11";"—";"248";"248";"0";"Участвуете в конкурсе";"2089321";"—"
"114";"14";"—";"248";"248";"0";"Участвуете в конкурсе";"1578125";"—"
"115";"9";"—";"248";"246";"2";"Участвуете в конкурсе";"2089393";"—"
"116";"13";"—";"248";"243";"5";"Участвуете в конкурсе";"1366563";"—"
"117";"13";"—";"247";"247";"0";"Участвуете в конкурсе";"1420872";"—"
"118";"10";"—";"247";"247";"0";"Участвуете в конкурсе";"1067368";"—"
"119";"10";"—";"247";"247";"0";"Участвуете в конкурсе";"2333506";"—"
"120";"14";"—";"247";"245";"2";"Участвуете в конкурсе";"2253714";"—"
"121";"4";"—";"247";"245";"2";"Участвуете в конкурсе";"1626632";"—"
"122";"15";"—";"247";"243";"4";"Участвуете в конкурсе";"1334536";"—"
"123";"12";"—";"247";"237";"10";"Участвуете в конкурсе";"1949923";"—"
"124";"10";"—";"246";"246";"0";"Участвуете в конкурсе";"2005858";"—"
"125";"7";"—";"246";"246";"0";"Участвуете в конкурсе";"2288623";"—"
"126";"12";"—";"246";"244";"2";"Участвуете в конкурсе";"1722242";"—"
"127";"13";"—";"246";"236";"10";"Участвуете в конкурсе";"2268689";"—"
"128";"7";"—";"246";"236";"10";"Участвуете в конкурсе";"2261680";"—"
"129";"4";"—";"245";"245";"0";"Участвуете в конкурсе";"1619632";"—"
"130";"19";"—";"245";"245";"0";"Участвуете в конкурсе";"1796506";"—"
"131";"9";"—";"245";"243";"2";"Участвуете в конкурсе";"1649555";"—"
"132";"10";"—";"245";"243";"2";"Участвуете в конкурсе";"2055660";"—"
"133";"5";"—";"245";"235";"10";"Участвуете в конкурсе";"1648598";"—"
"134";"15";"—";"245";"235";"10";"Участвуете в конкурсе";"1946698";"—"
"135";"9";"—";"245";"235";"10";"Участвуете в конкурсе";"1287737";"—"
"136";"12";"—";"244";"244";"0";"Участвуете в конкурсе";"1853930";"—"
"137";"10";"—";"244";"244";"0";"Участвуете в конкурсе";"2000341";"—"
"138";"14";"—";"244";"244";"0";"Участвуете в конкурсе";"2271163";"—"
"139";"6";"—";"244";"237";"7";"Участвуете в конкурсе";"1715156";"—"
"140";"7";"—";"244";"234";"10";"Участвуете в конкурсе";"2342721";"—"
"141";"7";"—";"244";"234";"10";"Участвуете в конкурсе";"1754079";"—"
"142";"12";"—";"244";"234";"10";"Участвуете в конкурсе";"2253150";"—"
"143";"15";"—";"243";"243";"0";"Участвуете в конкурсе";"2270264";"—"
"144";"12";"—";"243";"243";"0";"Участвуете в конкурсе";"2209457";"—"
"145";"13";"—";"243";"243";"0";"Участвуете в конкурсе";"1061593";"—"
"146";"5";"—";"243";"241";"2";"Участвуете в конкурсе";"1411511";"—"
"147";"13";"—";"243";"241";"2";"Участвуете в конкурсе";"1905923";"—"
"148";"6";"—";"243";"233";"10";"Участвуете в конкурсе";"2081098";"—"
"149";"1";"—";"243";"233";"10";"Участвуете в конкурсе";"1189684";"—"
"150";"6";"—";"243";"233";"10";"Участвуете в конкурсе";"2389948";"—"
"151";"7";"—";"242";"242";"0";"Участвуете в конкурсе";"2120497";"—"
"152";"4";"—";"242";"242";"0";"Участвуете в конкурсе";"2183227";"—"
"153";"9";"—";"242";"242";"0";"Участвуете в конкурсе";"2004671";"—"
"154";"4";"—";"242";"242";"0";"Участвуете в конкурсе";"1626815";"—"
"155";"7";"—";"242";"240";"2";"Участвуете в конкурсе";"1315404";"—"
