"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"8";"Электронное";"291";"281";"10";"Участвуете в конкурсе";"1526672";"—"
"2";"3";"—";"288";"278";"10";"Участвуете в конкурсе";"1956992";"—"
"3";"6";"—";"287";"287";"0";"Участвуете в конкурсе";"1722010";"—"
"4";"11";"—";"284";"284";"0";"Участвуете в конкурсе";"1728313";"—"
"5";"3";"—";"276";"266";"10";"Участвуете в конкурсе";"1354628";"—"
"6";"6";"—";"275";"265";"10";"Участвуете в конкурсе";"2021531";"—"
"7";"4";"—";"274";"264";"10";"Участвуете в конкурсе";"1776521";"—"
"8";"10";"—";"267";"257";"10";"Участвуете в конкурсе";"1854486";"—"
"9";"7";"—";"266";"256";"10";"Участвуете в конкурсе";"2119866";"—"
"10";"4";"—";"265";"262";"3";"Участвуете в конкурсе";"1520198";"—"
"11";"14";"Электронное";"260";"260";"0";"Участвуете в конкурсе";"1629892";"—"
"12";"4";"—";"259";"259";"0";"Участвуете в конкурсе";"1424003";"—"
"13";"5";"—";"258";"258";"0";"Участвуете в конкурсе";"1141239";"—"
"14";"3";"Электронное";"258";"248";"10";"Участвуете в конкурсе";"1715288";"—"
"15";"7";"—";"257";"247";"10";"Участвуете в конкурсе";"1314562";"—"
"16";"7";"—";"253";"253";"0";"Участвуете в конкурсе";"1493829";"—"
"17";"11";"—";"253";"243";"10";"Участвуете в конкурсе";"1991819";"—"
"18";"10";"—";"251";"241";"10";"Участвуете в конкурсе";"1286125";"—"
"19";"7";"—";"250";"250";"0";"Участвуете в конкурсе";"1848238";"—"
"20";"7";"Электронное";"250";"248";"2";"Участвуете в конкурсе";"1694592";"—"
"21";"7";"—";"245";"240";"5";"Участвуете в конкурсе";"2181000";"—"
"22";"7";"—";"244";"244";"0";"Участвуете в конкурсе";"1904650";"—"
"23";"4";"—";"243";"243";"0";"Участвуете в конкурсе";"1914936";"—"
"24";"6";"—";"239";"237";"2";"Участвуете в конкурсе";"2370785";"—"
"25";"8";"Электронное";"238";"238";"0";"Участвуете в конкурсе";"1267575";"—"
"26";"6";"—";"238";"228";"10";"Участвуете в конкурсе";"1346524";"—"
"27";"5";"—";"237";"237";"0";"Участвуете в конкурсе";"2056987";"—"
"28";"6";"—";"237";"235";"2";"Участвуете в конкурсе";"1533057";"—"
"29";"12";"—";"236";"226";"10";"Участвуете в конкурсе";"1585866";"—"
"30";"10";"—";"235";"235";"0";"Участвуете в конкурсе";"1999167";"—"
"31";"10";"—";"235";"235";"0";"Участвуете в конкурсе";"2306178";"—"
"32";"6";"—";"235";"235";"0";"Участвуете в конкурсе";"2182294";"—"
"33";"7";"—";"235";"230";"5";"Участвуете в конкурсе";"1254830";"—"
"34";"2";"—";"234";"234";"0";"Участвуете в конкурсе";"1713077";"—"
