"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"291";"281";"10";"Участвуете в конкурсе";"1526672";"—"
"2";"2";"—";"288";"278";"10";"Участвуете в конкурсе";"1956992";"—"
"3";"9";"—";"287";"287";"0";"Участвуете в конкурсе";"1722010";"—"
"4";"10";"—";"284";"284";"0";"Участвуете в конкурсе";"1728313";"—"
"5";"1";"—";"276";"266";"10";"Участвуете в конкурсе";"1354628";"—"
"6";"1";"—";"275";"265";"10";"Участвуете в конкурсе";"2021531";"—"
"7";"2";"—";"274";"264";"10";"Участвуете в конкурсе";"2345160";"—"
"8";"1";"—";"274";"264";"10";"Участвуете в конкурсе";"1776521";"—"
"2";"1";"Электронное";"273";"263";"10";"Участвуете в конкурсе";"1643886";"—"
"10";"7";"Электронное";"270";"260";"10";"Участвуете в конкурсе";"1739266";"—"
"11";"6";"—";"266";"256";"10";"Участвуете в конкурсе";"2119866";"—"
"12";"5";"—";"265";"262";"3";"Участвуете в конкурсе";"1520198";"—"
"13";"7";"Электронное";"260";"260";"0";"Участвуете в конкурсе";"1629892";"—"
"14";"6";"—";"259";"259";"0";"Участвуете в конкурсе";"1424003";"—"
"15";"3";"—";"259";"249";"10";"Участвуете в конкурсе";"1616589";"—"
"16";"1";"—";"258";"258";"0";"Участвуете в конкурсе";"1141239";"—"
"17";"1";"—";"258";"248";"10";"Участвуете в конкурсе";"1353395";"—"
"18";"2";"—";"257";"247";"10";"Участвуете в конкурсе";"1314562";"—"
"19";"3";"Электронное";"255";"250";"5";"Участвуете в конкурсе";"2070922";"—"
"20";"5";"—";"254";"244";"10";"Участвуете в конкурсе";"1161200";"—"
"21";"1";"—";"254";"244";"10";"Участвуете в конкурсе";"2220150";"—"
"22";"2";"—";"253";"253";"0";"Участвуете в конкурсе";"1493829";"—"
"23";"5";"—";"253";"243";"10";"Участвуете в конкурсе";"1991819";"—"
"24";"2";"—";"251";"241";"10";"Участвуете в конкурсе";"1286125";"—"
"25";"4";"—";"250";"250";"0";"Участвуете в конкурсе";"1848238";"—"
"26";"2";"Электронное";"250";"248";"2";"Участвуете в конкурсе";"1694592";"—"
"27";"1";"—";"250";"240";"10";"Участвуете в конкурсе";"2248399";"—"
"28";"4";"—";"249";"239";"10";"Участвуете в конкурсе";"1847194";"—"
"29";"3";"Электронное";"248";"238";"10";"Участвуете в конкурсе";"1889377";"—"
"30";"4";"—";"245";"245";"0";"Участвуете в конкурсе";"1330860";"—"
"31";"5";"—";"245";"240";"5";"Участвуете в конкурсе";"2181000";"—"
"32";"2";"—";"244";"244";"0";"Участвуете в конкурсе";"1904650";"—"
"33";"5";"—";"243";"243";"0";"Участвуете в конкурсе";"1914936";"—"
"34";"1";"—";"239";"237";"2";"Участвуете в конкурсе";"2370785";"—"
"35";"5";"Электронное";"238";"238";"0";"Участвуете в конкурсе";"1267575";"—"
"36";"1";"—";"237";"237";"0";"Участвуете в конкурсе";"1653572";"—"
"37";"6";"—";"237";"237";"0";"Участвуете в конкурсе";"2056987";"—"
"38";"9";"—";"237";"235";"2";"Участвуете в конкурсе";"1533057";"—"
"39";"2";"—";"237";"227";"10";"Участвуете в конкурсе";"2313365";"—"
"40";"3";"—";"236";"236";"0";"Участвуете в конкурсе";"975878";"—"
"41";"7";"—";"236";"226";"10";"Участвуете в конкурсе";"1585866";"—"
"42";"3";"—";"235";"235";"0";"Участвуете в конкурсе";"1999167";"—"
"43";"1";"—";"235";"235";"0";"Участвуете в конкурсе";"2306178";"—"
"44";"1";"—";"235";"235";"0";"Участвуете в конкурсе";"2182294";"—"
"45";"6";"—";"235";"230";"5";"Участвуете в конкурсе";"1254830";"—"
"46";"2";"Электронное";"234";"229";"5";"Участвуете в конкурсе";"1853137";"—"
"47";"3";"Электронное";"234";"224";"10";"Участвуете в конкурсе";"1565839";"—"
"48";"11";"—";"233";"223";"10";"Участвуете в конкурсе";"1413062";"—"
"49";"5";"—";"230";"228";"2";"Участвуете в конкурсе";"1514477";"—"
"50";"5";"—";"229";"229";"0";"Участвуете в конкурсе";"1847764";"—"
"51";"3";"—";"229";"219";"10";"Участвуете в конкурсе";"1387203";"—"
"52";"5";"Электронное";"227";"227";"0";"Участвуете в конкурсе";"1288631";"—"
"53";"1";"—";"227";"217";"10";"Участвуете в конкурсе";"1772890";"—"
"54";"5";"—";"226";"226";"0";"Участвуете в конкурсе";"1267742";"—"
"55";"4";"Электронное";"226";"224";"2";"Участвуете в конкурсе";"1418271";"—"
"56";"1";"—";"226";"216";"10";"Участвуете в конкурсе";"2245367";"—"
"57";"2";"Электронное";"225";"225";"0";"Участвуете в конкурсе";"1896458";"—"
"58";"4";"—";"223";"223";"0";"Участвуете в конкурсе";"2392201";"—"
"59";"1";"—";"222";"222";"0";"Участвуете в конкурсе";"1122355";"—"
"60";"6";"—";"222";"222";"0";"Участвуете в конкурсе";"1772505";"—"
"61";"7";"—";"222";"222";"0";"Участвуете в конкурсе";"2416677";"—"
"62";"8";"Электронное";"222";"220";"2";"Участвуете в конкурсе";"1846326";"—"
"63";"4";"—";"221";"221";"0";"Участвуете в конкурсе";"1022024";"—"
"64";"2";"—";"221";"221";"0";"Участвуете в конкурсе";"1176243";"—"
"65";"2";"—";"221";"211";"10";"Участвуете в конкурсе";"2345277";"—"
"66";"2";"Электронное";"220";"220";"0";"Участвуете в конкурсе";"1174925";"—"
"3";"1";"Электронное";"218";"208";"10";"Участвуете в конкурсе";"1915999";"—"
"68";"6";"—";"215";"212";"3";"Участвуете в конкурсе";"1354549";"—"
"69";"7";"Электронное";"213";"210";"3";"Участвуете в конкурсе";"1040065";"—"
"70";"1";"—";"213";"203";"10";"Участвуете в конкурсе";"1996748";"—"
"71";"5";"—";"212";"212";"0";"Участвуете в конкурсе";"2081384";"—"
"72";"20";"—";"212";"212";"0";"Участвуете в конкурсе";"2056410";"—"
"73";"2";"—";"211";"211";"0";"Участвуете в конкурсе";"2050353";"—"
"74";"5";"—";"210";"200";"10";"Участвуете в конкурсе";"1026522";"—"
"75";"8";"—";"209";"209";"0";"Участвуете в конкурсе";"1197919";"—"
"76";"8";"—";"208";"208";"0";"Участвуете в конкурсе";"1183887";"—"
"77";"6";"—";"207";"207";"0";"Участвуете в конкурсе";"2029267";"—"
"78";"4";"—";"204";"204";"0";"Участвуете в конкурсе";"1836228";"—"
