"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"256";"246";"10";"Участвуете в конкурсе";"1488960";"—"
"1";"1";"Электронное";"225";"217";"8";"Участвуете в конкурсе";"2187440";"—"
"3";"1";"—";"220";"214";"6";"Участвуете в конкурсе";"1157522";"—"
"4";"1";"—";"209";"207";"2";"Участвуете в конкурсе";"1144341";"—"
"2";"1";"Электронное";"197";"197";"0";"Участвуете в конкурсе";"1790532";"—"
"6";"2";"—";"296";"296";"0";"Участвуете в конкурсе";"1727817";"—"
"7";"2";"—";"287";"287";"0";"Участвуете в конкурсе";"1722010";"—"
"8";"9";"—";"284";"284";"0";"Участвуете в конкурсе";"1728313";"—"
"1";"1";"Электронное";"282";"282";"0";"Участвуете в конкурсе";"959778";"—"
"10";"8";"—";"275";"265";"10";"Участвуете в конкурсе";"2021531";"—"
"2";"1";"Электронное";"274";"264";"10";"Участвуете в конкурсе";"938617";"—"
"12";"8";"Электронное";"270";"260";"10";"Участвуете в конкурсе";"1739266";"—"
"13";"5";"—";"267";"257";"10";"Участвуете в конкурсе";"1854486";"—"
"14";"8";"—";"266";"256";"10";"Участвуете в конкурсе";"2119866";"—"
"15";"6";"—";"265";"262";"3";"Участвуете в конкурсе";"1520198";"—"
"16";"3";"—";"263";"253";"10";"Участвуете в конкурсе";"966646";"—"
"17";"1";"—";"261";"261";"0";"Участвуете в конкурсе";"1696986";"—"
"18";"15";"Электронное";"260";"260";"0";"Участвуете в конкурсе";"1629892";"—"
"19";"1";"—";"259";"259";"0";"Участвуете в конкурсе";"1424003";"—"
"20";"2";"—";"259";"249";"10";"Участвуете в конкурсе";"1616589";"—"
"21";"4";"—";"258";"248";"10";"Участвуете в конкурсе";"1353395";"—"
"3";"1";"Электронное";"258";"248";"10";"Участвуете в конкурсе";"1715288";"—"
