"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"—";"—";"0";"Участвуете в конкурсе";"2032312";"—"
"2";"4";"—";"307";"297";"10";"Участвуете в конкурсе";"1740971";"—"
"3";"1";"—";"299";"289";"10";"Участвуете в конкурсе";"1767515";"—"
"4";"15";"—";"297";"287";"10";"Участвуете в конкурсе";"1002125";"—"
"5";"2";"—";"291";"281";"10";"Участвуете в конкурсе";"1436615";"—"
"6";"6";"—";"290";"290";"0";"Участвуете в конкурсе";"1772218";"—"
"7";"9";"—";"290";"280";"10";"Участвуете в конкурсе";"2005775";"—"
"8";"1";"—";"290";"280";"10";"Участвуете в конкурсе";"1649552";"—"
"9";"9";"—";"288";"288";"0";"Участвуете в конкурсе";"1754895";"—"
"10";"3";"—";"288";"288";"0";"Участвуете в конкурсе";"1784930";"—"
"11";"8";"—";"288";"278";"10";"Участвуете в конкурсе";"1342132";"—"
"12";"1";"—";"287";"287";"0";"Участвуете в конкурсе";"1134239";"—"
"13";"1";"—";"284";"284";"0";"Участвуете в конкурсе";"1754673";"—"
"14";"21";"—";"284";"284";"0";"Участвуете в конкурсе";"1559848";"—"
"15";"10";"—";"283";"283";"0";"Участвуете в конкурсе";"1694425";"—"
"16";"1";"—";"282";"272";"10";"Участвуете в конкурсе";"1908074";"—"
"17";"7";"—";"281";"281";"0";"Участвуете в конкурсе";"1728115";"—"
"18";"2";"—";"281";"279";"2";"Участвуете в конкурсе";"1027077";"—"
"19";"7";"—";"281";"271";"10";"Участвуете в конкурсе";"1616124";"—"
"20";"5";"—";"281";"271";"10";"Участвуете в конкурсе";"2222914";"—"
"21";"2";"—";"281";"271";"10";"Участвуете в конкурсе";"1569745";"—"
"22";"8";"—";"280";"274";"6";"Участвуете в конкурсе";"1199343";"—"
"23";"6";"—";"280";"270";"10";"Участвуете в конкурсе";"1707537";"—"
"24";"1";"—";"280";"270";"10";"Участвуете в конкурсе";"987635";"—"
"25";"1";"—";"279";"279";"0";"Участвуете в конкурсе";"1721293";"—"
"26";"9";"—";"279";"276";"3";"Участвуете в конкурсе";"1504424";"—"
"27";"4";"—";"279";"269";"10";"Участвуете в конкурсе";"2309001";"—"
"28";"8";"—";"279";"269";"10";"Участвуете в конкурсе";"1855542";"—"
"29";"9";"—";"279";"269";"10";"Участвуете в конкурсе";"1788034";"—"
"30";"5";"—";"279";"269";"10";"Участвуете в конкурсе";"1585096";"—"
"31";"10";"—";"279";"269";"10";"Участвуете в конкурсе";"1519451";"—"
"32";"14";"—";"278";"278";"0";"Участвуете в конкурсе";"1086025";"—"
"33";"13";"—";"278";"278";"0";"Участвуете в конкурсе";"1839719";"—"
"34";"12";"—";"278";"268";"10";"Участвуете в конкурсе";"1505484";"—"
"35";"7";"—";"278";"268";"10";"Участвуете в конкурсе";"1721284";"—"
"36";"8";"—";"277";"277";"0";"Участвуете в конкурсе";"1292893";"—"
"37";"7";"—";"277";"267";"10";"Участвуете в конкурсе";"1177548";"—"
"38";"1";"—";"277";"267";"10";"Участвуете в конкурсе";"1016998";"—"
"39";"4";"—";"277";"267";"10";"Участвуете в конкурсе";"1786847";"—"
"40";"1";"—";"277";"267";"10";"Участвуете в конкурсе";"1325063";"—"
"41";"2";"—";"277";"267";"10";"Участвуете в конкурсе";"1158264";"—"
"42";"15";"—";"276";"274";"2";"Участвуете в конкурсе";"1622597";"—"
"43";"7";"—";"276";"266";"10";"Участвуете в конкурсе";"1940619";"—"
