"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"—";"—";"10";"Участвуете в конкурсе";"1620311";"—"
"2";"6";"—";"307";"297";"10";"Участвуете в конкурсе";"1740971";"—"
"3";"13";"—";"301";"291";"10";"Участвуете в конкурсе";"1180515";"—"
"4";"13";"—";"299";"289";"10";"Участвуете в конкурсе";"1767515";"—"
"5";"11";"—";"297";"287";"10";"Участвуете в конкурсе";"1002125";"—"
"6";"6";"—";"291";"281";"10";"Участвуете в конкурсе";"1436615";"—"
"7";"12";"—";"290";"280";"10";"Участвуете в конкурсе";"2005775";"—"
"8";"12";"—";"288";"288";"0";"Участвуете в конкурсе";"1754895";"—"
"9";"9";"—";"288";"288";"0";"Участвуете в конкурсе";"1784930";"—"
"10";"6";"—";"288";"278";"10";"Участвуете в конкурсе";"1342132";"—"
"11";"13";"—";"284";"284";"0";"Участвуете в конкурсе";"1559848";"—"
"12";"8";"—";"284";"274";"10";"Участвуете в конкурсе";"1779294";"—"
"13";"14";"—";"283";"283";"0";"Участвуете в конкурсе";"1694425";"—"
"14";"6";"—";"282";"272";"10";"Участвуете в конкурсе";"1908074";"—"
"15";"2";"—";"281";"281";"0";"Участвуете в конкурсе";"1728115";"—"
"16";"5";"—";"281";"279";"2";"Участвуете в конкурсе";"1027077";"—"
"17";"6";"—";"281";"271";"10";"Участвуете в конкурсе";"1616124";"—"
"18";"6";"—";"281";"271";"10";"Участвуете в конкурсе";"1569745";"—"
"19";"5";"—";"280";"270";"10";"Участвуете в конкурсе";"1280884";"—"
"20";"5";"—";"279";"279";"0";"Участвуете в конкурсе";"1257336";"—"
"21";"10";"—";"279";"276";"3";"Участвуете в конкурсе";"1504424";"—"
"22";"11";"—";"279";"269";"10";"Участвуете в конкурсе";"1855542";"—"
"23";"3";"—";"279";"269";"10";"Участвуете в конкурсе";"1788034";"—"
"24";"4";"—";"279";"269";"10";"Участвуете в конкурсе";"1585096";"—"
"25";"6";"—";"279";"269";"10";"Участвуете в конкурсе";"1519451";"—"
"26";"4";"—";"278";"278";"0";"Участвуете в конкурсе";"1839719";"—"
"27";"6";"—";"278";"268";"10";"Участвуете в конкурсе";"1505484";"—"
"28";"1";"—";"278";"268";"10";"Участвуете в конкурсе";"1721284";"—"
"29";"9";"—";"277";"277";"0";"Участвуете в конкурсе";"1292893";"—"
"30";"5";"—";"277";"267";"10";"Участвуете в конкурсе";"1786847";"—"
"31";"8";"—";"276";"274";"2";"Участвуете в конкурсе";"1622597";"—"
"32";"2";"—";"276";"266";"10";"Участвуете в конкурсе";"1324851";"—"
"33";"2";"—";"276";"266";"10";"Участвуете в конкурсе";"1940619";"—"
"34";"5";"—";"276";"266";"10";"Участвуете в конкурсе";"1845366";"—"
"35";"3";"—";"276";"266";"10";"Участвуете в конкурсе";"988282";"—"
"36";"6";"—";"275";"275";"0";"Участвуете в конкурсе";"996095";"—"
"37";"7";"—";"275";"275";"0";"Участвуете в конкурсе";"1606981";"—"
"38";"7";"—";"275";"273";"2";"Участвуете в конкурсе";"1536009";"—"
"39";"4";"—";"275";"265";"10";"Участвуете в конкурсе";"2266801";"—"
"40";"7";"—";"274";"264";"10";"Участвуете в конкурсе";"1408384";"—"
"41";"4";"—";"274";"264";"10";"Участвуете в конкурсе";"1886005";"—"
"42";"2";"—";"274";"264";"10";"Участвуете в конкурсе";"1433428";"—"
"43";"5";"—";"274";"264";"10";"Участвуете в конкурсе";"1903437";"—"
"44";"10";"—";"273";"273";"0";"Участвуете в конкурсе";"1171457";"—"
