"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"11";"—";"307";"297";"10";"Участвуете в конкурсе";"1740971";"—"
"2";"3";"—";"301";"291";"10";"Участвуете в конкурсе";"1180515";"—"
"3";"10";"—";"299";"289";"10";"Участвуете в конкурсе";"1767515";"—"
"4";"9";"—";"297";"287";"10";"Участвуете в конкурсе";"1002125";"—"
"5";"2";"—";"294";"284";"10";"Участвуете в конкурсе";"1212446";"—"
"6";"3";"—";"293";"293";"0";"Участвуете в конкурсе";"1742383";"—"
"7";"1";"—";"293";"291";"2";"Участвуете в конкурсе";"1604793";"—"
"8";"8";"—";"290";"280";"10";"Участвуете в конкурсе";"2005775";"—"
"9";"6";"—";"290";"280";"10";"Участвуете в конкурсе";"1649552";"—"
"10";"10";"—";"288";"288";"0";"Участвуете в конкурсе";"1754895";"—"
"11";"12";"—";"288";"288";"0";"Участвуете в конкурсе";"1784930";"—"
"12";"3";"—";"288";"278";"10";"Участвуете в конкурсе";"1342132";"—"
"13";"4";"—";"284";"284";"0";"Участвуете в конкурсе";"1754673";"—"
"14";"1";"—";"284";"284";"0";"Участвуете в конкурсе";"1200744";"—"
"15";"14";"—";"284";"284";"0";"Участвуете в конкурсе";"1559848";"—"
"16";"2";"—";"284";"274";"10";"Участвуете в конкурсе";"1779294";"—"
"17";"7";"—";"283";"283";"0";"Участвуете в конкурсе";"1694425";"—"
"18";"5";"—";"282";"272";"10";"Участвуете в конкурсе";"1908074";"—"
"19";"9";"—";"281";"281";"0";"Участвуете в конкурсе";"1728115";"—"
"20";"6";"—";"281";"279";"2";"Участвуете в конкурсе";"1027077";"—"
"21";"4";"—";"281";"271";"10";"Участвуете в конкурсе";"1616124";"—"
"22";"4";"—";"281";"271";"10";"Участвуете в конкурсе";"1976484";"—"
"23";"3";"—";"281";"271";"10";"Участвуете в конкурсе";"1569745";"—"
"24";"5";"—";"280";"274";"6";"Участвуете в конкурсе";"1199343";"—"
"25";"7";"—";"280";"270";"10";"Участвуете в конкурсе";"1280884";"—"
"26";"6";"—";"279";"279";"0";"Участвуете в конкурсе";"1257336";"—"
"27";"1";"—";"279";"276";"3";"Участвуете в конкурсе";"1504424";"—"
"28";"9";"—";"279";"269";"10";"Участвуете в конкурсе";"2309001";"—"
"29";"12";"—";"279";"269";"10";"Участвуете в конкурсе";"1855542";"—"
"30";"7";"—";"279";"269";"10";"Участвуете в конкурсе";"1788034";"—"
"31";"2";"—";"279";"269";"10";"Участвуете в конкурсе";"1767848";"—"
"32";"14";"—";"279";"269";"10";"Участвуете в конкурсе";"1585096";"—"
"33";"5";"—";"279";"269";"10";"Участвуете в конкурсе";"1519451";"—"
"34";"6";"—";"278";"278";"0";"Участвуете в конкурсе";"1622529";"—"
"35";"7";"—";"278";"278";"0";"Участвуете в конкурсе";"1839719";"—"
"36";"9";"—";"278";"268";"10";"Участвуете в конкурсе";"1505484";"—"
"37";"2";"—";"278";"268";"10";"Участвуете в конкурсе";"1721284";"—"
"38";"4";"—";"277";"275";"2";"Участвуете в конкурсе";"1606981";"—"
"39";"1";"—";"277";"267";"10";"Участвуете в конкурсе";"1654153";"—"
"40";"7";"—";"276";"274";"2";"Участвуете в конкурсе";"1622597";"—"
"41";"4";"—";"276";"266";"10";"Участвуете в конкурсе";"1845366";"—"
