"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"13";"—";"287";"287";"0";"Участвуете в конкурсе";"1722010";"—"
"2";"4";"—";"284";"284";"0";"Участвуете в конкурсе";"1728313";"—"
"3";"4";"—";"274";"264";"10";"Участвуете в конкурсе";"2345160";"—"
"4";"1";"—";"273";"263";"10";"Участвуете в конкурсе";"2339431";"—"
"5";"6";"Электронное";"273";"263";"10";"Участвуете в конкурсе";"1643886";"—"
"6";"5";"Электронное";"270";"260";"10";"Участвуете в конкурсе";"1739266";"—"
"1";"1";"Электронное";"268";"264";"4";"Участвуете в конкурсе";"1542070";"—"
"8";"3";"—";"267";"257";"10";"Участвуете в конкурсе";"1854486";"—"
"9";"9";"—";"265";"262";"3";"Участвуете в конкурсе";"1520198";"—"
"10";"6";"—";"263";"253";"10";"Участвуете в конкурсе";"966646";"—"
"11";"4";"—";"263";"253";"10";"Участвуете в конкурсе";"2153821";"—"
"12";"13";"Электронное";"260";"260";"0";"Участвуете в конкурсе";"1629892";"—"
"13";"7";"—";"259";"259";"0";"Участвуете в конкурсе";"1424003";"—"
"14";"2";"—";"258";"258";"0";"Участвуете в конкурсе";"1721114";"—"
"15";"10";"—";"258";"258";"0";"Участвуете в конкурсе";"1141239";"—"
"16";"6";"—";"258";"248";"10";"Участвуете в конкурсе";"1353395";"—"
"17";"9";"Электронное";"255";"250";"5";"Участвуете в конкурсе";"2070922";"—"
"18";"5";"—";"254";"244";"10";"Участвуете в конкурсе";"2220150";"—"
"19";"6";"—";"251";"241";"10";"Участвуете в конкурсе";"1286125";"—"
"20";"5";"—";"250";"250";"0";"Участвуете в конкурсе";"1848238";"—"
"21";"3";"Электронное";"250";"248";"2";"Участвуете в конкурсе";"1694592";"—"
"22";"7";"—";"248";"248";"0";"Участвуете в конкурсе";"2074190";"—"
"23";"5";"Электронное";"248";"238";"10";"Участвуете в конкурсе";"1889377";"—"
"24";"7";"—";"248";"238";"10";"Участвуете в конкурсе";"1363354";"—"
"25";"8";"—";"244";"244";"0";"Участвуете в конкурсе";"1904650";"—"
