"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"—";"—";"10";"Участвуете в конкурсе";"1620311";"—"
"2";"10";"—";"307";"297";"10";"Участвуете в конкурсе";"1740971";"—"
"3";"14";"—";"301";"291";"10";"Участвуете в конкурсе";"1180515";"—"
"4";"14";"—";"299";"289";"10";"Участвуете в конкурсе";"1767515";"—"
"5";"12";"—";"297";"287";"10";"Участвуете в конкурсе";"1002125";"—"
"6";"13";"—";"290";"280";"10";"Участвуете в конкурсе";"2005775";"—"
"7";"13";"—";"288";"288";"0";"Участвуете в конкурсе";"1754895";"—"
"8";"10";"—";"288";"288";"0";"Участвуете в конкурсе";"1784930";"—"
"9";"2";"—";"288";"278";"10";"Участвуете в конкурсе";"1342132";"—"
"10";"1";"—";"287";"277";"10";"Участвуете в конкурсе";"2178486";"—"
"11";"12";"—";"284";"284";"0";"Участвуете в конкурсе";"1559848";"—"
"12";"7";"—";"284";"274";"10";"Участвуете в конкурсе";"1779294";"—"
"13";"15";"—";"283";"283";"0";"Участвуете в конкурсе";"1694425";"—"
"14";"1";"—";"282";"272";"10";"Участвуете в конкурсе";"1317835";"—"
"15";"6";"—";"281";"281";"0";"Участвуете в конкурсе";"1728115";"—"
"16";"1";"—";"281";"281";"0";"Участвуете в конкурсе";"1855818";"—"
"17";"4";"—";"281";"279";"2";"Участвуете в конкурсе";"1027077";"—"
"18";"9";"—";"280";"274";"6";"Участвуете в конкурсе";"1199343";"—"
"19";"6";"—";"280";"270";"10";"Участвуете в конкурсе";"1280884";"—"
"20";"11";"—";"279";"276";"3";"Участвуете в конкурсе";"1504424";"—"
"21";"9";"—";"279";"269";"10";"Участвуете в конкурсе";"1855542";"—"
"22";"6";"—";"279";"269";"10";"Участвуете в конкурсе";"1788034";"—"
"23";"3";"—";"279";"269";"10";"Участвуете в конкурсе";"1585096";"—"
"24";"1";"—";"279";"269";"10";"Участвуете в конкурсе";"1519451";"—"
"25";"3";"—";"278";"278";"0";"Участвуете в конкурсе";"1622529";"—"
"26";"6";"—";"278";"278";"0";"Участвуете в конкурсе";"1839719";"—"
"27";"3";"—";"278";"268";"10";"Участвуете в конкурсе";"1505484";"—"
"28";"8";"—";"278";"268";"10";"Участвуете в конкурсе";"1721284";"—"
"29";"6";"—";"277";"277";"0";"Участвуете в конкурсе";"1292893";"—"
"30";"1";"—";"277";"267";"10";"Участвуете в конкурсе";"1177548";"—"
