"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"7";"—";"307";"297";"10";"Участвуете в конкурсе";"1740971";"—"
"2";"16";"—";"299";"289";"10";"Участвуете в конкурсе";"1767515";"—"
"3";"13";"—";"297";"287";"10";"Участвуете в конкурсе";"1002125";"—"
"4";"11";"—";"290";"280";"10";"Участвуете в конкурсе";"2005775";"—"
"5";"3";"—";"288";"288";"0";"Участвуете в конкурсе";"1754895";"—"
"6";"10";"—";"288";"278";"10";"Участвуете в конкурсе";"1342132";"—"
"7";"11";"—";"284";"284";"0";"Участвуете в конкурсе";"1559848";"—"
"8";"5";"—";"284";"274";"10";"Участвуете в конкурсе";"1779294";"—"
"9";"4";"—";"281";"281";"0";"Участвуете в конкурсе";"1728115";"—"
"10";"7";"—";"281";"279";"2";"Участвуете в конкурсе";"1027077";"—"
"11";"8";"—";"280";"270";"10";"Участвуете в конкурсе";"1280884";"—"
"12";"12";"—";"279";"276";"3";"Участвуете в конкурсе";"1504424";"—"
"13";"10";"—";"279";"269";"10";"Участвуете в конкурсе";"1855542";"—"
"14";"14";"—";"278";"278";"0";"Участвуете в конкурсе";"1839719";"—"
"15";"14";"—";"278";"268";"10";"Участвуете в конкурсе";"1505484";"—"
"16";"13";"—";"276";"266";"10";"Участвуете в конкурсе";"1845366";"—"
"17";"8";"—";"276";"266";"10";"Участвуете в конкурсе";"988282";"—"
"18";"8";"—";"275";"275";"0";"Участвуете в конкурсе";"1606981";"—"
"19";"9";"—";"275";"273";"2";"Участвуете в конкурсе";"1536009";"—"
"20";"2";"—";"274";"264";"10";"Участвуете в конкурсе";"1408384";"—"
"21";"7";"—";"274";"264";"10";"Участвуете в конкурсе";"1794716";"—"
"22";"6";"—";"274";"264";"10";"Участвуете в конкурсе";"1903437";"—"
"23";"14";"—";"273";"273";"0";"Участвуете в конкурсе";"1171457";"—"
"24";"14";"—";"273";"263";"10";"Участвуете в конкурсе";"2318493";"—"
"25";"19";"—";"273";"263";"10";"Участвуете в конкурсе";"1327994";"—"
"26";"1";"—";"272";"272";"0";"Участвуете в конкурсе";"1513873";"—"
"27";"14";"—";"272";"262";"10";"Участвуете в конкурсе";"1213224";"—"
"28";"10";"—";"272";"262";"10";"Участвуете в конкурсе";"1416387";"—"
