"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"250";"240";"10";"Участвуете в конкурсе";"1794594";"—"
"1";"1";"Электронное";"232";"222";"10";"Участвуете в конкурсе";"1258534";"—"
"2";"1";"Электронное";"229";"219";"10";"Участвуете в конкурсе";"1352537";"—"
"3";"2";"Электронное";"225";"215";"10";"Участвуете в конкурсе";"1885589";"—"
"4";"1";"Электронное";"221";"211";"10";"Участвуете в конкурсе";"1988107";"—"
"5";"1";"Электронное";"221";"211";"10";"Участвуете в конкурсе";"1677281";"—"
"6";"1";"Электронное";"219";"217";"2";"Участвуете в конкурсе";"1104587";"—"
"7";"1";"Электронное";"215";"215";"0";"Участвуете в конкурсе";"1653095";"—"
"9";"2";"—";"213";"213";"0";"Участвуете в конкурсе";"2169222";"—"
"10";"5";"—";"210";"208";"2";"Участвуете в конкурсе";"2134887";"—"
"11";"1";"—";"210";"208";"2";"Участвуете в конкурсе";"951841";"—"
"12";"6";"—";"204";"204";"0";"Участвуете в конкурсе";"2054946";"—"
"8";"1";"Электронное";"201";"201";"0";"Участвуете в конкурсе";"1337687";"—"
"9";"5";"Электронное";"201";"199";"2";"Участвуете в конкурсе";"1209339";"—"
"10";"1";"Электронное";"201";"191";"10";"Участвуете в конкурсе";"1671598";"—"
"11";"1";"Электронное";"198";"195";"3";"Участвуете в конкурсе";"1859143";"—"
"12";"1";"Электронное";"197";"194";"3";"Участвуете в конкурсе";"1504484";"—"
"13";"1";"Электронное";"186";"186";"0";"Участвуете в конкурсе";"1399611";"—"
"14";"1";"Электронное";"186";"186";"0";"Участвуете в конкурсе";"1166347";"—"
"15";"3";"Электронное";"180";"180";"0";"Участвуете в конкурсе";"1366098";"—"
"16";"1";"Электронное";"175";"175";"0";"Участвуете в конкурсе";"1189248";"—"
"22";"3";"—";"259";"249";"10";"Участвуете в конкурсе";"1847959";"—"
"23";"2";"—";"254";"244";"10";"Участвуете в конкурсе";"1161200";"—"
"24";"2";"—";"252";"252";"0";"Участвуете в конкурсе";"1964859";"—"
"25";"2";"—";"244";"234";"10";"Участвуете в конкурсе";"2381605";"—"
"26";"2";"Электронное";"240";"240";"0";"Участвуете в конкурсе";"1531630";"—"
"27";"2";"—";"228";"228";"0";"Участвуете в конкурсе";"2285078";"—"
"28";"9";"Электронное";"226";"216";"10";"Участвуете в конкурсе";"2123716";"—"
"29";"1";"—";"225";"222";"3";"Участвуете в конкурсе";"1366757";"—"
"30";"6";"—";"224";"214";"10";"Участвуете в конкурсе";"1832892";"—"
"31";"3";"—";"222";"220";"2";"Участвуете в конкурсе";"1725696";"—"
"32";"4";"—";"221";"221";"0";"Участвуете в конкурсе";"1245826";"—"
"33";"3";"—";"221";"221";"0";"Участвуете в конкурсе";"1879625";"—"
"34";"5";"—";"219";"219";"0";"Участвуете в конкурсе";"1289620";"—"
"35";"3";"—";"218";"208";"10";"Участвуете в конкурсе";"1716713";"—"
"36";"5";"—";"212";"212";"0";"Участвуете в конкурсе";"2006425";"—"
"37";"1";"—";"211";"211";"0";"Участвуете в конкурсе";"1579759";"—"
"38";"3";"—";"207";"207";"0";"Участвуете в конкурсе";"1794902";"—"
"1";"1";"Электронное";"199";"199";"0";"Участвуете в конкурсе";"2255100";"—"
"40";"2";"—";"199";"196";"3";"Участвуете в конкурсе";"1364407";"—"
"41";"3";"—";"193";"193";"0";"Участвуете в конкурсе";"1627425";"—"
"42";"3";"Электронное";"192";"192";"0";"Участвуете в конкурсе";"1002646";"—"
"2";"1";"Электронное";"177";"177";"0";"Участвуете в конкурсе";"1689010";"—"
"44";"6";"Электронное";"173";"173";"0";"Участвуете в конкурсе";"2158809";"—"
"45";"6";"—";"2";"0";"2";"Участвуете в конкурсе";"1420585";"—"
"46";"4";"Электронное";"0";"0";"0";"Участвуете в конкурсе";"1298686";"—"
"47";"3";"—";"0";"0";"0";"Участвуете в конкурсе";"1390814";"—"
"48";"7";"—";"0";"0";"0";"Участвуете в конкурсе";"1995814";"—"
"49";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"2182092";"—"
"50";"4";"—";"0";"0";"0";"Участвуете в конкурсе";"2292069";"—"
"51";"2";"—";"271";"261";"10";"Участвуете в конкурсе";"1729520";"—"
"52";"1";"—";"268";"258";"10";"Участвуете в конкурсе";"1507947";"—"
"53";"1";"—";"263";"253";"10";"Участвуете в конкурсе";"2241609";"—"
"54";"1";"—";"258";"248";"10";"Участвуете в конкурсе";"1039780";"—"
"55";"3";"—";"257";"247";"10";"Участвуете в конкурсе";"2410830";"—"
"56";"4";"—";"256";"246";"10";"Участвуете в конкурсе";"1757493";"—"
"57";"2";"—";"252";"252";"0";"Участвуете в конкурсе";"1964859";"—"
"58";"2";"—";"240";"240";"0";"Участвуете в конкурсе";"2008992";"—"
"59";"4";"—";"239";"229";"10";"Участвуете в конкурсе";"1445098";"—"
"1";"1";"Электронное";"238";"228";"10";"Участвуете в конкурсе";"1243134";"—"
"61";"3";"—";"238";"228";"10";"Участвуете в конкурсе";"1550578";"—"
"62";"2";"—";"230";"230";"0";"Участвуете в конкурсе";"1310205";"—"
"63";"10";"—";"229";"229";"0";"Участвуете в конкурсе";"1438950";"—"
"64";"3";"—";"229";"219";"10";"Участвуете в конкурсе";"2211080";"—"
"65";"5";"—";"228";"218";"10";"Участвуете в конкурсе";"1670647";"—"
"66";"9";"—";"225";"225";"0";"Участвуете в конкурсе";"1223041";"—"
"67";"3";"—";"223";"223";"0";"Участвуете в конкурсе";"982175";"—"
"68";"4";"Электронное";"223";"221";"2";"Участвуете в конкурсе";"1695914";"—"
"69";"6";"—";"222";"222";"0";"Участвуете в конкурсе";"2042798";"—"
"70";"4";"—";"222";"220";"2";"Участвуете в конкурсе";"939270";"—"
"71";"4";"—";"221";"219";"2";"Участвуете в конкурсе";"1609760";"—"
"72";"1";"—";"218";"208";"10";"Участвуете в конкурсе";"1793418";"—"
"73";"5";"—";"217";"212";"5";"Участвуете в конкурсе";"1681619";"—"
"74";"7";"—";"215";"213";"2";"Участвуете в конкурсе";"1139904";"—"
"75";"3";"Электронное";"213";"210";"3";"Участвуете в конкурсе";"1577209";"—"
"76";"7";"—";"212";"212";"0";"Участвуете в конкурсе";"1645848";"—"
"77";"1";"—";"211";"209";"2";"Участвуете в конкурсе";"1267274";"—"
"78";"1";"—";"210";"208";"2";"Участвуете в конкурсе";"1716891";"—"
"79";"2";"—";"209";"207";"2";"Участвуете в конкурсе";"2303067";"—"
"80";"2";"—";"207";"205";"2";"Участвуете в конкурсе";"1921061";"—"
"81";"2";"—";"206";"204";"2";"Участвуете в конкурсе";"2223564";"—"
"82";"7";"—";"205";"205";"0";"Участвуете в конкурсе";"2302682";"—"
"2";"1";"Электронное";"204";"204";"0";"Участвуете в конкурсе";"1185426";"—"
"84";"10";"—";"201";"201";"0";"Участвуете в конкурсе";"1521122";"—"
"85";"2";"—";"199";"199";"0";"Участвуете в конкурсе";"1906776";"—"
"86";"1";"—";"198";"196";"2";"Участвуете в конкурсе";"2273529";"—"
"87";"2";"—";"195";"195";"0";"Участвуете в конкурсе";"1846440";"—"
"88";"2";"—";"194";"194";"0";"Участвуете в конкурсе";"2000967";"—"
"89";"6";"—";"189";"189";"0";"Участвуете в конкурсе";"2230178";"—"
"90";"3";"—";"187";"187";"0";"Участвуете в конкурсе";"2053645";"—"
"91";"2";"—";"183";"183";"0";"Участвуете в конкурсе";"1267143";"—"
"92";"6";"—";"179";"179";"0";"Участвуете в конкурсе";"2056715";"—"
"93";"3";"—";"178";"178";"0";"Участвуете в конкурсе";"2312110";"—"
"94";"3";"—";"173";"173";"0";"Участвуете в конкурсе";"1141585";"—"
"95";"6";"—";"295";"285";"10";"Участвуете в конкурсе";"1176272";"—"
"96";"3";"—";"290";"280";"10";"Участвуете в конкурсе";"1248105";"—"
"97";"2";"—";"290";"280";"10";"Участвуете в конкурсе";"1560551";"—"
"98";"4";"—";"290";"280";"10";"Участвуете в конкурсе";"1201378";"—"
"99";"5";"Электронное";"284";"284";"0";"Участвуете в конкурсе";"1168107";"—"
"100";"3";"—";"283";"273";"10";"Участвуете в конкурсе";"1348566";"—"
"101";"2";"Электронное";"283";"273";"10";"Участвуете в конкурсе";"1334530";"—"
"102";"3";"Электронное";"282";"277";"5";"Участвуете в конкурсе";"1846964";"—"
"103";"6";"—";"277";"267";"10";"Участвуете в конкурсе";"1289852";"—"
"104";"1";"—";"276";"276";"0";"Участвуете в конкурсе";"1077260";"—"
"105";"3";"Электронное";"276";"276";"0";"Участвуете в конкурсе";"1782131";"—"
"106";"6";"—";"275";"265";"10";"Участвуете в конкурсе";"1893047";"—"
"107";"7";"—";"274";"264";"10";"Участвуете в конкурсе";"1441827";"—"
"108";"1";"Электронное";"273";"273";"0";"Участвуете в конкурсе";"1698392";"—"
"109";"2";"—";"271";"271";"0";"Участвуете в конкурсе";"1568694";"—"
"110";"4";"—";"271";"261";"10";"Участвуете в конкурсе";"1959154";"—"
"111";"2";"—";"271";"261";"10";"Участвуете в конкурсе";"1729520";"—"
"112";"2";"—";"270";"270";"0";"Участвуете в конкурсе";"1633554";"—"
"113";"6";"—";"269";"259";"10";"Участвуете в конкурсе";"1980545";"—"
"114";"3";"—";"268";"268";"0";"Участвуете в конкурсе";"1903510";"—"
"115";"2";"Электронное";"267";"257";"10";"Участвуете в конкурсе";"1077095";"—"
"116";"3";"—";"266";"256";"10";"Участвуете в конкурсе";"1284952";"—"
"117";"2";"—";"264";"264";"0";"Участвуете в конкурсе";"1516265";"—"
"118";"3";"Электронное";"264";"264";"0";"Участвуете в конкурсе";"1430811";"—"
"119";"3";"—";"263";"261";"2";"Участвуете в конкурсе";"2141422";"—"
"120";"6";"—";"263";"260";"3";"Участвуете в конкурсе";"1797816";"—"
"121";"1";"—";"263";"253";"10";"Участвуете в конкурсе";"1916261";"—"
"122";"1";"—";"263";"253";"10";"Участвуете в конкурсе";"2241609";"—"
"123";"3";"—";"262";"257";"5";"Участвуете в конкурсе";"1518509";"—"
"124";"3";"—";"262";"257";"5";"Участвуете в конкурсе";"1247478";"—"
"125";"3";"—";"260";"250";"10";"Участвуете в конкурсе";"1721018";"—"
"126";"5";"—";"259";"257";"2";"Участвуете в конкурсе";"1569090";"—"
"127";"1";"—";"259";"249";"10";"Участвуете в конкурсе";"1942174";"—"
"128";"2";"—";"259";"249";"10";"Участвуете в конкурсе";"1794676";"—"
"129";"3";"—";"259";"249";"10";"Участвуете в конкурсе";"1847959";"—"
"130";"14";"—";"258";"248";"10";"Участвуете в конкурсе";"1439041";"—"
"131";"1";"—";"257";"255";"2";"Участвуете в конкурсе";"1521304";"—"
"132";"7";"—";"257";"247";"10";"Участвуете в конкурсе";"1984572";"—"
"133";"3";"—";"257";"247";"10";"Участвуете в конкурсе";"2410830";"—"
"134";"1";"—";"256";"256";"0";"Участвуете в конкурсе";"2006410";"—"
"135";"1";"Электронное";"256";"256";"0";"Участвуете в конкурсе";"1954878";"—"
"136";"1";"—";"256";"246";"10";"Участвуете в конкурсе";"1205503";"—"
"137";"3";"—";"256";"246";"10";"Участвуете в конкурсе";"1634278";"—"
"138";"4";"—";"256";"246";"10";"Участвуете в конкурсе";"1757493";"—"
