"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"6";"—";"291";"281";"10";"Участвуете в конкурсе";"1613704";"—"
"2";"9";"—";"279";"279";"0";"Участвуете в конкурсе";"1559848";"—"
"3";"1";"—";"279";"269";"10";"Участвуете в конкурсе";"2032116";"—"
"4";"5";"—";"276";"276";"0";"Участвуете в конкурсе";"1782131";"—"
"5";"1";"—";"274";"264";"10";"Участвуете в конкурсе";"1199034";"—"
"6";"4";"—";"273";"263";"10";"Участвуете в конкурсе";"1387653";"—"
"7";"5";"—";"271";"261";"10";"Участвуете в конкурсе";"1959154";"—"
"8";"3";"—";"269";"269";"0";"Участвуете в конкурсе";"1941341";"—"
"9";"6";"—";"267";"257";"10";"Участвуете в конкурсе";"1203630";"—"
"10";"1";"—";"264";"264";"0";"Участвуете в конкурсе";"1516265";"—"
"11";"4";"—";"263";"253";"10";"Участвуете в конкурсе";"1168646";"—"
"12";"4";"—";"259";"249";"10";"Участвуете в конкурсе";"1794676";"—"
"13";"3";"—";"256";"246";"10";"Участвуете в конкурсе";"1205503";"—"
"14";"2";"—";"255";"253";"2";"Участвуете в конкурсе";"1960602";"—"
"15";"2";"—";"254";"254";"0";"Участвуете в конкурсе";"1576361";"—"
"16";"3";"—";"254";"254";"0";"Участвуете в конкурсе";"1245503";"—"
"17";"2";"—";"254";"254";"0";"Участвуете в конкурсе";"1170062";"—"
"18";"2";"—";"253";"253";"0";"Участвуете в конкурсе";"1125217";"—"
"19";"3";"—";"250";"244";"6";"Участвуете в конкурсе";"2069653";"—"
"20";"3";"—";"250";"240";"10";"Участвуете в конкурсе";"1749742";"—"
"21";"6";"—";"249";"249";"0";"Участвуете в конкурсе";"1999336";"—"
"22";"2";"—";"249";"247";"2";"Участвуете в конкурсе";"1960571";"—"
"23";"2";"—";"249";"246";"3";"Участвуете в конкурсе";"1316389";"—"
"24";"2";"—";"249";"244";"5";"Участвуете в конкурсе";"1385748";"—"
"25";"2";"—";"248";"238";"10";"Участвуете в конкурсе";"1616524";"—"
"26";"3";"—";"247";"237";"10";"Участвуете в конкурсе";"1856426";"—"
"27";"4";"—";"246";"236";"10";"Участвуете в конкурсе";"1340686";"—"
"28";"2";"—";"246";"236";"10";"Участвуете в конкурсе";"1857451";"—"
"29";"2";"—";"246";"236";"10";"Участвуете в конкурсе";"1905613";"—"
"30";"5";"—";"245";"235";"10";"Участвуете в конкурсе";"2095230";"—"
"31";"6";"—";"244";"244";"0";"Участвуете в конкурсе";"1577597";"—"
"32";"10";"—";"244";"234";"10";"Участвуете в конкурсе";"1204788";"—"
"33";"3";"—";"242";"242";"0";"Участвуете в конкурсе";"1947808";"—"
"34";"6";"—";"242";"240";"2";"Участвуете в конкурсе";"1911494";"—"
