"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"6";"—";"293";"293";"0";"Участвуете в конкурсе";"1168107";"—"
"2";"8";"—";"291";"281";"10";"Участвуете в конкурсе";"1613704";"—"
"3";"8";"—";"290";"290";"0";"Участвуете в конкурсе";"1772218";"—"
"4";"4";"—";"287";"277";"10";"Участвуете в конкурсе";"1604772";"—"
"5";"2";"—";"286";"276";"10";"Участвуете в конкурсе";"1282488";"—"
"6";"2";"—";"285";"275";"10";"Участвуете в конкурсе";"1191075";"—"
"7";"3";"—";"281";"271";"10";"Участвуете в конкурсе";"1517775";"—"
"8";"9";"—";"280";"270";"10";"Участвуете в конкурсе";"1280884";"—"
"9";"1";"—";"277";"277";"0";"Участвуете в конкурсе";"974103";"—"
"10";"4";"—";"276";"276";"0";"Участвуете в конкурсе";"1782131";"—"
"11";"3";"—";"275";"265";"10";"Участвуете в конкурсе";"1852463";"—"
"12";"7";"—";"272";"272";"0";"Участвуете в конкурсе";"1076106";"—"
"13";"2";"—";"272";"262";"10";"Участвуете в конкурсе";"1258941";"—"
"14";"3";"—";"271";"261";"10";"Участвуете в конкурсе";"1162644";"—"
"15";"5";"—";"270";"265";"5";"Участвуете в конкурсе";"1511998";"—"
"16";"20";"—";"265";"255";"10";"Участвуете в конкурсе";"1762527";"—"
"17";"12";"—";"264";"264";"0";"Участвуете в конкурсе";"1516265";"—"
"18";"3";"—";"264";"259";"5";"Участвуете в конкурсе";"958634";"—"
"19";"5";"—";"264";"254";"10";"Участвуете в конкурсе";"977577";"—"
"20";"7";"—";"263";"253";"10";"Участвуете в конкурсе";"1926458";"—"
"21";"5";"—";"263";"253";"10";"Участвуете в конкурсе";"1621628";"—"
"22";"7";"—";"261";"257";"4";"Участвуете в конкурсе";"1634420";"—"
"23";"5";"—";"261";"251";"10";"Участвуете в конкурсе";"1152135";"—"
"24";"3";"—";"261";"251";"10";"Участвуете в конкурсе";"1504690";"—"
"25";"4";"—";"260";"258";"2";"Участвуете в конкурсе";"2184567";"—"
"26";"5";"—";"260";"255";"5";"Участвуете в конкурсе";"1522072";"—"
"27";"15";"—";"260";"250";"10";"Участвуете в конкурсе";"2271395";"—"
"28";"5";"—";"259";"249";"10";"Участвуете в конкурсе";"2017316";"—"
"29";"2";"—";"258";"256";"2";"Участвуете в конкурсе";"1434400";"—"
"30";"12";"—";"257";"257";"0";"Участвуете в конкурсе";"1888822";"—"
"31";"4";"—";"255";"255";"0";"Участвуете в конкурсе";"1512614";"—"
"32";"3";"—";"255";"253";"2";"Участвуете в конкурсе";"1960602";"—"
"33";"8";"—";"255";"245";"10";"Участвуете в конкурсе";"1588161";"—"
"34";"7";"—";"254";"254";"0";"Участвуете в конкурсе";"1878798";"—"
"35";"10";"—";"254";"254";"0";"Участвуете в конкурсе";"1910810";"—"
"36";"4";"—";"254";"244";"10";"Участвуете в конкурсе";"2189213";"—"
"37";"2";"—";"253";"253";"0";"Участвуете в конкурсе";"1442154";"—"
"38";"4";"—";"252";"250";"2";"Участвуете в конкурсе";"1751279";"—"
"39";"9";"—";"252";"250";"2";"Участвуете в конкурсе";"2052441";"—"
"40";"2";"—";"252";"242";"10";"Участвуете в конкурсе";"1180117";"—"
"41";"1";"—";"251";"251";"0";"Участвуете в конкурсе";"1687257";"—"
"42";"5";"—";"251";"241";"10";"Участвуете в конкурсе";"1346561";"—"
"43";"5";"—";"249";"246";"3";"Участвуете в конкурсе";"1316389";"—"
"44";"3";"—";"249";"239";"10";"Участвуете в конкурсе";"1908144";"—"
"45";"1";"—";"249";"239";"10";"Участвуете в конкурсе";"1326138";"—"
"46";"4";"—";"248";"248";"0";"Участвуете в конкурсе";"2156217";"—"
"47";"2";"—";"248";"248";"0";"Участвуете в конкурсе";"2305849";"—"
"48";"5";"—";"248";"238";"10";"Участвуете в конкурсе";"1354086";"—"
"49";"9";"—";"247";"245";"2";"Участвуете в конкурсе";"2101393";"—"
"50";"11";"—";"246";"246";"0";"Участвуете в конкурсе";"1909192";"—"
"51";"3";"—";"246";"236";"10";"Участвуете в конкурсе";"1340686";"—"
"52";"3";"—";"246";"236";"10";"Участвуете в конкурсе";"1857451";"—"
"53";"1";"—";"245";"245";"0";"Участвуете в конкурсе";"1309168";"—"
"54";"4";"—";"245";"245";"0";"Участвуете в конкурсе";"1234934";"—"
"55";"3";"—";"245";"243";"2";"Участвуете в конкурсе";"1498480";"—"
"56";"2";"—";"245";"243";"2";"Участвуете в конкурсе";"1701762";"—"
"57";"2";"—";"245";"235";"10";"Участвуете в конкурсе";"982646";"—"
"58";"4";"—";"245";"235";"10";"Участвуете в конкурсе";"2095230";"—"
"59";"1";"—";"245";"235";"10";"Участвуете в конкурсе";"1214119";"—"
"60";"5";"—";"244";"244";"0";"Участвуете в конкурсе";"1578577";"—"
"61";"3";"—";"244";"244";"0";"Участвуете в конкурсе";"1500398";"—"
"62";"11";"—";"244";"244";"0";"Участвуете в конкурсе";"1577597";"—"
"63";"5";"—";"244";"242";"2";"Участвуете в конкурсе";"1649149";"—"
"64";"3";"—";"244";"239";"5";"Участвуете в конкурсе";"1637506";"—"
"65";"7";"—";"243";"233";"10";"Участвуете в конкурсе";"1957515";"—"
"66";"1";"—";"242";"242";"0";"Участвуете в конкурсе";"1639631";"—"
"67";"2";"—";"242";"242";"0";"Участвуете в конкурсе";"1711366";"—"
"68";"6";"—";"242";"242";"0";"Участвуете в конкурсе";"2083247";"—"
"69";"2";"—";"242";"240";"2";"Участвуете в конкурсе";"1267674";"—"
"70";"4";"—";"242";"240";"2";"Участвуете в конкурсе";"1911494";"—"
"71";"8";"—";"242";"232";"10";"Участвуете в конкурсе";"1290708";"—"
"72";"6";"—";"241";"241";"0";"Участвуете в конкурсе";"1984678";"—"
"73";"11";"—";"241";"239";"2";"Участвуете в конкурсе";"2183929";"—"
"74";"2";"—";"241";"239";"2";"Участвуете в конкурсе";"1915158";"—"
"75";"8";"—";"241";"239";"2";"Участвуете в конкурсе";"2247807";"—"
"76";"4";"—";"241";"235";"6";"Участвуете в конкурсе";"1868360";"—"
"77";"6";"—";"241";"231";"10";"Участвуете в конкурсе";"1264156";"—"
"78";"8";"—";"240";"240";"0";"Участвуете в конкурсе";"1207186";"—"
"79";"6";"—";"240";"235";"5";"Участвуете в конкурсе";"1204155";"—"
"80";"6";"—";"240";"230";"10";"Участвуете в конкурсе";"1704705";"—"
"81";"2";"—";"239";"239";"0";"Участвуете в конкурсе";"1249822";"—"
"82";"12";"—";"239";"239";"0";"Участвуете в конкурсе";"1610335";"—"
"83";"4";"—";"239";"239";"0";"Участвуете в конкурсе";"1180913";"—"
"84";"1";"—";"239";"237";"2";"Участвуете в конкурсе";"1247789";"—"
"85";"1";"—";"238";"236";"2";"Участвуете в конкурсе";"1313639";"—"
"86";"3";"—";"238";"235";"3";"Участвуете в конкурсе";"1240254";"—"
"87";"5";"—";"238";"233";"5";"Участвуете в конкурсе";"2179292";"—"
"88";"9";"—";"237";"237";"0";"Участвуете в конкурсе";"1408551";"—"
