"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"—";"—";"10";"Участвуете в конкурсе";"1636170";"—"
"2";"10";"—";"—";"—";"0";"Участвуете в конкурсе";"2032312";"—"
"3";"3";"—";"286";"276";"10";"Участвуете в конкурсе";"1282488";"—"
"4";"3";"—";"285";"275";"10";"Участвуете в конкурсе";"1191075";"—"
"5";"4";"—";"280";"270";"10";"Участвуете в конкурсе";"1280884";"—"
"6";"5";"—";"279";"269";"10";"Участвуете в конкурсе";"1241085";"—"
"7";"4";"—";"270";"265";"5";"Участвуете в конкурсе";"1511998";"—"
"8";"3";"—";"269";"269";"0";"Участвуете в конкурсе";"1727638";"—"
"9";"7";"—";"267";"257";"10";"Участвуете в конкурсе";"1203630";"—"
"10";"4";"—";"266";"256";"10";"Участвуете в конкурсе";"1717452";"—"
"11";"6";"—";"264";"254";"10";"Участвуете в конкурсе";"977577";"—"
"12";"3";"—";"263";"253";"10";"Участвуете в конкурсе";"1586607";"—"
"13";"8";"—";"261";"257";"4";"Участвуете в конкурсе";"1634420";"—"
"14";"3";"—";"261";"251";"10";"Участвуете в конкурсе";"1152135";"—"
"15";"2";"—";"261";"251";"10";"Участвуете в конкурсе";"1504690";"—"
"16";"1";"—";"254";"249";"5";"Участвуете в конкурсе";"1241031";"—"
"17";"8";"—";"254";"244";"10";"Участвуете в конкурсе";"1196896";"—"
"18";"1";"—";"253";"253";"0";"Участвуете в конкурсе";"1855526";"—"
"19";"11";"—";"253";"253";"0";"Участвуете в конкурсе";"1442154";"—"
"20";"4";"—";"251";"251";"0";"Участвуете в конкурсе";"1687257";"—"
"21";"4";"—";"249";"249";"0";"Участвуете в конкурсе";"1179745";"—"
"22";"3";"—";"249";"244";"5";"Участвуете в конкурсе";"1385748";"—"
"23";"3";"—";"249";"239";"10";"Участвуете в конкурсе";"1857891";"—"
"24";"5";"—";"249";"239";"10";"Участвуете в конкурсе";"1908144";"—"
"25";"3";"—";"248";"238";"10";"Участвуете в конкурсе";"1616524";"—"
"26";"9";"—";"247";"245";"2";"Участвуете в конкурсе";"1626632";"—"
"27";"7";"—";"247";"245";"2";"Участвуете в конкурсе";"2101393";"—"
"28";"1";"—";"246";"246";"0";"Участвуете в конкурсе";"1878489";"—"
"29";"6";"—";"246";"236";"10";"Участвуете в конкурсе";"1340686";"—"
"30";"4";"—";"245";"243";"2";"Участвуете в конкурсе";"995745";"—"
"31";"2";"—";"244";"244";"0";"Участвуете в конкурсе";"1500398";"—"
"32";"2";"—";"244";"242";"2";"Участвуете в конкурсе";"1649149";"—"
"33";"3";"—";"244";"241";"3";"Участвуете в конкурсе";"1911263";"—"
"34";"5";"Да";"244";"240";"4";"Участвуете в конкурсе";"1249015";"—"
"35";"5";"—";"243";"233";"10";"Участвуете в конкурсе";"1957515";"—"
"36";"2";"—";"241";"241";"0";"Участвуете в конкурсе";"1984678";"—"
"37";"5";"—";"241";"241";"0";"Участвуете в конкурсе";"2219734";"—"
"38";"9";"—";"241";"239";"2";"Участвуете в конкурсе";"1915158";"—"
"39";"5";"—";"239";"237";"2";"Участвуете в конкурсе";"1247789";"—"
"40";"8";"—";"237";"231";"6";"Участвуете в конкурсе";"1289714";"—"
"41";"1";"—";"235";"229";"6";"Участвуете в конкурсе";"1696142";"—"
"42";"5";"—";"235";"225";"10";"Участвуете в конкурсе";"1190453";"—"
"43";"8";"—";"234";"234";"0";"Участвуете в конкурсе";"2264063";"—"
"44";"2";"—";"233";"233";"0";"Участвуете в конкурсе";"1970548";"—"
"45";"5";"—";"233";"223";"10";"Участвуете в конкурсе";"2245692";"—"
"46";"4";"—";"233";"223";"10";"Участвуете в конкурсе";"1643660";"—"
"47";"7";"—";"232";"232";"0";"Участвуете в конкурсе";"1355772";"—"
"48";"2";"—";"232";"230";"2";"Участвуете в конкурсе";"2307721";"—"
"49";"3";"—";"232";"222";"10";"Участвуете в конкурсе";"1435357";"—"
"50";"4";"—";"231";"229";"2";"Участвуете в конкурсе";"1771541";"—"
"51";"1";"—";"231";"224";"7";"Участвуете в конкурсе";"1534262";"—"
"52";"4";"—";"230";"230";"0";"Участвуете в конкурсе";"1348641";"—"
