"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"9";"—";"—";"—";"0";"Участвуете в конкурсе";"2032312";"—"
"2";"5";"—";"288";"278";"10";"Участвуете в конкурсе";"1342132";"—"
"3";"4";"—";"271";"261";"10";"Участвуете в конкурсе";"2044282";"—"
"4";"7";"—";"271";"261";"10";"Участвуете в конкурсе";"1325061";"—"
"5";"5";"—";"270";"270";"0";"Участвуете в конкурсе";"1633554";"—"
"6";"2";"—";"270";"265";"5";"Участвуете в конкурсе";"1511998";"—"
"7";"4";"—";"265";"265";"0";"Участвуете в конкурсе";"1514301";"—"
"8";"5";"—";"265";"255";"10";"Участвуете в конкурсе";"996421";"—"
"9";"3";"—";"264";"264";"0";"Участвуете в конкурсе";"1309843";"—"
"10";"4";"—";"263";"261";"2";"Участвуете в конкурсе";"2178547";"—"
"11";"2";"—";"263";"253";"10";"Участвуете в конкурсе";"1621628";"—"
"12";"3";"—";"263";"253";"10";"Участвуете в конкурсе";"1168646";"—"
"13";"10";"—";"262";"253";"9";"Участвуете в конкурсе";"1179110";"—"
"14";"1";"—";"261";"251";"10";"Участвуете в конкурсе";"1440754";"—"
"15";"1";"—";"260";"250";"10";"Участвуете в конкурсе";"979634";"—"
"16";"2";"—";"257";"257";"0";"Участвуете в конкурсе";"960202";"—"
"17";"9";"—";"257";"257";"0";"Участвуете в конкурсе";"1888822";"—"
"18";"4";"—";"257";"247";"10";"Участвуете в конкурсе";"1076595";"—"
"19";"3";"—";"256";"246";"10";"Участвуете в конкурсе";"964066";"—"
"20";"3";"—";"256";"246";"10";"Участвуете в конкурсе";"1727480";"—"
"21";"9";"—";"255";"245";"10";"Участвуете в конкурсе";"1588161";"—"
"22";"2";"—";"254";"254";"0";"Участвуете в конкурсе";"1878798";"—"
"23";"6";"—";"254";"244";"10";"Участвуете в конкурсе";"2189213";"—"
"24";"3";"—";"254";"244";"10";"Участвуете в конкурсе";"1509232";"—"
"25";"5";"—";"253";"253";"0";"Участвуете в конкурсе";"1442154";"—"
"26";"2";"—";"253";"251";"2";"Участвуете в конкурсе";"1331479";"—"
"27";"1";"—";"252";"250";"2";"Участвуете в конкурсе";"1751279";"—"
"28";"3";"—";"251";"249";"2";"Участвуете в конкурсе";"2098509";"—"
"29";"4";"—";"251";"249";"2";"Участвуете в конкурсе";"1606659";"—"
"30";"4";"—";"249";"249";"0";"Участвуете в конкурсе";"1416684";"—"
"31";"1";"—";"249";"247";"2";"Участвуете в конкурсе";"1960571";"—"
"32";"7";"—";"249";"246";"3";"Участвуете в конкурсе";"1316389";"—"
"33";"5";"—";"249";"239";"10";"Участвуете в конкурсе";"1292158";"—"
"34";"5";"—";"249";"239";"10";"Участвуете в конкурсе";"1718067";"—"
"35";"8";"—";"249";"239";"10";"Участвуете в конкурсе";"1898535";"—"
"36";"1";"—";"249";"239";"10";"Участвуете в конкурсе";"1908144";"—"
"37";"3";"—";"247";"237";"10";"Участвуете в конкурсе";"2184480";"—"
"38";"7";"—";"247";"237";"10";"Участвуете в конкурсе";"1856426";"—"
"39";"6";"—";"246";"246";"0";"Участвуете в конкурсе";"2047884";"—"
"40";"5";"—";"246";"236";"10";"Участвуете в конкурсе";"1857451";"—"
"41";"1";"—";"245";"245";"0";"Участвуете в конкурсе";"1234934";"—"
"42";"7";"—";"245";"235";"10";"Участвуете в конкурсе";"2095230";"—"
"43";"3";"—";"244";"242";"2";"Участвуете в конкурсе";"1649149";"—"
"44";"5";"—";"244";"234";"10";"Участвуете в конкурсе";"1523501";"—"
"45";"1";"—";"241";"231";"10";"Участвуете в конкурсе";"1444198";"—"
"46";"3";"—";"240";"240";"0";"Участвуете в конкурсе";"2229255";"—"
"47";"3";"—";"240";"240";"0";"Участвуете в конкурсе";"1425016";"—"
"48";"8";"—";"239";"239";"0";"Участвуете в конкурсе";"1515035";"—"
"49";"6";"—";"238";"236";"2";"Участвуете в конкурсе";"1313639";"—"
"50";"2";"—";"238";"235";"3";"Участвуете в конкурсе";"1240254";"—"
"51";"6";"—";"237";"237";"0";"Участвуете в конкурсе";"1719093";"—"
"52";"3";"—";"236";"236";"0";"Участвуете в конкурсе";"1462626";"—"
"53";"4";"—";"236";"236";"0";"Участвуете в конкурсе";"2080785";"—"
"54";"5";"—";"236";"236";"0";"Участвуете в конкурсе";"2354193";"—"
"55";"9";"—";"235";"225";"10";"Участвуете в конкурсе";"1283354";"—"
"56";"8";"—";"234";"234";"0";"Участвуете в конкурсе";"2051436";"—"
"57";"4";"—";"233";"233";"0";"Участвуете в конкурсе";"2208426";"—"
"58";"2";"—";"233";"233";"0";"Участвуете в конкурсе";"2169157";"—"
"59";"9";"—";"233";"233";"0";"Участвуете в конкурсе";"2344141";"—"
"60";"5";"—";"233";"233";"0";"Участвуете в конкурсе";"1970548";"—"
"61";"3";"—";"231";"231";"0";"Участвуете в конкурсе";"1654967";"—"
"62";"4";"—";"231";"231";"0";"Участвуете в конкурсе";"2174847";"—"
"63";"7";"—";"231";"231";"0";"Участвуете в конкурсе";"1605617";"—"
"64";"2";"—";"231";"224";"7";"Участвуете в конкурсе";"1534262";"—"
"65";"2";"—";"231";"221";"10";"Участвуете в конкурсе";"2304727";"—"
"66";"7";"—";"230";"230";"0";"Участвуете в конкурсе";"2269592";"—"
"67";"4";"—";"230";"228";"2";"Участвуете в конкурсе";"1364167";"—"
"68";"3";"—";"230";"227";"3";"Участвуете в конкурсе";"1305529";"—"
"69";"5";"—";"228";"225";"3";"Участвуете в конкурсе";"2334031";"—"
"70";"7";"—";"227";"227";"0";"Участвуете в конкурсе";"1278072";"—"
"71";"3";"—";"227";"227";"0";"Участвуете в конкурсе";"2243397";"—"
"72";"10";"—";"227";"217";"10";"Участвуете в конкурсе";"1515194";"—"
"73";"9";"—";"227";"217";"10";"Участвуете в конкурсе";"2310338";"—"
"74";"6";"—";"226";"226";"0";"Участвуете в конкурсе";"2417150";"—"
"75";"2";"—";"226";"226";"0";"Участвуете в конкурсе";"1494590";"—"
"76";"3";"—";"226";"221";"5";"Участвуете в конкурсе";"1510800";"—"
"77";"3";"—";"226";"221";"5";"Участвуете в конкурсе";"1283080";"—"
"78";"3";"—";"226";"216";"10";"Участвуете в конкурсе";"1480941";"—"
"79";"3";"—";"226";"216";"10";"Участвуете в конкурсе";"1707415";"—"
"80";"1";"—";"225";"225";"0";"Участвуете в конкурсе";"1509347";"—"
"81";"4";"—";"224";"224";"0";"Участвуете в конкурсе";"1288696";"—"
"82";"8";"—";"224";"222";"2";"Участвуете в конкурсе";"2050866";"—"
"83";"5";"—";"224";"219";"5";"Участвуете в конкурсе";"1571791";"—"
"84";"4";"—";"224";"214";"10";"Участвуете в конкурсе";"1186156";"—"
"85";"4";"—";"223";"223";"0";"Участвуете в конкурсе";"952426";"—"
"86";"5";"—";"223";"223";"0";"Участвуете в конкурсе";"2047775";"—"
"87";"7";"—";"223";"221";"2";"Участвуете в конкурсе";"1587277";"—"
"88";"2";"—";"223";"220";"3";"Участвуете в конкурсе";"1777576";"—"
"89";"7";"—";"223";"213";"10";"Участвуете в конкурсе";"1609357";"—"
"90";"4";"—";"222";"222";"0";"Участвуете в конкурсе";"1723255";"—"
"91";"2";"—";"222";"220";"2";"Участвуете в конкурсе";"2310830";"—"
"92";"6";"—";"222";"220";"2";"Участвуете в конкурсе";"2033525";"—"
"93";"6";"—";"222";"220";"2";"Участвуете в конкурсе";"2315681";"—"
"94";"7";"—";"222";"216";"6";"Участвуете в конкурсе";"1328811";"—"
"95";"18";"—";"222";"214";"8";"Участвуете в конкурсе";"1979919";"—"
"96";"3";"—";"221";"221";"0";"Участвуете в конкурсе";"1726868";"—"
"97";"5";"—";"221";"221";"0";"Участвуете в конкурсе";"1143244";"—"
"98";"9";"—";"221";"221";"0";"Участвуете в конкурсе";"1178664";"—"
"99";"4";"—";"221";"211";"10";"Участвуете в конкурсе";"1476811";"—"
"100";"2";"—";"220";"220";"0";"Участвуете в конкурсе";"1304687";"—"
"101";"2";"—";"220";"218";"2";"Участвуете в конкурсе";"2393644";"—"
"102";"4";"—";"220";"218";"2";"Участвуете в конкурсе";"2254400";"—"
"103";"5";"—";"220";"218";"2";"Участвуете в конкурсе";"2148349";"—"
"104";"6";"—";"220";"217";"3";"Участвуете в конкурсе";"1981231";"—"
"105";"9";"—";"219";"219";"0";"Участвуете в конкурсе";"1069131";"—"
"106";"3";"—";"219";"219";"0";"Участвуете в конкурсе";"2267575";"—"
"107";"2";"—";"219";"217";"2";"Участвуете в конкурсе";"2294911";"—"
"108";"2";"—";"219";"217";"2";"Участвуете в конкурсе";"1390839";"—"
"109";"3";"—";"219";"215";"4";"Участвуете в конкурсе";"2212016";"—"
"110";"3";"—";"219";"215";"4";"Участвуете в конкурсе";"1918852";"—"
"111";"6";"—";"218";"218";"0";"Участвуете в конкурсе";"966549";"—"
"112";"5";"—";"218";"218";"0";"Участвуете в конкурсе";"2008627";"—"
"113";"8";"—";"218";"216";"2";"Участвуете в конкурсе";"1329189";"—"
"114";"4";"—";"218";"213";"5";"Участвуете в конкурсе";"1554184";"—"
"115";"1";"—";"217";"217";"0";"Участвуете в конкурсе";"1211413";"—"
"116";"11";"—";"217";"217";"0";"Участвуете в конкурсе";"1362584";"—"
"117";"3";"—";"217";"217";"0";"Участвуете в конкурсе";"1995534";"—"
"118";"4";"—";"217";"217";"0";"Участвуете в конкурсе";"2312868";"—"
"119";"11";"—";"217";"215";"2";"Участвуете в конкурсе";"1521625";"—"
"120";"4";"—";"216";"216";"0";"Участвуете в конкурсе";"1818515";"—"
"121";"1";"—";"216";"216";"0";"Участвуете в конкурсе";"1622353";"—"
"122";"2";"—";"216";"214";"2";"Участвуете в конкурсе";"2003687";"—"
"123";"1";"—";"216";"214";"2";"Участвуете в конкурсе";"2097425";"—"
"124";"8";"—";"216";"214";"2";"Участвуете в конкурсе";"2140834";"—"
