"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"—";"—";"0";"Участвуете в конкурсе";"2032312";"—"
"2";"2";"—";"291";"281";"10";"Участвуете в конкурсе";"1613704";"—"
"3";"8";"—";"285";"275";"10";"Участвуете в конкурсе";"1191075";"—"
"4";"1";"—";"285";"275";"10";"Участвуете в конкурсе";"1200459";"—"
"5";"2";"—";"284";"274";"10";"Участвуете в конкурсе";"1519771";"—"
"6";"2";"—";"282";"272";"10";"Участвуете в конкурсе";"1511658";"—"
"7";"1";"—";"280";"270";"10";"Участвуете в конкурсе";"1280884";"—"
"8";"3";"—";"275";"265";"10";"Участвуете в конкурсе";"2242927";"—"
"9";"2";"—";"272";"272";"0";"Участвуете в конкурсе";"1076106";"—"
"10";"3";"—";"271";"261";"10";"Участвуете в конкурсе";"1344333";"—"
"11";"7";"—";"270";"260";"10";"Участвуете в конкурсе";"1333039";"—"
"12";"1";"—";"270";"260";"10";"Участвуете в конкурсе";"1129861";"—"
"13";"4";"—";"268";"258";"10";"Участвуете в конкурсе";"1613763";"—"
"14";"3";"—";"267";"267";"0";"Участвуете в конкурсе";"1386489";"—"
"15";"16";"—";"267";"257";"10";"Участвуете в конкурсе";"2250557";"—"
"16";"14";"—";"265";"255";"10";"Участвуете в конкурсе";"1678214";"—"
"17";"9";"—";"263";"263";"0";"Участвуете в конкурсе";"2042943";"—"
"18";"6";"—";"263";"261";"2";"Участвуете в конкурсе";"2178547";"—"
"19";"6";"—";"263";"253";"10";"Участвуете в конкурсе";"1926458";"—"
"20";"4";"—";"263";"253";"10";"Участвуете в конкурсе";"2216924";"—"
"21";"1";"—";"261";"257";"4";"Участвуете в конкурсе";"1634420";"—"
"22";"6";"—";"261";"251";"10";"Участвуете в конкурсе";"1152135";"—"
"23";"5";"—";"261";"251";"10";"Участвуете в конкурсе";"1504690";"—"
"24";"2";"—";"261";"251";"10";"Участвуете в конкурсе";"1440754";"—"
"25";"3";"—";"260";"260";"0";"Участвуете в конкурсе";"1795779";"—"
"26";"2";"—";"259";"257";"2";"Участвуете в конкурсе";"1292327";"—"
"27";"5";"—";"259";"257";"2";"Участвуете в конкурсе";"1853866";"—"
"28";"4";"—";"258";"256";"2";"Участвуете в конкурсе";"1434400";"—"
"29";"1";"—";"257";"255";"2";"Участвуете в конкурсе";"1195553";"—"
"30";"1";"—";"256";"246";"10";"Участвуете в конкурсе";"1727480";"—"
"31";"2";"—";"255";"255";"0";"Участвуете в конкурсе";"1319781";"—"
"32";"2";"—";"255";"245";"10";"Участвуете в конкурсе";"1605869";"—"
"33";"11";"—";"254";"254";"0";"Участвуете в конкурсе";"1910810";"—"
"34";"2";"—";"254";"247";"7";"Участвуете в конкурсе";"1640820";"—"
"35";"2";"—";"254";"244";"10";"Участвуете в конкурсе";"2189213";"—"
"36";"7";"—";"254";"244";"10";"Участвуете в конкурсе";"1257643";"—"
"37";"9";"—";"252";"250";"2";"Участвуете в конкурсе";"1519237";"—"
"38";"8";"—";"252";"250";"2";"Участвуете в конкурсе";"2052441";"—"
"39";"5";"—";"251";"249";"2";"Участвуете в конкурсе";"2098509";"—"
"40";"12";"—";"251";"241";"10";"Участвуете в конкурсе";"1597013";"—"
"41";"1";"—";"251";"241";"10";"Участвуете в конкурсе";"1346561";"—"
"42";"10";"—";"250";"240";"10";"Участвуете в конкурсе";"1774227";"—"
"43";"1";"—";"249";"249";"0";"Участвуете в конкурсе";"1546984";"—"
"44";"5";"—";"249";"249";"0";"Участвуете в конкурсе";"1705917";"—"
"45";"2";"—";"249";"249";"0";"Участвуете в конкурсе";"1411746";"—"
"46";"6";"—";"249";"247";"2";"Участвуете в конкурсе";"1191584";"—"
"47";"4";"—";"249";"247";"2";"Участвуете в конкурсе";"2053217";"—"
"48";"4";"—";"249";"239";"10";"Участвуете в конкурсе";"1259739";"—"
"49";"1";"—";"249";"239";"10";"Участвуете в конкурсе";"1718067";"—"
"50";"3";"—";"249";"239";"10";"Участвуете в конкурсе";"1451144";"—"
"51";"2";"—";"248";"248";"0";"Участвуете в конкурсе";"1559751";"—"
"52";"2";"—";"248";"238";"10";"Участвуете в конкурсе";"1987581";"—"
"53";"11";"—";"247";"247";"0";"Участвуете в конкурсе";"1420872";"—"
"54";"10";"—";"247";"245";"2";"Участвуете в конкурсе";"1626632";"—"
"55";"20";"—";"247";"237";"10";"Участвуете в конкурсе";"1949923";"—"
"56";"7";"—";"247";"237";"10";"Участвуете в конкурсе";"1433548";"—"
"57";"17";"—";"246";"246";"0";"Участвуете в конкурсе";"2199809";"—"
"58";"6";"—";"246";"236";"10";"Участвуете в конкурсе";"1857451";"—"
"59";"3";"—";"246";"236";"10";"Участвуете в конкурсе";"1494758";"—"
"60";"2";"—";"246";"236";"10";"Участвуете в конкурсе";"1782205";"—"
"61";"1";"—";"245";"243";"2";"Участвуете в конкурсе";"1498480";"—"
"62";"12";"—";"245";"235";"10";"Участвуете в конкурсе";"1946698";"—"
"63";"12";"—";"245";"235";"10";"Участвуете в конкурсе";"1287737";"—"
"64";"5";"—";"244";"244";"0";"Участвуете в конкурсе";"1445858";"—"
"65";"11";"—";"244";"244";"0";"Участвуете в конкурсе";"1853930";"—"
"66";"7";"—";"244";"244";"0";"Участвуете в конкурсе";"2271163";"—"
"67";"3";"—";"244";"244";"0";"Участвуете в конкурсе";"1578577";"—"
"68";"5";"—";"244";"244";"0";"Участвуете в конкурсе";"1500398";"—"
"69";"2";"—";"244";"241";"3";"Участвуете в конкурсе";"1911263";"—"
"70";"4";"Да";"244";"240";"4";"Участвуете в конкурсе";"1249015";"—"
"71";"2";"—";"244";"239";"5";"Участвуете в конкурсе";"1637506";"—"
"72";"11";"—";"243";"243";"0";"Участвуете в конкурсе";"1914936";"—"
"73";"8";"—";"243";"241";"2";"Участвуете в конкурсе";"1905923";"—"
"74";"2";"—";"243";"233";"10";"Участвуете в конкурсе";"1957515";"—"
"75";"10";"—";"243";"233";"10";"Участвуете в конкурсе";"2081098";"—"
"76";"1";"—";"243";"233";"10";"Участвуете в конкурсе";"1438216";"—"
"77";"1";"—";"243";"233";"10";"Участвуете в конкурсе";"1280664";"—"
"78";"11";"—";"242";"242";"0";"Участвуете в конкурсе";"2120497";"—"
"79";"9";"—";"242";"242";"0";"Участвуете в конкурсе";"2183227";"—"
"80";"6";"—";"242";"242";"0";"Участвуете в конкурсе";"1711366";"—"
"81";"8";"—";"242";"242";"0";"Участвуете в конкурсе";"2083247";"—"
"82";"6";"—";"242";"240";"2";"Участвуете в конкурсе";"1075421";"—"
"83";"8";"—";"241";"241";"0";"Участвуете в конкурсе";"1984678";"—"
"84";"7";"—";"241";"239";"2";"Участвуете в конкурсе";"2247807";"—"
"85";"3";"—";"241";"235";"6";"Участвуете в конкурсе";"1868360";"—"
"86";"14";"—";"241";"231";"10";"Участвуете в конкурсе";"1929767";"—"
"87";"5";"—";"241";"231";"10";"Участвуете в конкурсе";"1060586";"—"
"88";"13";"—";"240";"240";"0";"Участвуете в конкурсе";"2143047";"—"
"89";"1";"—";"240";"240";"0";"Участвуете в конкурсе";"1776428";"—"
"90";"10";"—";"240";"240";"0";"Участвуете в конкурсе";"1986364";"—"
"91";"4";"—";"240";"236";"4";"Участвуете в конкурсе";"1626865";"—"
"92";"2";"—";"240";"230";"10";"Участвуете в конкурсе";"1788557";"—"
"93";"10";"—";"239";"239";"0";"Участвуете в конкурсе";"1610335";"—"
"94";"2";"—";"239";"239";"0";"Участвуете в конкурсе";"1180913";"—"
"95";"4";"—";"239";"237";"2";"Участвуете в конкурсе";"2325802";"—"
"96";"6";"—";"239";"234";"5";"Участвуете в конкурсе";"2265973";"—"
"97";"12";"—";"238";"238";"0";"Участвуете в конкурсе";"2312139";"—"
"98";"6";"—";"238";"238";"0";"Участвуете в конкурсе";"2259893";"—"
"99";"7";"—";"238";"236";"2";"Участвуете в конкурсе";"1313639";"—"
"100";"2";"—";"238";"236";"2";"Участвуете в конкурсе";"1075097";"—"
"101";"6";"—";"238";"233";"5";"Участвуете в конкурсе";"2179292";"—"
"102";"2";"—";"238";"228";"10";"Участвуете в конкурсе";"1083866";"—"
"103";"7";"—";"237";"237";"0";"Участвуете в конкурсе";"2250232";"—"
"104";"2";"—";"237";"237";"0";"Участвуете в конкурсе";"2270474";"—"
"105";"2";"—";"236";"236";"0";"Участвуете в конкурсе";"1202205";"—"
"106";"5";"—";"236";"236";"0";"Участвуете в конкурсе";"1462626";"—"
"107";"3";"—";"236";"236";"0";"Участвуете в конкурсе";"2354193";"—"
"108";"2";"—";"236";"236";"0";"Участвуете в конкурсе";"1283810";"—"
"109";"6";"—";"236";"236";"0";"Участвуете в конкурсе";"1584274";"—"
"110";"1";"—";"235";"235";"0";"Участвуете в конкурсе";"1291210";"—"
"111";"1";"—";"235";"235";"0";"Участвуете в конкурсе";"1857826";"—"
