"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"291";"281";"10";"Участвуете в конкурсе";"1613704";"—"
"2";"2";"—";"285";"275";"10";"Участвуете в конкурсе";"1200459";"—"
"3";"1";"—";"284";"274";"10";"Участвуете в конкурсе";"1519771";"—"
"4";"13";"—";"284";"274";"10";"Участвуете в конкурсе";"1779294";"—"
"5";"1";"—";"282";"272";"10";"Участвуете в конкурсе";"1511658";"—"
"6";"10";"—";"281";"271";"10";"Участвуете в конкурсе";"2222914";"—"
"7";"3";"—";"280";"270";"10";"Участвуете в конкурсе";"1280884";"—"
"8";"3";"—";"279";"269";"10";"Участвуете в конкурсе";"1241085";"—"
"9";"7";"—";"278";"278";"0";"Участвуете в конкурсе";"1086025";"—"
"10";"1";"—";"278";"276";"2";"Участвуете в конкурсе";"2143095";"—"
"11";"5";"—";"276";"274";"2";"Участвуете в конкурсе";"1622597";"—"
"12";"12";"—";"276";"266";"10";"Участвуете в конкурсе";"1845366";"—"
"13";"4";"—";"275";"265";"10";"Участвуете в конкурсе";"2242927";"—"
"14";"4";"—";"275";"265";"10";"Участвуете в конкурсе";"1852463";"—"
"15";"8";"—";"273";"263";"10";"Участвуете в конкурсе";"1438941";"—"
"16";"6";"—";"272";"272";"0";"Участвуете в конкурсе";"1076106";"—"
"17";"1";"—";"272";"262";"10";"Участвуете в конкурсе";"2242231";"—"
"18";"3";"—";"272";"262";"10";"Участвуете в конкурсе";"1258941";"—"
"19";"2";"—";"271";"261";"10";"Участвуете в конкурсе";"2044282";"—"
"20";"2";"—";"270";"260";"10";"Участвуете в конкурсе";"1129861";"—"
"21";"1";"—";"269";"267";"2";"Участвуете в конкурсе";"1085542";"—"
"22";"2";"—";"268";"258";"10";"Участвуете в конкурсе";"1613763";"—"
"23";"3";"—";"265";"265";"0";"Участвуете в конкурсе";"1514301";"—"
"24";"4";"—";"265";"255";"10";"Участвуете в конкурсе";"1340344";"—"
"25";"3";"—";"263";"253";"10";"Участвуете в конкурсе";"1926458";"—"
"26";"5";"—";"263";"253";"10";"Участвуете в конкурсе";"1168646";"—"
"27";"2";"—";"261";"261";"0";"Участвуете в конкурсе";"1908511";"—"
"28";"4";"—";"261";"257";"4";"Участвуете в конкурсе";"1634420";"—"
"29";"8";"—";"261";"251";"10";"Участвуете в конкурсе";"1152135";"—"
"30";"4";"—";"260";"255";"5";"Участвуете в конкурсе";"1522072";"—"
"31";"1";"—";"259";"257";"2";"Участвуете в конкурсе";"1292327";"—"
"32";"1";"—";"259";"249";"10";"Участвуете в конкурсе";"1843769";"—"
"33";"1";"—";"257";"257";"0";"Участвуете в конкурсе";"2054886";"—"
"34";"4";"—";"257";"257";"0";"Участвуете в конкурсе";"960202";"—"
"35";"2";"—";"257";"255";"2";"Участвуете в конкурсе";"1195553";"—"
"36";"1";"—";"257";"247";"10";"Участвуете в конкурсе";"1439069";"—"
"37";"1";"—";"256";"256";"0";"Участвуете в конкурсе";"1758208";"—"
"38";"4";"—";"256";"256";"0";"Участвуете в конкурсе";"1422078";"—"
"39";"5";"—";"256";"246";"10";"Участвуете в конкурсе";"1724246";"—"
"40";"2";"—";"256";"246";"10";"Участвуете в конкурсе";"1727480";"—"
"41";"3";"—";"255";"255";"0";"Участвуете в конкурсе";"1319781";"—"
"42";"4";"—";"255";"253";"2";"Участвуете в конкурсе";"1960602";"—"
"43";"5";"—";"255";"245";"10";"Участвуете в конкурсе";"1605869";"—"
"44";"4";"—";"254";"247";"7";"Участвуете в конкурсе";"1640820";"—"
"45";"6";"—";"254";"244";"10";"Участвуете в конкурсе";"1509232";"—"
"46";"5";"—";"254";"244";"10";"Участвуете в конкурсе";"2189213";"—"
"47";"5";"—";"252";"252";"0";"Участвуете в конкурсе";"2181472";"—"
"48";"2";"—";"252";"250";"2";"Участвуете в конкурсе";"1751279";"—"
"49";"2";"—";"251";"241";"10";"Участвуете в конкурсе";"1346561";"—"
"50";"1";"—";"250";"244";"6";"Участвуете в конкурсе";"2069653";"—"
"51";"2";"—";"249";"249";"0";"Участвуете в конкурсе";"1179745";"—"
"52";"1";"—";"249";"249";"0";"Участвуете в конкурсе";"1411746";"—"
"53";"6";"—";"249";"247";"2";"Участвуете в конкурсе";"2053217";"—"
"54";"5";"—";"249";"239";"10";"Участвуете в конкурсе";"1259739";"—"
"55";"4";"—";"249";"239";"10";"Участвуете в конкурсе";"1718067";"—"
"56";"1";"—";"248";"248";"0";"Участвуете в конкурсе";"1402089";"—"
"57";"1";"—";"248";"248";"0";"Участвуете в конкурсе";"2305849";"—"
"58";"1";"—";"248";"248";"0";"Участвуете в конкурсе";"1559751";"—"
"59";"6";"—";"248";"245";"3";"Участвуете в конкурсе";"1853826";"—"
"60";"5";"—";"248";"243";"5";"Участвуете в конкурсе";"1567573";"—"
"61";"3";"—";"248";"238";"10";"Участвуете в конкурсе";"1987581";"—"
"62";"1";"—";"248";"238";"10";"Участвуете в конкурсе";"1424077";"—"
"63";"1";"—";"247";"247";"0";"Участвуете в конкурсе";"2030655";"—"
"64";"3";"—";"247";"237";"10";"Участвуете в конкурсе";"1354914";"—"
"65";"4";"—";"246";"246";"0";"Участвуете в конкурсе";"1878489";"—"
"66";"2";"—";"246";"236";"10";"Участвуете в конкурсе";"1494758";"—"
"67";"9";"—";"245";"245";"0";"Участвуете в конкурсе";"1309168";"—"
"68";"1";"—";"245";"245";"0";"Участвуете в конкурсе";"2284175";"—"
"69";"2";"—";"245";"243";"2";"Участвуете в конкурсе";"1498480";"—"
"70";"6";"—";"245";"243";"2";"Участвуете в конкурсе";"1701762";"—"
"71";"10";"—";"245";"235";"10";"Участвуете в конкурсе";"1287737";"—"
"72";"7";"—";"244";"244";"0";"Участвуете в конкурсе";"1577597";"—"
"73";"1";"—";"244";"241";"3";"Участвуете в конкурсе";"1911263";"—"
"74";"12";"—";"243";"243";"0";"Участвуете в конкурсе";"1914936";"—"
"75";"2";"—";"243";"241";"2";"Участвуете в конкурсе";"1432660";"—"
"76";"4";"—";"243";"233";"10";"Участвуете в конкурсе";"1957515";"—"
"77";"2";"—";"243";"233";"10";"Участвуете в конкурсе";"1438216";"—"
"78";"1";"—";"242";"242";"0";"Участвуете в конкурсе";"1600117";"—"
"79";"7";"—";"242";"242";"0";"Участвуете в конкурсе";"2083247";"—"
"80";"3";"—";"242";"240";"2";"Участвуете в конкурсе";"1075421";"—"
"81";"6";"—";"242";"232";"10";"Участвуете в конкурсе";"1290708";"—"
"82";"7";"—";"241";"241";"0";"Участвуете в конкурсе";"1984678";"—"
"83";"10";"—";"241";"239";"2";"Участвуете в конкурсе";"2183929";"—"
"84";"1";"—";"241";"239";"2";"Участвуете в конкурсе";"1915158";"—"
"85";"10";"—";"241";"237";"4";"Участвуете в конкурсе";"2230731";"—"
"86";"7";"—";"240";"240";"0";"Участвуете в конкурсе";"1207186";"—"
"87";"11";"—";"240";"240";"0";"Участвуете в конкурсе";"2078088";"—"
"88";"1";"—";"240";"238";"2";"Участвуете в конкурсе";"1445212";"—"
"89";"5";"—";"240";"236";"4";"Участвуете в конкурсе";"1626865";"—"
"90";"1";"—";"240";"230";"10";"Участвуете в конкурсе";"1788557";"—"
"91";"2";"—";"240";"230";"10";"Участвуете в конкурсе";"1914383";"—"
"92";"7";"—";"239";"239";"0";"Участвуете в конкурсе";"1728880";"—"
"93";"9";"—";"239";"239";"0";"Участвуете в конкурсе";"1515035";"—"
"94";"4";"—";"238";"236";"2";"Участвуете в конкурсе";"1313639";"—"
"95";"3";"—";"238";"236";"2";"Участвуете в конкурсе";"1075097";"—"
"96";"4";"—";"238";"234";"4";"Участвуете в конкурсе";"2389268";"—"
"97";"2";"—";"238";"233";"5";"Участвуете в конкурсе";"2179292";"—"
"98";"1";"—";"238";"228";"10";"Участвуете в конкурсе";"1083866";"—"
"99";"5";"—";"237";"237";"0";"Участвуете в конкурсе";"1719093";"—"
"100";"3";"—";"237";"237";"0";"Участвуете в конкурсе";"2270474";"—"
"101";"5";"—";"237";"233";"4";"Участвуете в конкурсе";"1001082";"—"
"102";"5";"—";"237";"227";"10";"Участвуете в конкурсе";"1843816";"—"
"103";"1";"—";"236";"236";"0";"Участвуете в конкурсе";"1202205";"—"
"104";"1";"—";"236";"236";"0";"Участвуете в конкурсе";"2354193";"—"
"105";"1";"—";"236";"236";"0";"Участвуете в конкурсе";"1283810";"—"
"106";"6";"—";"235";"225";"10";"Участвуете в конкурсе";"1190453";"—"
"107";"4";"—";"235";"225";"10";"Участвуете в конкурсе";"1283354";"—"
"108";"2";"—";"234";"232";"2";"Участвуете в конкурсе";"1777874";"—"
"109";"7";"—";"234";"232";"2";"Участвуете в конкурсе";"1040734";"—"
"110";"6";"—";"234";"230";"4";"Участвуете в конкурсе";"1250848";"—"
"111";"2";"—";"234";"224";"10";"Участвуете в конкурсе";"2319801";"—"
"112";"4";"—";"234";"224";"10";"Участвуете в конкурсе";"1204654";"—"
"113";"1";"—";"233";"233";"0";"Участвуете в конкурсе";"2169157";"—"
"114";"7";"—";"233";"233";"0";"Участвуете в конкурсе";"2208426";"—"
"115";"14";"—";"233";"233";"0";"Участвуете в конкурсе";"2227952";"—"
"116";"6";"—";"233";"233";"0";"Участвуете в конкурсе";"1550263";"—"
"117";"1";"—";"233";"231";"2";"Участвуете в конкурсе";"1780351";"—"
"118";"4";"—";"233";"231";"2";"Участвуете в конкурсе";"1851722";"—"
"119";"7";"—";"233";"231";"2";"Участвуете в конкурсе";"1205082";"—"
"120";"1";"—";"233";"231";"2";"Участвуете в конкурсе";"1195386";"—"
"121";"4";"—";"233";"226";"7";"Участвуете в конкурсе";"1194433";"—"
"122";"3";"—";"233";"223";"10";"Участвуете в конкурсе";"2215280";"—"
"123";"6";"—";"233";"223";"10";"Участвуете в конкурсе";"2245692";"—"
"124";"3";"—";"232";"232";"0";"Участвуете в конкурсе";"1355772";"—"
"125";"2";"—";"232";"222";"10";"Участвуете в конкурсе";"1435357";"—"
"126";"1";"—";"231";"224";"7";"Участвуете в конкурсе";"1198746";"—"
"127";"4";"—";"231";"221";"10";"Участвуете в конкурсе";"2227804";"—"
"128";"1";"—";"231";"221";"10";"Участвуете в конкурсе";"1797579";"—"
"129";"3";"—";"231";"221";"10";"Участвуете в конкурсе";"2304727";"—"
"130";"13";"—";"231";"221";"10";"Участвуете в конкурсе";"1430711";"—"
"131";"6";"—";"230";"230";"0";"Участвуете в конкурсе";"2269592";"—"
"132";"2";"—";"230";"230";"0";"Участвуете в конкурсе";"1348641";"—"
"133";"3";"—";"230";"230";"0";"Участвуете в конкурсе";"1180317";"—"
"134";"3";"—";"230";"228";"2";"Участвуете в конкурсе";"2392215";"—"
"135";"4";"—";"230";"228";"2";"Участвуете в конкурсе";"1533661";"—"
"136";"3";"—";"230";"228";"2";"Участвуете в конкурсе";"1364167";"—"
"137";"2";"—";"230";"227";"3";"Участвуете в конкурсе";"1229263";"—"
"138";"4";"—";"230";"227";"3";"Участвуете в конкурсе";"1626009";"—"
"139";"5";"—";"230";"227";"3";"Участвуете в конкурсе";"1305529";"—"
"140";"11";"—";"230";"226";"4";"Участвуете в конкурсе";"1401880";"—"
"141";"5";"—";"229";"229";"0";"Участвуете в конкурсе";"2070548";"—"
