"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"264";"258";"6";"Участвуете в конкурсе";"2252614";"—"
"2";"1";"—";"254";"254";"0";"Участвуете в конкурсе";"1246153";"—"
"3";"1";"—";"241";"241";"0";"Участвуете в конкурсе";"1836385";"—"
"4";"1";"—";"235";"235";"0";"Участвуете в конкурсе";"1275762";"—"
"5";"1";"—";"207";"207";"0";"Участвуете в конкурсе";"1262726";"—"
"1";"1";"Электронное";"200";"200";"0";"Участвуете в конкурсе";"2334884";"—"
"7";"1";"—";"200";"200";"0";"Участвуете в конкурсе";"1426038";"—"
"8";"1";"—";"198";"198";"0";"Участвуете в конкурсе";"1182843";"—"
"9";"1";"—";"196";"196";"0";"Участвуете в конкурсе";"973873";"—"
"10";"1";"—";"176";"173";"3";"Участвуете в конкурсе";"957459";"—"
"11";"2";"—";"166";"166";"0";"Участвуете в конкурсе";"1283639";"—"
"12";"1";"—";"10";"0";"10";"Участвуете в конкурсе";"1710349";"—"
"13";"5";"—";"0";"0";"0";"Участвуете в конкурсе";"1647251";"—"
"14";"5";"—";"0";"0";"0";"Участвуете в конкурсе";"1974720";"—"
"15";"2";"—";"0";"0";"0";"Участвуете в конкурсе";"1997738";"—"
"16";"1";"—";"286";"276";"10";"Участвуете в конкурсе";"960349";"—"
"17";"1";"—";"283";"273";"10";"Участвуете в конкурсе";"1507722";"—"
"18";"1";"—";"280";"270";"10";"Участвуете в конкурсе";"1203887";"—"
"19";"1";"—";"276";"266";"10";"Участвуете в конкурсе";"1977430";"—"
"20";"1";"—";"275";"265";"10";"Участвуете в конкурсе";"1997374";"—"
"21";"2";"—";"259";"249";"10";"Участвуете в конкурсе";"2117722";"—"
"22";"1";"—";"254";"254";"0";"Участвуете в конкурсе";"2006939";"—"
"23";"1";"—";"250";"240";"10";"Участвуете в конкурсе";"1575674";"—"
"1";"1";"Электронное";"247";"244";"3";"Участвуете в конкурсе";"1584054";"—"
"25";"1";"—";"245";"243";"2";"Участвуете в конкурсе";"990374";"—"
"26";"1";"—";"243";"233";"10";"Участвуете в конкурсе";"1954472";"—"
"27";"1";"—";"241";"238";"3";"Участвуете в конкурсе";"995967";"—"
"28";"1";"—";"240";"240";"0";"Участвуете в конкурсе";"1746034";"—"
"2";"1";"Электронное";"240";"238";"2";"Участвуете в конкурсе";"1501004";"—"
"30";"1";"—";"240";"235";"5";"Участвуете в конкурсе";"1693816";"—"
"31";"1";"—";"228";"228";"0";"Участвуете в конкурсе";"1995674";"—"
"32";"1";"—";"224";"214";"10";"Участвуете в конкурсе";"2097562";"—"
"33";"1";"—";"209";"209";"0";"Участвуете в конкурсе";"1893246";"—"
"34";"1";"—";"192";"190";"2";"Участвуете в конкурсе";"1837421";"—"
"35";"1";"—";"302";"292";"10";"Участвуете в конкурсе";"1722573";"—"
"36";"1";"—";"294";"284";"10";"Участвуете в конкурсе";"1423623";"—"
"1";"1";"Электронное";"293";"283";"10";"Участвуете в конкурсе";"1418599";"—"
"38";"1";"—";"289";"279";"10";"Участвуете в конкурсе";"1206676";"—"
"39";"1";"—";"289";"279";"10";"Участвуете в конкурсе";"1558747";"—"
"40";"1";"—";"288";"278";"10";"Участвуете в конкурсе";"2179394";"—"
