"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"289";"279";"10";"Участвуете в конкурсе";"1206676";"—"
"2";"1";"—";"288";"278";"10";"Участвуете в конкурсе";"2179394";"—"
"3";"1";"—";"283";"273";"10";"Участвуете в конкурсе";"1507722";"—"
"4";"1";"—";"280";"270";"10";"Участвуете в конкурсе";"1995680";"—"
"5";"1";"—";"275";"275";"0";"Участвуете в конкурсе";"2101722";"—"
"6";"1";"—";"275";"265";"10";"Участвуете в конкурсе";"1179569";"—"
"7";"1";"—";"273";"273";"0";"Участвуете в конкурсе";"1908511";"—"
"8";"1";"—";"272";"262";"10";"Участвуете в конкурсе";"1257652";"—"
"9";"1";"—";"272";"262";"10";"Участвуете в конкурсе";"1715686";"—"
"10";"1";"—";"270";"260";"10";"Участвуете в конкурсе";"1276646";"—"
"11";"1";"—";"270";"260";"10";"Участвуете в конкурсе";"1510463";"—"
"12";"1";"—";"269";"264";"5";"Участвуете в конкурсе";"1365247";"—"
"13";"1";"—";"268";"258";"10";"Участвуете в конкурсе";"1910839";"—"
"14";"1";"—";"267";"267";"0";"Участвуете в конкурсе";"1628028";"—"
"15";"1";"—";"266";"256";"10";"Участвуете в конкурсе";"1001725";"—"
"16";"1";"—";"265";"265";"0";"Участвуете в конкурсе";"1608004";"—"
"17";"1";"—";"265";"265";"0";"Участвуете в конкурсе";"1182220";"—"
"18";"1";"—";"264";"259";"5";"Участвуете в конкурсе";"1623559";"—"
"19";"1";"—";"264";"254";"10";"Участвуете в конкурсе";"1979987";"—"
"20";"1";"—";"262";"252";"10";"Участвуете в конкурсе";"1510724";"—"
"21";"1";"—";"261";"261";"0";"Участвуете в конкурсе";"1237265";"—"
"22";"1";"—";"261";"261";"0";"Участвуете в конкурсе";"1847521";"—"
"23";"1";"—";"261";"251";"10";"Участвуете в конкурсе";"1699642";"—"
"24";"1";"—";"260";"260";"0";"Участвуете в конкурсе";"1401529";"—"
"25";"1";"—";"259";"259";"0";"Участвуете в конкурсе";"1589999";"—"
"26";"1";"—";"259";"249";"10";"Участвуете в конкурсе";"2265643";"—"
"27";"1";"—";"259";"249";"10";"Участвуете в конкурсе";"1257574";"—"
"28";"1";"—";"259";"249";"10";"Участвуете в конкурсе";"1464698";"—"
"29";"1";"—";"257";"247";"10";"Участвуете в конкурсе";"1505571";"—"
"30";"1";"—";"256";"256";"0";"Участвуете в конкурсе";"1158498";"—"
"31";"1";"—";"256";"246";"10";"Участвуете в конкурсе";"1517037";"—"
"32";"1";"—";"255";"246";"9";"Участвуете в конкурсе";"1535611";"—"
"33";"1";"—";"255";"245";"10";"Участвуете в конкурсе";"1199217";"—"
"34";"1";"—";"255";"245";"10";"Участвуете в конкурсе";"1643985";"—"
"35";"1";"—";"255";"245";"10";"Участвуете в конкурсе";"1297795";"—"
"36";"1";"—";"254";"254";"0";"Участвуете в конкурсе";"2006939";"—"
"37";"1";"—";"254";"244";"10";"Участвуете в конкурсе";"1212748";"—"
"38";"1";"—";"254";"244";"10";"Участвуете в конкурсе";"2359433";"—"
"39";"1";"—";"253";"243";"10";"Участвуете в конкурсе";"1321897";"—"
"40";"1";"—";"253";"243";"10";"Участвуете в конкурсе";"1916433";"—"
"41";"1";"—";"252";"252";"0";"Участвуете в конкурсе";"2137429";"—"
"42";"1";"—";"251";"248";"3";"Участвуете в конкурсе";"1641566";"—"
"43";"1";"—";"251";"246";"5";"Участвуете в конкурсе";"1428583";"—"
"44";"1";"—";"250";"240";"10";"Участвуете в конкурсе";"1284238";"—"
"45";"1";"—";"250";"240";"10";"Участвуете в конкурсе";"1496316";"—"
"46";"1";"—";"249";"249";"0";"Участвуете в конкурсе";"1438453";"—"
"47";"1";"—";"249";"239";"10";"Участвуете в конкурсе";"1417496";"—"
"48";"1";"—";"247";"244";"3";"Участвуете в конкурсе";"1584054";"—"
"49";"1";"—";"247";"242";"5";"Участвуете в конкурсе";"1914557";"—"
