"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"290";"290";"0";"Участвуете в конкурсе";"1772218";"—"
"2";"5";"—";"275";"265";"10";"Участвуете в конкурсе";"1852463";"—"
"3";"3";"—";"273";"268";"5";"Участвуете в конкурсе";"1503436";"—"
"4";"3";"—";"271";"261";"10";"Участвуете в конкурсе";"1797045";"—"
"5";"4";"—";"271";"261";"10";"Участвуете в конкурсе";"1344333";"—"
"6";"5";"—";"267";"267";"0";"Участвуете в конкурсе";"1316100";"—"
"7";"2";"—";"257";"254";"3";"Участвуете в конкурсе";"1641566";"—"
"8";"4";"—";"255";"250";"5";"Участвуете в конкурсе";"958101";"—"
"9";"6";"—";"249";"249";"0";"Участвуете в конкурсе";"2391047";"—"
"10";"7";"—";"248";"238";"10";"Участвуете в конкурсе";"1442415";"—"
"11";"4";"—";"242";"237";"5";"Участвуете в конкурсе";"1606719";"—"
"12";"4";"—";"241";"231";"10";"Участвуете в конкурсе";"2295199";"—"
"13";"1";"—";"240";"230";"10";"Участвуете в конкурсе";"1610372";"—"
"14";"1";"—";"236";"231";"5";"Участвуете в конкурсе";"1130032";"—"
"15";"3";"—";"235";"235";"0";"Участвуете в конкурсе";"1210914";"—"
"16";"3";"—";"234";"234";"0";"Участвуете в конкурсе";"1432689";"—"
"17";"2";"—";"234";"224";"10";"Участвуете в конкурсе";"1352666";"—"
"18";"2";"—";"233";"233";"0";"Участвуете в конкурсе";"1176556";"—"
"19";"14";"—";"232";"232";"0";"Участвуете в конкурсе";"1617917";"—"
"20";"6";"—";"232";"222";"10";"Участвуете в конкурсе";"1494920";"—"
"21";"5";"—";"232";"222";"10";"Участвуете в конкурсе";"1043018";"—"
"22";"4";"—";"231";"221";"10";"Участвуете в конкурсе";"2036601";"—"
"23";"8";"—";"229";"229";"0";"Участвуете в конкурсе";"2140450";"—"
"24";"1";"—";"228";"228";"0";"Участвуете в конкурсе";"2275322";"—"
"25";"1";"—";"228";"225";"3";"Участвуете в конкурсе";"1143017";"—"
"26";"5";"—";"228";"218";"10";"Участвуете в конкурсе";"1686365";"—"
