"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"285";"275";"10";"Участвуете в конкурсе";"1191075";"—"
"2";"1";"—";"285";"275";"10";"Участвуете в конкурсе";"1162644";"—"
"3";"9";"—";"277";"277";"0";"Участвуете в конкурсе";"1323577";"—"
"4";"4";"—";"275";"275";"0";"Участвуете в конкурсе";"1941341";"—"
"5";"2";"—";"273";"268";"5";"Участвуете в конкурсе";"1503436";"—"
"6";"1";"—";"271";"261";"10";"Участвуете в конкурсе";"1344333";"—"
"7";"1";"—";"270";"270";"0";"Участвуете в конкурсе";"1633554";"—"
"8";"5";"—";"269";"269";"0";"Участвуете в конкурсе";"1727638";"—"
"9";"5";"—";"265";"265";"0";"Участвуете в конкурсе";"1514301";"—"
"10";"4";"—";"264";"259";"5";"Участвуете в конкурсе";"958634";"—"
"11";"2";"—";"261";"261";"0";"Участвуете в конкурсе";"1797045";"—"
"12";"1";"—";"261";"251";"10";"Участвуете в конкурсе";"1504690";"—"
"13";"5";"—";"260";"258";"2";"Участвуете в конкурсе";"2184567";"—"
"14";"1";"—";"256";"256";"0";"Участвуете в конкурсе";"1370330";"—"
"15";"4";"—";"255";"255";"0";"Участвуете в конкурсе";"1623459";"—"
"16";"3";"—";"255";"250";"5";"Участвуете в конкурсе";"958101";"—"
"17";"4";"—";"254";"244";"10";"Участвуете в конкурсе";"1196896";"—"
"18";"4";"—";"253";"253";"0";"Участвуете в конкурсе";"1125217";"—"
"19";"2";"—";"251";"251";"0";"Участвуете в конкурсе";"1687257";"—"
"20";"6";"—";"250";"240";"10";"Участвуете в конкурсе";"1749742";"—"
"21";"1";"—";"249";"249";"0";"Участвуете в конкурсе";"2391047";"—"
"22";"1";"—";"248";"248";"0";"Участвуете в конкурсе";"2156217";"—"
"23";"3";"—";"248";"238";"10";"Участвуете в конкурсе";"1442415";"—"
"24";"4";"—";"247";"245";"2";"Участвуете в конкурсе";"2101393";"—"
"25";"7";"—";"247";"237";"10";"Участвуете в конкурсе";"2184480";"—"
"26";"4";"—";"247";"237";"10";"Участвуете в конкурсе";"1856426";"—"
"27";"5";"—";"246";"246";"0";"Участвуете в конкурсе";"1909192";"—"
"28";"4";"—";"246";"236";"10";"Участвуете в конкурсе";"1782205";"—"
"29";"10";"—";"245";"245";"0";"Участвуете в конкурсе";"1309168";"—"
"30";"8";"—";"245";"243";"2";"Участвуете в конкурсе";"1498480";"—"
"31";"6";"—";"244";"244";"0";"Участвуете в конкурсе";"1578577";"—"
"32";"1";"—";"244";"244";"0";"Участвуете в конкурсе";"1500398";"—"
"33";"17";"—";"244";"237";"7";"Участвуете в конкурсе";"2096871";"—"
"34";"6";"—";"244";"234";"10";"Участвуете в конкурсе";"1523501";"—"
"35";"1";"—";"242";"237";"5";"Участвуете в конкурсе";"1606719";"—"
"36";"2";"—";"242";"232";"10";"Участвуете в конкурсе";"1648521";"—"
"37";"2";"—";"241";"241";"0";"Участвуете в конкурсе";"1253337";"—"
"38";"3";"—";"241";"231";"10";"Участвуете в конкурсе";"2257933";"—"
"39";"2";"—";"241";"231";"10";"Участвуете в конкурсе";"1619973";"—"
"40";"2";"—";"241";"231";"10";"Участвуете в конкурсе";"2295199";"—"
"41";"8";"—";"240";"230";"10";"Участвуете в конкурсе";"1704705";"—"
"42";"4";"—";"238";"235";"3";"Участвуете в конкурсе";"1240254";"—"
"43";"1";"—";"238";"228";"10";"Участвуете в конкурсе";"1942420";"—"
"44";"4";"—";"237";"235";"2";"Участвуете в конкурсе";"1646920";"—"
"45";"2";"—";"236";"231";"5";"Участвуете в конкурсе";"1130032";"—"
