"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"273";"273";"0";"Участвуете в конкурсе";"1437865";"—"
"2";"5";"—";"270";"260";"10";"Участвуете в конкурсе";"2093762";"—"
"3";"3";"—";"261";"261";"0";"Участвуете в конкурсе";"1696986";"—"
"4";"3";"—";"252";"252";"0";"Участвуете в конкурсе";"1964859";"—"
"5";"1";"—";"248";"238";"10";"Участвуете в конкурсе";"1556116";"—"
"6";"1";"—";"245";"245";"0";"Участвуете в конкурсе";"1354045";"—"
"1";"1";"Электронное";"242";"237";"5";"Участвуете в конкурсе";"1031373";"—"
"8";"1";"—";"234";"234";"0";"Участвуете в конкурсе";"1437119";"—"
"2";"1";"Электронное";"226";"216";"10";"Участвуете в конкурсе";"2123716";"—"
"10";"1";"—";"224";"224";"0";"Участвуете в конкурсе";"1212881";"—"
"11";"1";"—";"224";"214";"10";"Участвуете в конкурсе";"1832892";"—"
"12";"4";"—";"223";"223";"0";"Участвуете в конкурсе";"2110182";"—"
"13";"4";"—";"222";"222";"0";"Участвуете в конкурсе";"1437361";"—"
"14";"4";"—";"219";"217";"2";"Участвуете в конкурсе";"1939618";"—"
"15";"3";"—";"209";"207";"2";"Участвуете в конкурсе";"2341072";"—"
"16";"12";"—";"207";"207";"0";"Участвуете в конкурсе";"2029267";"—"
"17";"1";"—";"202";"200";"2";"Участвуете в конкурсе";"2072009";"—"
"18";"10";"—";"199";"197";"2";"Участвуете в конкурсе";"1896953";"—"
"19";"7";"Электронное";"195";"193";"2";"Участвуете в конкурсе";"1998419";"—"
"20";"2";"—";"187";"187";"0";"Участвуете в конкурсе";"1503172";"—"
"21";"4";"—";"185";"185";"0";"Участвуете в конкурсе";"2171825";"—"
"22";"5";"—";"162";"162";"0";"Участвуете в конкурсе";"1103656";"—"
"23";"5";"—";"2";"0";"2";"Участвуете в конкурсе";"1130423";"—"
"24";"5";"—";"2";"0";"2";"Участвуете в конкурсе";"1344362";"—"
"25";"2";"Электронное";"0";"0";"0";"Участвуете в конкурсе";"1412410";"—"
"26";"3";"—";"0";"0";"0";"Участвуете в конкурсе";"1365219";"—"
"27";"9";"—";"0";"0";"0";"Участвуете в конкурсе";"1606918";"—"
"28";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"1619684";"—"
"29";"2";"—";"0";"0";"0";"Участвуете в конкурсе";"1682029";"—"
"1";"1";"Электронное";"0";"0";"0";"Участвуете в конкурсе";"2164232";"—"
"31";"2";"Электронное";"269";"269";"0";"Участвуете в конкурсе";"1600284";"—"
"32";"3";"—";"252";"252";"0";"Участвуете в конкурсе";"1964859";"—"
"33";"11";"—";"249";"239";"10";"Участвуете в конкурсе";"1898535";"—"
"34";"2";"—";"245";"235";"10";"Участвуете в конкурсе";"1181526";"—"
"35";"3";"Электронное";"236";"226";"10";"Участвуете в конкурсе";"1465883";"—"
"36";"4";"—";"231";"221";"10";"Участвуете в конкурсе";"1835221";"—"
"37";"6";"—";"229";"219";"10";"Участвуете в конкурсе";"1323253";"—"
"38";"4";"—";"228";"218";"10";"Участвуете в конкурсе";"1568073";"—"
