"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"290";"290";"0";"Участвуете в конкурсе";"1772218";"—"
"2";"1";"—";"278";"278";"0";"Участвуете в конкурсе";"1903510";"—"
"3";"4";"—";"269";"269";"0";"Участвуете в конкурсе";"1341890";"—"
"4";"3";"—";"267";"267";"0";"Участвуете в конкурсе";"1316100";"—"
"5";"2";"—";"266";"256";"10";"Участвуете в конкурсе";"1717452";"—"
"6";"4";"—";"263";"253";"10";"Участвуете в конкурсе";"1621628";"—"
"7";"8";"—";"256";"256";"0";"Участвуете в конкурсе";"1715932";"—"
"8";"1";"—";"255";"255";"0";"Участвуете в конкурсе";"1623459";"—"
"9";"4";"—";"254";"244";"10";"Участвуете в конкурсе";"1255601";"—"
"10";"1";"—";"253";"243";"10";"Участвуете в конкурсе";"1625544";"—"
"11";"4";"—";"251";"251";"0";"Участвуете в конкурсе";"2308289";"—"
"12";"3";"—";"251";"251";"0";"Участвуете в конкурсе";"1687257";"—"
"13";"7";"—";"249";"249";"0";"Участвуете в конкурсе";"1705917";"—"
"14";"2";"—";"249";"239";"10";"Участвуете в конкурсе";"1326138";"—"
"15";"3";"—";"247";"237";"10";"Участвуете в конкурсе";"1433548";"—"
"16";"4";"—";"246";"236";"10";"Участвуете в конкурсе";"1857451";"—"
"17";"7";"—";"245";"243";"2";"Участвуете в конкурсе";"1701762";"—"
"18";"7";"—";"244";"244";"0";"Участвуете в конкурсе";"2335382";"—"
"19";"1";"—";"244";"242";"2";"Участвуете в конкурсе";"1649149";"—"
"20";"1";"—";"241";"231";"10";"Участвуете в конкурсе";"1192270";"—"
"21";"3";"—";"241";"231";"10";"Участвуете в конкурсе";"1619973";"—"
"22";"1";"—";"240";"236";"4";"Участвуете в конкурсе";"1626865";"—"
"1";"1";"Да";"239";"239";"0";"Участвуете в конкурсе";"1063839";"—"
"24";"1";"—";"239";"239";"0";"Участвуете в конкурсе";"1249822";"—"
"25";"5";"—";"238";"228";"10";"Участвуете в конкурсе";"2259234";"—"
"26";"4";"—";"234";"232";"2";"Участвуете в конкурсе";"1777874";"—"
"27";"4";"—";"234";"224";"10";"Участвуете в конкурсе";"2308673";"—"
"28";"3";"—";"233";"223";"10";"Участвуете в конкурсе";"1663580";"—"
"29";"7";"—";"233";"223";"10";"Участвуете в конкурсе";"1643660";"—"
"30";"2";"—";"232";"222";"10";"Участвуете в конкурсе";"1494920";"—"
"31";"2";"—";"232";"222";"10";"Участвуете в конкурсе";"1209439";"—"
"32";"1";"—";"231";"228";"3";"Участвуете в конкурсе";"1407915";"—"
"33";"6";"—";"230";"228";"2";"Участвуете в конкурсе";"2405335";"—"
"34";"7";"—";"229";"226";"3";"Участвуете в конкурсе";"1635091";"—"
"35";"4";"—";"229";"219";"10";"Участвуете в конкурсе";"1261655";"—"
"36";"4";"—";"228";"228";"0";"Участвуете в конкурсе";"1701900";"—"
"37";"2";"—";"228";"218";"10";"Участвуете в конкурсе";"1686365";"—"
"38";"1";"—";"226";"222";"4";"Участвуете в конкурсе";"2172911";"—"
"39";"5";"—";"226";"216";"10";"Участвуете в конкурсе";"1446690";"—"
"40";"5";"—";"225";"225";"0";"Участвуете в конкурсе";"1223041";"—"
"41";"1";"—";"224";"224";"0";"Участвуете в конкурсе";"2267850";"—"
"42";"5";"—";"223";"221";"2";"Участвуете в конкурсе";"1159087";"—"
"43";"1";"—";"223";"218";"5";"Участвуете в конкурсе";"1173729";"—"
"44";"4";"—";"223";"213";"10";"Участвуете в конкурсе";"1360960";"—"
"45";"2";"—";"221";"221";"0";"Участвуете в конкурсе";"1726868";"—"
"46";"2";"—";"221";"221";"0";"Участвуете в конкурсе";"1374884";"—"
"47";"5";"—";"221";"221";"0";"Участвуете в конкурсе";"1726400";"—"
"48";"5";"—";"221";"221";"0";"Участвуете в конкурсе";"2379948";"—"
"49";"5";"—";"221";"211";"10";"Участвуете в конкурсе";"947744";"—"
"50";"7";"—";"220";"218";"2";"Участвуете в конкурсе";"2393644";"—"
"51";"9";"—";"220";"217";"3";"Участвуете в конкурсе";"1505958";"—"
"52";"4";"—";"218";"216";"2";"Участвуете в конкурсе";"2094804";"—"
"53";"2";"—";"218";"216";"2";"Участвуете в конкурсе";"986742";"—"
"54";"1";"—";"218";"208";"10";"Участвуете в конкурсе";"1920036";"—"
"55";"6";"—";"218";"208";"10";"Участвуете в конкурсе";"1384915";"—"
"56";"3";"—";"217";"217";"0";"Участвуете в конкурсе";"1707653";"—"
"57";"5";"—";"216";"206";"10";"Участвуете в конкурсе";"1655708";"—"
"58";"6";"—";"215";"215";"0";"Участвуете в конкурсе";"1209967";"—"
"59";"4";"—";"215";"215";"0";"Участвуете в конкурсе";"1245846";"—"
"60";"4";"—";"214";"214";"0";"Участвуете в конкурсе";"1518179";"—"
"61";"3";"—";"214";"212";"2";"Участвуете в конкурсе";"1655540";"—"
"62";"1";"—";"214";"212";"2";"Участвуете в конкурсе";"1601036";"—"
"63";"7";"—";"213";"213";"0";"Участвуете в конкурсе";"1999735";"—"
"64";"2";"—";"213";"213";"0";"Участвуете в конкурсе";"1288148";"—"
"65";"4";"—";"213";"213";"0";"Участвуете в конкурсе";"1545025";"—"
"66";"2";"—";"213";"211";"2";"Участвуете в конкурсе";"1359054";"—"
"67";"2";"—";"212";"210";"2";"Участвуете в конкурсе";"1581011";"—"
"68";"1";"—";"211";"211";"0";"Участвуете в конкурсе";"2003591";"—"
"69";"8";"—";"211";"211";"0";"Участвуете в конкурсе";"2342035";"—"
"70";"2";"—";"210";"200";"10";"Участвуете в конкурсе";"1614796";"—"
"71";"5";"—";"209";"209";"0";"Участвуете в конкурсе";"1852364";"—"
"72";"2";"—";"209";"209";"0";"Участвуете в конкурсе";"1243172";"—"
"73";"7";"—";"209";"209";"0";"Участвуете в конкурсе";"1575631";"—"
"74";"2";"—";"209";"207";"2";"Участвуете в конкурсе";"1609224";"—"
"75";"9";"—";"209";"204";"5";"Участвуете в конкурсе";"1343034";"—"
"76";"3";"—";"208";"208";"0";"Участвуете в конкурсе";"2364052";"—"
"77";"1";"—";"207";"207";"0";"Участвуете в конкурсе";"1655498";"—"
"78";"4";"—";"207";"207";"0";"Участвуете в конкурсе";"1927490";"—"
"79";"6";"—";"207";"207";"0";"Участвуете в конкурсе";"1241666";"—"
"80";"3";"—";"207";"205";"2";"Участвуете в конкурсе";"2295908";"—"
