"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"10";"Электронное";"274";"264";"10";"Участвуете в конкурсе";"938617";"—"
"2";"1";"—";"223";"223";"0";"Участвуете в конкурсе";"1353792";"—"
"3";"3";"—";"223";"223";"0";"Участвуете в конкурсе";"2110182";"—"
"4";"1";"—";"217";"217";"0";"Участвуете в конкурсе";"2005993";"—"
"5";"1";"—";"214";"204";"10";"Участвуете в конкурсе";"1286765";"—"
"6";"3";"Электронное";"213";"210";"3";"Участвуете в конкурсе";"1040065";"—"
"1";"1";"Электронное";"208";"208";"0";"Участвуете в конкурсе";"1207793";"—"
"8";"1";"—";"204";"202";"2";"Участвуете в конкурсе";"1764818";"—"
"9";"4";"Электронное";"195";"193";"2";"Участвуете в конкурсе";"1998419";"—"
"10";"5";"—";"194";"194";"0";"Участвуете в конкурсе";"1196040";"—"
"11";"7";"—";"163";"163";"0";"Участвуете в конкурсе";"1613250";"—"
"12";"5";"Электронное";"10";"0";"10";"Участвуете в конкурсе";"1104934";"—"
"13";"3";"—";"10";"0";"10";"Участвуете в конкурсе";"1163603";"—"
"14";"2";"—";"10";"0";"10";"Участвуете в конкурсе";"1379673";"—"
"15";"8";"—";"4";"0";"4";"Участвуете в конкурсе";"2084323";"—"
"16";"4";"—";"2";"0";"2";"Участвуете в конкурсе";"1600503";"—"
"1";"1";"Электронное";"0";"0";"0";"Участвуете в конкурсе";"1027265";"—"
"18";"4";"Электронное";"0";"0";"0";"Участвуете в конкурсе";"1285550";"—"
"19";"4";"—";"0";"0";"0";"Участвуете в конкурсе";"1504905";"—"
"20";"1";"—";"0";"0";"0";"Участвуете в конкурсе";"1891391";"—"
"21";"5";"—";"0";"0";"0";"Участвуете в конкурсе";"2243902";"—"
"22";"4";"—";"271";"261";"10";"Участвуете в конкурсе";"2040526";"—"
"23";"3";"Электронное";"264";"254";"10";"Участвуете в конкурсе";"1690153";"—"
"24";"9";"Электронное";"257";"247";"10";"Участвуете в конкурсе";"2313032";"—"
"1";"1";"Электронное";"241";"241";"0";"Участвуете в конкурсе";"1611445";"—"
"26";"3";"—";"230";"220";"10";"Участвуете в конкурсе";"2049498";"—"
"27";"3";"—";"230";"220";"10";"Участвуете в конкурсе";"976663";"—"
"28";"2";"—";"229";"219";"10";"Участвуете в конкурсе";"2211080";"—"
"29";"7";"—";"228";"228";"0";"Участвуете в конкурсе";"1476172";"—"
"30";"3";"—";"224";"222";"2";"Участвуете в конкурсе";"1820968";"—"
"31";"1";"—";"223";"223";"0";"Участвуете в конкурсе";"1353792";"—"
"32";"2";"—";"221";"218";"3";"Участвуете в конкурсе";"1715814";"—"
"33";"1";"—";"220";"218";"2";"Участвуете в конкурсе";"1603596";"—"
"34";"5";"—";"219";"209";"10";"Участвуете в конкурсе";"2094386";"—"
"35";"2";"—";"217";"217";"0";"Участвуете в конкурсе";"2217405";"—"
"36";"3";"—";"216";"216";"0";"Участвуете в конкурсе";"1622801";"—"
"37";"2";"—";"216";"211";"5";"Участвуете в конкурсе";"983774";"—"
"38";"7";"—";"215";"210";"5";"Участвуете в конкурсе";"1093623";"—"
"39";"8";"Электронное";"211";"211";"0";"Участвуете в конкурсе";"2056479";"—"
"40";"3";"—";"210";"200";"10";"Участвуете в конкурсе";"2049280";"—"
"41";"3";"Электронное";"207";"205";"2";"Участвуете в конкурсе";"1912915";"—"
"42";"3";"—";"195";"193";"2";"Участвуете в конкурсе";"1729039";"—"
"43";"5";"—";"187";"187";"0";"Участвуете в конкурсе";"2269000";"—"
"44";"3";"—";"185";"182";"3";"Участвуете в конкурсе";"1818341";"—"
"45";"5";"—";"182";"182";"0";"Участвуете в конкурсе";"2337246";"—"
"2";"1";"Электронное";"178";"175";"3";"Участвуете в конкурсе";"2220476";"—"
"47";"1";"—";"159";"159";"0";"Участвуете в конкурсе";"2164566";"—"
"1";"1";"Электронное";"295";"285";"10";"Участвуете в конкурсе";"1125257";"—"
"49";"4";"—";"291";"281";"10";"Участвуете в конкурсе";"1704234";"—"
"2";"1";"Электронное";"290";"290";"0";"Участвуете в конкурсе";"957789";"—"
"51";"1";"—";"286";"276";"10";"Участвуете в конкурсе";"1465742";"—"
"52";"3";"—";"285";"285";"0";"Участвуете в конкурсе";"1618591";"—"
"53";"6";"—";"285";"275";"10";"Участвуете в конкурсе";"1606868";"—"
"54";"6";"—";"282";"282";"0";"Участвуете в конкурсе";"1321461";"—"
"3";"1";"Электронное";"282";"280";"2";"Участвуете в конкурсе";"1675767";"—"
"56";"4";"—";"282";"279";"3";"Участвуете в конкурсе";"1909814";"—"
"57";"8";"—";"280";"270";"10";"Участвуете в конкурсе";"1424470";"—"
"58";"7";"—";"279";"279";"0";"Участвуете в конкурсе";"1227483";"—"
"59";"2";"Электронное";"279";"269";"10";"Участвуете в конкурсе";"1775985";"—"
"60";"2";"—";"278";"268";"10";"Участвуете в конкурсе";"1479345";"—"
"61";"4";"—";"278";"268";"10";"Участвуете в конкурсе";"1612576";"—"
"62";"2";"Электронное";"277";"277";"0";"Участвуете в конкурсе";"1927169";"—"
"63";"3";"—";"277";"267";"10";"Участвуете в конкурсе";"1325063";"—"
"64";"10";"Электронное";"274";"264";"10";"Участвуете в конкурсе";"938617";"—"
"65";"3";"Электронное";"273";"263";"10";"Участвуете в конкурсе";"1365153";"—"
"66";"4";"—";"271";"261";"10";"Участвуете в конкурсе";"2040526";"—"
"4";"1";"Электронное";"270";"270";"0";"Участвуете в конкурсе";"1750059";"—"
