"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"260";"250";"10";"Участвуете в конкурсе";"1357002";"—"
"2";"2";"—";"258";"253";"5";"Участвуете в конкурсе";"1612806";"—"
"3";"3";"—";"256";"246";"10";"Участвуете в конкурсе";"1897382";"—"
"4";"1";"—";"255";"245";"10";"Участвуете в конкурсе";"976663";"—"
"5";"2";"—";"254";"254";"0";"Участвуете в конкурсе";"1407232";"—"
"6";"2";"—";"251";"251";"0";"Участвуете в конкурсе";"1205941";"—"
"7";"2";"—";"248";"238";"10";"Участвуете в конкурсе";"1235503";"—"
"8";"2";"—";"247";"237";"10";"Участвуете в конкурсе";"1940103";"—"
"9";"2";"—";"244";"244";"0";"Участвуете в конкурсе";"1585406";"—"
"10";"1";"—";"241";"241";"0";"Участвуете в конкурсе";"1438986";"—"
"11";"2";"—";"241";"239";"2";"Участвуете в конкурсе";"1604964";"—"
"12";"3";"—";"241";"236";"5";"Участвуете в конкурсе";"964013";"—"
"13";"1";"—";"239";"239";"0";"Участвуете в конкурсе";"1255094";"—"
"14";"6";"—";"234";"224";"10";"Участвуете в конкурсе";"1169307";"—"
"15";"2";"—";"232";"232";"0";"Участвуете в конкурсе";"1098853";"—"
"16";"1";"—";"231";"231";"0";"Участвуете в конкурсе";"1639795";"—"
"17";"4";"—";"230";"230";"0";"Участвуете в конкурсе";"1859393";"—"
"18";"2";"—";"230";"220";"10";"Участвуете в конкурсе";"962770";"—"
"19";"2";"—";"225";"225";"0";"Участвуете в конкурсе";"2182008";"—"
"20";"1";"—";"221";"219";"2";"Участвуете в конкурсе";"1788022";"—"
"21";"1";"—";"218";"218";"0";"Участвуете в конкурсе";"1651165";"—"
"22";"2";"—";"218";"218";"0";"Участвуете в конкурсе";"1579391";"—"
"23";"1";"—";"218";"216";"2";"Участвуете в конкурсе";"1132402";"—"
"24";"1";"—";"215";"215";"0";"Участвуете в конкурсе";"1361651";"—"
"25";"1";"—";"214";"214";"0";"Участвуете в конкурсе";"1417185";"—"
"26";"1";"—";"211";"208";"3";"Участвуете в конкурсе";"1838020";"—"
"27";"3";"—";"210";"210";"0";"Участвуете в конкурсе";"1038773";"—"
"28";"1";"—";"210";"208";"2";"Участвуете в конкурсе";"1946902";"—"
"29";"3";"—";"205";"205";"0";"Участвуете в конкурсе";"1203882";"—"
"30";"1";"—";"204";"201";"3";"Участвуете в конкурсе";"1609060";"—"
"31";"1";"—";"203";"203";"0";"Участвуете в конкурсе";"1513551";"—"
"32";"1";"—";"203";"203";"0";"Участвуете в конкурсе";"1652297";"—"
"33";"2";"—";"203";"203";"0";"Участвуете в конкурсе";"1358931";"—"
"34";"1";"—";"197";"197";"0";"Участвуете в конкурсе";"2085023";"—"
"35";"1";"—";"195";"195";"0";"Участвуете в конкурсе";"1189651";"—"
"36";"1";"—";"194";"192";"2";"Участвуете в конкурсе";"1576984";"—"
"37";"1";"—";"193";"193";"0";"Участвуете в конкурсе";"1509541";"—"
"38";"2";"—";"192";"192";"0";"Участвуете в конкурсе";"2178119";"—"
"39";"2";"—";"191";"191";"0";"Участвуете в конкурсе";"1953111";"—"
"40";"6";"—";"185";"175";"10";"Участвуете в конкурсе";"1653431";"—"
"1";"1";"Да";"181";"181";"0";"Участвуете в конкурсе";"1428849";"—"
"42";"3";"—";"181";"173";"8";"Участвуете в конкурсе";"1311220";"—"
"43";"1";"—";"180";"180";"0";"Участвуете в конкурсе";"1654279";"—"
"44";"2";"—";"178";"178";"0";"Участвуете в конкурсе";"1633554";"—"
"45";"2";"—";"171";"161";"10";"Участвуете в конкурсе";"2153963";"—"
"46";"4";"—";"168";"158";"10";"Участвуете в конкурсе";"1442415";"—"
"47";"10";"—";"164";"154";"10";"Участвуете в конкурсе";"2229371";"—"
"48";"4";"—";"161";"158";"3";"Участвуете в конкурсе";"1445049";"—"
"49";"4";"—";"158";"158";"0";"Участвуете в конкурсе";"1398017";"—"
"50";"1";"—";"157";"157";"0";"Участвуете в конкурсе";"2446769";"—"
"51";"5";"—";"156";"156";"0";"Участвуете в конкурсе";"2391047";"—"
"52";"5";"—";"152";"149";"3";"Участвуете в конкурсе";"2333123";"—"
"53";"2";"—";"151";"151";"0";"Участвуете в конкурсе";"1158498";"—"
"54";"6";"—";"151";"151";"0";"Участвуете в конкурсе";"2183153";"—"
"55";"3";"—";"149";"139";"10";"Участвуете в конкурсе";"2344679";"—"
"56";"3";"—";"146";"141";"5";"Участвуете в конкурсе";"1130032";"—"
"57";"3";"—";"146";"136";"10";"Участвуете в конкурсе";"2216305";"—"
"58";"3";"—";"145";"143";"2";"Участвуете в конкурсе";"1655945";"—"
"59";"2";"—";"143";"143";"0";"Участвуете в конкурсе";"1028712";"—"
"60";"3";"—";"143";"143";"0";"Участвуете в конкурсе";"1860362";"—"
"61";"2";"—";"141";"141";"0";"Участвуете в конкурсе";"1151294";"—"
"62";"4";"—";"140";"130";"10";"Участвуете в конкурсе";"2273613";"—"
"63";"1";"—";"138";"128";"10";"Участвуете в конкурсе";"1273321";"—"
"64";"5";"—";"134";"134";"0";"Участвуете в конкурсе";"1027903";"—"
"65";"4";"—";"132";"122";"10";"Участвуете в конкурсе";"1054143";"—"
"66";"6";"—";"130";"130";"0";"Участвуете в конкурсе";"2169167";"—"
"67";"4";"—";"128";"128";"0";"Участвуете в конкурсе";"2028333";"—"
"68";"1";"—";"128";"128";"0";"Участвуете в конкурсе";"2364651";"—"
"69";"2";"—";"127";"127";"0";"Участвуете в конкурсе";"2182753";"—"
"70";"4";"—";"127";"127";"0";"Участвуете в конкурсе";"1076946";"—"
"71";"7";"—";"127";"127";"0";"Участвуете в конкурсе";"2178866";"—"
"72";"7";"—";"127";"127";"0";"Участвуете в конкурсе";"2136507";"—"
"73";"4";"—";"126";"119";"7";"Участвуете в конкурсе";"2243600";"—"
"74";"5";"—";"125";"123";"2";"Участвуете в конкурсе";"2211672";"—"
"75";"7";"—";"122";"122";"0";"Участвуете в конкурсе";"2067853";"—"
"76";"9";"—";"122";"122";"0";"Участвуете в конкурсе";"2090392";"—"
"77";"9";"—";"120";"117";"3";"Участвуете в конкурсе";"1754818";"—"
"78";"6";"—";"119";"119";"0";"Участвуете в конкурсе";"1041065";"—"
"79";"2";"—";"119";"119";"0";"Участвуете в конкурсе";"2268787";"—"
"80";"2";"—";"119";"119";"0";"Участвуете в конкурсе";"1080259";"—"
"81";"3";"—";"115";"115";"0";"Участвуете в конкурсе";"2177215";"—"
"82";"3";"—";"115";"115";"0";"Участвуете в конкурсе";"1825891";"—"
"83";"3";"—";"115";"115";"0";"Участвуете в конкурсе";"2325259";"—"
"84";"5";"—";"115";"115";"0";"Участвуете в конкурсе";"2134762";"—"
"85";"1";"—";"115";"115";"0";"Участвуете в конкурсе";"2237546";"—"
"86";"1";"—";"113";"113";"0";"Участвуете в конкурсе";"2349816";"—"
"87";"4";"—";"111";"109";"2";"Участвуете в конкурсе";"2080411";"—"
"88";"2";"—";"110";"110";"0";"Участвуете в конкурсе";"1316807";"—"
"89";"4";"—";"110";"110";"0";"Участвуете в конкурсе";"1515136";"—"
"90";"2";"—";"109";"109";"0";"Участвуете в конкурсе";"1081816";"—"
"91";"1";"—";"109";"107";"2";"Участвуете в конкурсе";"1884119";"—"
"92";"4";"—";"94";"94";"0";"Участвуете в конкурсе";"1156256";"—"
"93";"1";"—";"90";"80";"10";"Участвуете в конкурсе";"1141177";"—"
"94";"6";"Да";"85";"85";"0";"Участвуете в конкурсе";"1256204";"—"
"95";"2";"—";"84";"74";"10";"Участвуете в конкурсе";"2099892";"—"
"96";"6";"—";"70";"70";"0";"Участвуете в конкурсе";"967229";"—"
"97";"1";"—";"64";"64";"0";"Участвуете в конкурсе";"955441";"—"
"98";"2";"—";"55";"55";"0";"Участвуете в конкурсе";"1606696";"—"
