"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"—";"—";"2";"Участвуете в конкурсе";"1187087";"—"
"2";"1";"—";"459";"449";"10";"Участвуете в конкурсе";"1429990";"—"
"1";"1";"Да";"448";"443";"5";"Участвуете в конкурсе";"1186322";"—"
"4";"2";"Да";"433";"433";"0";"Участвуете в конкурсе";"1256204";"—"
"5";"1";"—";"426";"416";"10";"Участвуете в конкурсе";"1237123";"—"
"6";"1";"—";"420";"410";"10";"Участвуете в конкурсе";"1174505";"—"
"7";"1";"—";"410";"400";"10";"Участвуете в конкурсе";"1529580";"—"
"8";"1";"—";"405";"395";"10";"Участвуете в конкурсе";"1265866";"—"
"9";"1";"—";"402";"396";"6";"Участвуете в конкурсе";"1249843";"—"
"10";"1";"—";"402";"392";"10";"Участвуете в конкурсе";"1214720";"—"
"11";"3";"—";"395";"395";"0";"Участвуете в конкурсе";"1544423";"—"
"12";"1";"—";"395";"393";"2";"Участвуете в конкурсе";"1600615";"—"
"13";"1";"—";"395";"392";"3";"Участвуете в конкурсе";"1315676";"—"
"14";"1";"—";"392";"382";"10";"Участвуете в конкурсе";"1358221";"—"
"2";"1";"Да";"391";"388";"3";"Участвуете в конкурсе";"1148128";"—"
"16";"1";"—";"389";"386";"3";"Участвуете в конкурсе";"1060189";"—"
"17";"3";"—";"385";"385";"0";"Участвуете в конкурсе";"1134239";"—"
"3";"1";"Да";"385";"380";"5";"Участвуете в конкурсе";"1193775";"—"
"19";"2";"—";"385";"375";"10";"Участвуете в конкурсе";"998826";"—"
"20";"1";"—";"384";"384";"0";"Участвуете в конкурсе";"1274240";"—"
"21";"3";"—";"383";"383";"0";"Участвуете в конкурсе";"1575729";"—"
"22";"1";"—";"381";"381";"0";"Участвуете в конкурсе";"1610183";"—"
"23";"1";"—";"380";"377";"3";"Участвуете в конкурсе";"957332";"—"
"24";"1";"—";"377";"377";"0";"Участвуете в конкурсе";"1726675";"—"
"25";"1";"—";"377";"374";"3";"Участвуете в конкурсе";"1476001";"—"
"26";"1";"—";"376";"366";"10";"Участвуете в конкурсе";"1259531";"—"
"4";"1";"Да";"373";"363";"10";"Участвуете в конкурсе";"970288";"—"
"28";"1";"—";"369";"366";"3";"Участвуете в конкурсе";"1158456";"—"
"29";"1";"—";"367";"357";"10";"Участвуете в конкурсе";"1074087";"—"
"5";"1";"Да";"363";"358";"5";"Участвуете в конкурсе";"1150471";"—"
"6";"1";"Да";"357";"354";"3";"Участвуете в конкурсе";"1174955";"—"
"7";"1";"Да";"355";"355";"0";"Участвуете в конкурсе";"1035249";"—"
"33";"1";"—";"353";"343";"10";"Участвуете в конкурсе";"1200824";"—"
"8";"1";"Да";"351";"341";"10";"Участвуете в конкурсе";"1277960";"—"
"35";"2";"—";"350";"340";"10";"Участвуете в конкурсе";"1003171";"—"
"36";"2";"—";"349";"344";"5";"Участвуете в конкурсе";"1193490";"—"
"37";"2";"—";"349";"339";"10";"Участвуете в конкурсе";"1201763";"—"
"38";"2";"—";"346";"336";"10";"Участвуете в конкурсе";"1175131";"—"
"39";"1";"—";"345";"335";"10";"Участвуете в конкурсе";"1255475";"—"
"40";"1";"—";"343";"333";"10";"Участвуете в конкурсе";"1186369";"—"
"41";"1";"—";"342";"342";"0";"Участвуете в конкурсе";"1345989";"—"
"42";"1";"—";"339";"339";"0";"Участвуете в конкурсе";"1303362";"—"
"43";"1";"Да";"338";"338";"0";"Участвуете в конкурсе";"960342";"—"
"44";"7";"—";"338";"338";"0";"Участвуете в конкурсе";"1580352";"—"
"9";"1";"Да";"338";"335";"3";"Участвуете в конкурсе";"1127125";"—"
"10";"1";"Да";"337";"337";"0";"Участвуете в конкурсе";"1239677";"—"
"47";"1";"—";"337";"337";"0";"Участвуете в конкурсе";"1014945";"—"
"48";"1";"—";"337";"337";"0";"Участвуете в конкурсе";"1698083";"—"
"49";"1";"—";"337";"327";"10";"Участвуете в конкурсе";"959912";"—"
"50";"1";"—";"333";"333";"0";"Участвуете в конкурсе";"1171648";"—"
"51";"2";"—";"332";"332";"0";"Участвуете в конкурсе";"1150076";"—"
"52";"1";"—";"331";"331";"0";"Участвуете в конкурсе";"948227";"—"
"53";"10";"—";"328";"328";"0";"Участвуете в конкурсе";"981095";"—"
"11";"1";"Да";"326";"323";"3";"Участвуете в конкурсе";"1481185";"—"
"55";"4";"—";"321";"311";"10";"Участвуете в конкурсе";"1615203";"—"
"56";"1";"—";"319";"309";"10";"Участвуете в конкурсе";"1597676";"—"
"57";"1";"—";"316";"316";"0";"Участвуете в конкурсе";"1677253";"—"
"12";"1";"Да";"316";"316";"0";"Участвуете в конкурсе";"958385";"—"
"59";"1";"—";"315";"305";"10";"Участвуете в конкурсе";"1713659";"—"
"60";"1";"—";"313";"313";"0";"Участвуете в конкурсе";"1507228";"—"
"61";"1";"—";"306";"306";"0";"Участвуете в конкурсе";"1683562";"—"
"62";"2";"—";"303";"301";"2";"Участвуете в конкурсе";"1267489";"—"
"63";"1";"—";"303";"300";"3";"Участвуете в конкурсе";"1213840";"—"
"64";"2";"—";"302";"292";"10";"Участвуете в конкурсе";"1783415";"—"
"65";"3";"—";"291";"291";"0";"Участвуете в конкурсе";"1573462";"—"
"66";"1";"—";"289";"289";"0";"Участвуете в конкурсе";"1190975";"—"
"67";"1";"—";"289";"289";"0";"Участвуете в конкурсе";"1365327";"—"
"68";"1";"—";"287";"287";"0";"Участвуете в конкурсе";"1180763";"—"
"69";"1";"—";"273";"270";"3";"Участвуете в конкурсе";"977419";"—"
"70";"3";"—";"265";"265";"0";"Участвуете в конкурсе";"1280331";"—"
"71";"1";"—";"257";"257";"0";"Участвуете в конкурсе";"1193080";"—"
"72";"1";"—";"255";"255";"0";"Участвуете в конкурсе";"1061606";"—"
"73";"1";"—";"247";"247";"0";"Участвуете в конкурсе";"1178501";"—"
"74";"2";"—";"245";"235";"10";"Участвуете в конкурсе";"1643988";"—"
"75";"1";"—";"228";"228";"0";"Участвуете в конкурсе";"1202012";"—"
"76";"1";"—";"224";"224";"0";"Участвуете в конкурсе";"1508154";"—"
"77";"5";"—";"218";"215";"3";"Участвуете в конкурсе";"1520044";"—"
"78";"2";"—";"204";"194";"10";"Участвуете в конкурсе";"1002694";"—"
"79";"3";"—";"202";"202";"0";"Участвуете в конкурсе";"1702893";"—"
"80";"2";"—";"199";"199";"0";"Участвуете в конкурсе";"986418";"—"
"81";"2";"—";"192";"192";"0";"Участвуете в конкурсе";"978849";"—"
"82";"2";"—";"190";"180";"10";"Участвуете в конкурсе";"1446590";"—"
"83";"2";"—";"189";"189";"0";"Участвуете в конкурсе";"1713254";"—"
"84";"2";"—";"188";"188";"0";"Участвуете в конкурсе";"1075022";"—"
"85";"1";"—";"188";"188";"0";"Участвуете в конкурсе";"1157263";"—"
"86";"3";"—";"185";"175";"10";"Участвуете в конкурсе";"1616806";"—"
"87";"1";"—";"184";"184";"0";"Участвуете в конкурсе";"967229";"—"
"88";"2";"—";"183";"183";"0";"Участвуете в конкурсе";"1772916";"—"
"89";"1";"—";"182";"182";"0";"Участвуете в конкурсе";"1583741";"—"
"90";"3";"—";"180";"180";"0";"Участвуете в конкурсе";"1399170";"—"
"91";"13";"—";"178";"178";"0";"Участвуете в конкурсе";"1086025";"—"
"92";"7";"—";"177";"177";"0";"Участвуете в конкурсе";"1951896";"—"
