"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"461";"451";"10";"Участвуете в конкурсе";"1393117";"—"
"2";"1";"—";"454";"445";"9";"Участвуете в конкурсе";"1213619";"—"
"3";"1";"—";"447";"437";"10";"Участвуете в конкурсе";"1205821";"—"
"4";"1";"—";"445";"435";"10";"Участвуете в конкурсе";"1446590";"—"
"5";"1";"—";"443";"433";"10";"Участвуете в конкурсе";"1141217";"—"
"6";"1";"—";"441";"441";"0";"Участвуете в конкурсе";"957878";"—"
"7";"1";"—";"441";"432";"9";"Участвуете в конкурсе";"1034974";"—"
"8";"1";"—";"438";"435";"3";"Участвуете в конкурсе";"1546673";"—"
"9";"1";"—";"438";"428";"10";"Участвуете в конкурсе";"957155";"—"
"10";"1";"—";"438";"428";"10";"Участвуете в конкурсе";"960915";"—"
"11";"1";"—";"423";"413";"10";"Участвуете в конкурсе";"977792";"—"
"12";"1";"Да";"408";"398";"10";"Участвуете в конкурсе";"1206507";"—"
"13";"1";"—";"408";"398";"10";"Участвуете в конкурсе";"977554";"—"
"14";"1";"—";"406";"396";"10";"Участвуете в конкурсе";"1266383";"—"
"15";"1";"—";"404";"394";"10";"Участвуете в конкурсе";"1198653";"—"
"16";"2";"—";"403";"403";"0";"Участвуете в конкурсе";"1575729";"—"
"17";"1";"—";"396";"386";"10";"Участвуете в конкурсе";"1582518";"—"
"18";"1";"—";"395";"392";"3";"Участвуете в конкурсе";"1075936";"—"
"19";"1";"—";"394";"391";"3";"Участвуете в конкурсе";"981846";"—"
"1";"1";"Да";"393";"390";"3";"Участвуете в конкурсе";"1094811";"—"
"21";"1";"—";"389";"379";"10";"Участвуете в конкурсе";"982888";"—"
"22";"1";"—";"387";"377";"10";"Участвуете в конкурсе";"962683";"—"
"23";"1";"—";"387";"377";"10";"Участвуете в конкурсе";"1348068";"—"
"24";"1";"—";"384";"384";"0";"Участвуете в конкурсе";"1096619";"—"
"25";"1";"—";"384";"384";"0";"Участвуете в конкурсе";"976366";"—"
"26";"1";"—";"383";"383";"0";"Участвуете в конкурсе";"1330712";"—"
"2";"1";"Да";"381";"378";"3";"Участвуете в конкурсе";"1158715";"—"
"28";"1";"—";"381";"371";"10";"Участвуете в конкурсе";"1671777";"—"
"29";"1";"—";"379";"369";"10";"Участвуете в конкурсе";"1253456";"—"
"30";"1";"—";"377";"372";"5";"Участвуете в конкурсе";"1207996";"—"
"3";"1";"Да";"376";"366";"10";"Участвуете в конкурсе";"1175131";"—"
