"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"10";"56240 Без вступительных испытаний 10 Да Призер всероссийской олимпиады";"1";"Участвуете в конкурсе";"2247591";"—"
"2";"—";"—";"10";"57910 Без вступительных испытаний 10 Нет √";"1";"Участвуете в конкурсе";"2253193";"—"
"3";"1";"—";"10";"51849 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1816600";"—"
"4";"1";"—";"10";"59136 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"2386119";"—"
"5";"1";"—";"10";"59667 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"2417270";"—"
"6";"—";"—";"—";"49406 Без вступительных испытаний Нет Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1247818";"—"
"7";"1";"—";"10";"32260 Без вступительных испытаний 10 Да Призер олимпиады школьников";"1";"Участвуете в конкурсе";"1061090";"—"
"8";"1";"—";"10";"59240 Без вступительных испытаний 10 Да √";"1";"Участвуете в конкурсе";"2384191";"—"
"9";"2";"Электронное";"307";"59653 100 100 97 1";"10";"Участвуете в конкурсе";"2415548";"—"
"10";"3";"—";"306";"52603 100 99 97 1";"10";"Участвуете в конкурсе";"1916785";"—"
"11";"3";"—";"305";"57079 98 100 97 1";"10";"Участвуете в конкурсе";"1727373";"—"
"12";"3";"Электронное";"304";"49822 100 100 94 1";"10";"Участвуете в конкурсе";"1182467";"—"
"13";"1";"—";"304";"52753 100 100 94 2";"10";"Участвуете в конкурсе";"1624627";"—"
"14";"1";"—";"304";"58426 100 97 97 2";"10";"Участвуете в конкурсе";"1823789";"—"
"15";"4";"—";"304";"53069 100 97 97 1";"10";"Участвуете в конкурсе";"1964621";"—"
"16";"1";"—";"303";"52691 100 99 94 3";"10";"Участвуете в конкурсе";"1353341";"—"
"17";"3";"—";"302";"46435 100 98 94 1";"10";"Участвуете в конкурсе";"1165419";"—"
"18";"2";"—";"302";"49979 100 95 97 1";"10";"Участвуете в конкурсе";"1609526";"—"
"19";"5";"—";"302";"47551 98 100 94 1";"10";"Участвуете в конкурсе";"1334788";"—"
"20";"4";"Электронное";"302";"54855 98 94 100 1";"10";"Участвуете в конкурсе";"1900845";"—"
"21";"5";"—";"301";"51007 100 100 91 1";"10";"Участвуете в конкурсе";"1723490";"—"
"22";"4";"—";"301";"51918 98 96 97 2";"10";"Участвуете в конкурсе";"1793645";"—"
"23";"2";"—";"300";"53126 100 90 100 1";"10";"Участвуете в конкурсе";"1618714";"—"
"24";"3";"—";"300";"53429 94 96 100 2";"10";"Участвуете в конкурсе";"1516062";"—"
"25";"6";"Электронное";"300";"52871 90 100 100 1";"10";"Участвуете в конкурсе";"1712794";"—"
"26";"2";"—";"299";"56532 100 100 89 3";"10";"Участвуете в конкурсе";"2255108";"—"
"27";"1";"—";"299";"55181 100 92 97 4";"10";"Участвуете в конкурсе";"1046128";"—"
"28";"2";"—";"299";"52333 98 97 94 3";"10";"Участвуете в конкурсе";"1477202";"—"
"29";"3";"Электронное";"299";"54183 98 94 97 1";"10";"Участвуете в конкурсе";"1976526";"—"
"30";"3";"—";"299";"53128 95 97 97 2";"10";"Участвуете в конкурсе";"1563294";"—"
"31";"6";"—";"299";"51178 95 97 97 2";"10";"Участвуете в конкурсе";"1772073";"—"
"32";"2";"Электронное";"299";"48415 90 100 99 1";"10";"Участвуете в конкурсе";"1447633";"—"
"33";"4";"—";"298";"49854 100 97 91 2";"10";"Участвуете в конкурсе";"1281973";"—"
"34";"2";"—";"298";"58487 98 96 94 1";"10";"Участвуете в конкурсе";"1971822";"—"
"35";"3";"—";"298";"53771 95 96 97 1";"10";"Участвуете в конкурсе";"2033767";"—"
"36";"4";"Электронное";"297";"50846 95 100 100 1";"2";"Участвуете в конкурсе";"1727756";"—"
"37";"1";"—";"297";"50028 98 100 89 2";"10";"Участвуете в конкурсе";"1637473";"—"
"38";"1";"—";"297";"50739 98 100 89 3";"10";"Участвуете в конкурсе";"1653182";"—"
"39";"2";"—";"297";"60332 98 100 89 4";"10";"Участвуете в конкурсе";"2239457";"—"
"40";"1";"—";"297";"56203 93 100 94 3";"10";"Участвуете в конкурсе";"2229267";"—"
"41";"4";"Электронное";"297";"53373 93 97 97 2";"10";"Участвуете в конкурсе";"1989199";"—"
"42";"2";"Электронное";"296";"49166 98 100 98 3";"—";"Участвуете в конкурсе";"1558132";"—"
"43";"3";"—";"296";"49962 98 99 97 1";"2";"Участвуете в конкурсе";"1567682";"—"
"44";"3";"Электронное";"296";"59097 100 95 91 1";"10";"Участвуете в конкурсе";"2403679";"—"
"45";"1";"Электронное";"296";"60388 98 94 94 2";"10";"Участвуете в конкурсе";"2424021";"—"
"46";"2";"Электронное";"296";"57707 96 100 90 1";"10";"Участвуете в конкурсе";"1656183";"—"
"47";"1";"—";"296";"60110 96 99 91";"10";"Участвуете в конкурсе";"1479205";"—"
"48";"1";"—";"296";"59747 95 100 91 2";"10";"Участвуете в конкурсе";"1515686";"—"
"49";"1";"—";"295";"59910 100 99 86";"10";"Участвуете в конкурсе";"2394164";"—"
"50";"1";"Электронное";"295";"50342 100 94 91 3";"10";"Участвуете в конкурсе";"1687864";"—"
"51";"4";"—";"295";"50880 98 98 89";"10";"Участвуете в конкурсе";"1728824";"—"
"52";"1";"—";"295";"49435 96 92 97 √";"10";"Участвуете в конкурсе";"950445";"—"
"53";"3";"—";"295";"60121 93 98 94 √";"10";"Участвуете в конкурсе";"1798282";"—"
"54";"2";"—";"295";"59887 88 100 97 4";"10";"Участвуете в конкурсе";"2248403";"—"
"55";"2";"Электронное";"294";"55425 96 100 94 1";"4";"Участвуете в конкурсе";"1915669";"—"
"56";"3";"—";"294";"47175 98 97 94 √";"5";"Участвуете в конкурсе";"981435";"—"
"57";"3";"—";"294";"51911 100 95 89 4";"10";"Участвуете в конкурсе";"1197121";"—"
"58";"5";"—";"294";"47867 100 95 89 3";"10";"Участвуете в конкурсе";"1391829";"—"
"59";"2";"—";"294";"57995 100 95 89";"10";"Участвуете в конкурсе";"2237529";"—"
"60";"3";"—";"294";"49376 100 90 94 √";"10";"Участвуете в конкурсе";"1577034";"—"
"61";"5";"—";"294";"54019 98 95 91 √";"10";"Участвуете в конкурсе";"2045201";"—"
"62";"1";"—";"294";"53021 98 92 94";"10";"Участвуете в конкурсе";"1959788";"—"
"63";"3";"—";"294";"49829 95 98 91 √";"10";"Участвуете в конкурсе";"1604005";"—"
"64";"1";"—";"294";"46847 95 95 94";"10";"Участвуете в конкурсе";"1212446";"—"
"65";"2";"—";"294";"57946 94 99 91 6";"10";"Участвуете в конкурсе";"2217216";"—"
"66";"1";"—";"294";"59131 93 100 91 5";"10";"Участвуете в конкурсе";"1714180";"—"
"67";"2";"—";"294";"58586 93 100 91 √";"10";"Участвуете в конкурсе";"2363361";"—"
"68";"5";"—";"294";"58857 90 94 100 √";"10";"Участвуете в конкурсе";"2270910";"—"
"69";"4";"Электронное";"294";"50269 86 100 98 1";"10";"Участвуете в конкурсе";"1623645";"—"
"70";"5";"—";"293";"49963 100 97 86 √";"10";"Участвуете в конкурсе";"1612358";"—"
"71";"2";"—";"293";"55205 100 94 89";"10";"Участвуете в конкурсе";"1395772";"—"
"72";"5";"—";"293";"54160 100 86 97 √";"10";"Участвуете в конкурсе";"1958859";"—"
"73";"3";"—";"293";"50538 98 96 89";"10";"Участвуете в конкурсе";"1047515";"—"
"74";"2";"Электронное";"293";"46689 98 96 89 1";"10";"Участвуете в конкурсе";"1184534";"—"
"75";"2";"—";"293";"47420 98 96 89";"10";"Участвуете в конкурсе";"1339091";"—"
"76";"3";"—";"293";"52706 98 88 97 √";"10";"Участвуете в конкурсе";"1925481";"—"
"77";"1";"—";"293";"50918 96 96 91 7";"10";"Участвуете в конкурсе";"1184749";"—"
"78";"7";"—";"293";"60102 95 94 94 4";"10";"Участвуете в конкурсе";"1433398";"—"
"79";"5";"—";"293";"52163 95 94 94 √";"10";"Участвуете в конкурсе";"1795304";"—"
"80";"1";"—";"293";"53348 94 95 94 5";"10";"Участвуете в конкурсе";"1988845";"—"
"81";"4";"—";"293";"58030 88 95 100 √";"10";"Участвуете в конкурсе";"1887975";"—"
"82";"1";"Электронное";"292";"56878 100 92 100";"—";"Участвуете в конкурсе";"2247923";"—"
"83";"4";"—";"292";"55677 95 95 100";"2";"Участвуете в конкурсе";"1375485";"—"
"84";"2";"Электронное";"292";"59664 100 99 83 1";"10";"Участвуете в конкурсе";"2416926";"—"
"85";"1";"—";"292";"52992 98 95 89 6";"10";"Участвуете в конкурсе";"1956402";"—"
"86";"4";"—";"292";"53652 93 95 94 √";"10";"Участвуете в конкурсе";"1868744";"—"
"87";"2";"—";"292";"59193 93 92 97";"10";"Участвуете в конкурсе";"1633909";"—"
"88";"7";"—";"292";"53025 92 96 94 √";"10";"Участвуете в конкурсе";"1323249";"—"
"89";"1";"—";"292";"58060 90 95 97 √";"10";"Участвуете в конкурсе";"1646291";"—"
"90";"5";"—";"292";"57741 90 95 97 √";"10";"Участвуете в конкурсе";"2337542";"—"
"91";"2";"Электронное";"292";"59638 90 95 97 1";"10";"Участвуете в конкурсе";"2414299";"—"
"92";"4";"—";"291";"60081 92 95 97";"7";"Участвуете в конкурсе";"1215083";"—"
"93";"2";"Электронное";"291";"53785 100 98 83 1";"10";"Участвуете в конкурсе";"2028410";"—"
"94";"1";"—";"291";"46147 100 92 89";"10";"Участвуете в конкурсе";"1117036";"—"
"95";"1";"—";"291";"52099 98 100 83";"10";"Участвуете в конкурсе";"1855943";"—"
"96";"1";"—";"291";"48156 95 100 86";"10";"Участвуете в конкурсе";"1436615";"—"
"97";"3";"Электронное";"291";"57685 95 95 91 1";"10";"Участвуете в конкурсе";"2273242";"—"
"98";"1";"—";"291";"51288 95 92 94 √";"10";"Участвуете в конкурсе";"1786433";"—"
"99";"3";"—";"291";"60357 94 96 91 √";"10";"Участвуете в конкурсе";"2423829";"—"
"100";"3";"—";"291";"47329 90 94 97 √";"10";"Участвуете в конкурсе";"1326043";"—"
