"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"—";"—";"10";"- Без вступительных испытаний 10 Нет";"1";"Участвуете в конкурсе";"2253193";"—"
"2";"2";"Электронное";"299";"- 90 100 99 1";"10";"Участвуете в конкурсе";"1447633";"—"
"3";"2";"—";"287";"- 98 90 89 1";"10";"Участвуете в конкурсе";"1442348";"—"
"4";"1";"—";"283";"- 90 100 83 1";"10";"Участвуете в конкурсе";"1755244";"—"
"5";"6";"Электронное";"282";"- 96 98 78 1";"10";"Участвуете в конкурсе";"2154272";"—"
"6";"1";"—";"278";"- 86 98 89 2";"5";"Участвуете в конкурсе";"2056217";"—"
"7";"3";"Электронное";"278";"- 93 97 78 1";"10";"Участвуете в конкурсе";"2216332";"—"
"8";"2";"—";"274";"- 93 90 81 1";"10";"Участвуете в конкурсе";"1518166";"—"
"9";"5";"—";"272";"- 93 80 89 2";"10";"Участвуете в конкурсе";"1180587";"—"
"10";"3";"—";"270";"- 88 94 78 1";"10";"Участвуете в конкурсе";"1909639";"—"
"11";"1";"—";"268";"- 95 88 75 2";"10";"Участвуете в конкурсе";"1239868";"—"
"12";"1";"—";"267";"- 90 86 81 2";"10";"Участвуете в конкурсе";"1637109";"—"
"13";"2";"—";"266";"- 90 88 86 4";"2";"Участвуете в конкурсе";"1982250";"—"
"14";"2";"—";"265";"- 79 90 91 1";"5";"Участвуете в конкурсе";"1721995";"—"
"15";"3";"—";"261";"- 94 92 75 √";"—";"Участвуете в конкурсе";"1641405";"—"
"16";"2";"—";"258";"- 78 84 86 3";"10";"Участвуете в конкурсе";"2002995";"—"
"17";"1";"—";"257";"- 80 86 91 √";"—";"Участвуете в конкурсе";"1701936";"—"
"18";"3";"Электронное";"255";"- 84 64 97 1";"10";"Участвуете в конкурсе";"1826744";"—"
"19";"3";"—";"254";"- 85 78 81 √";"10";"Участвуете в конкурсе";"2165742";"—"
"20";"2";"—";"250";"- 88 86 66 √";"10";"Участвуете в конкурсе";"2248399";"—"
"21";"5";"—";"249";"- 83 88 78";"—";"Участвуете в конкурсе";"1616589";"—"
"22";"1";"—";"248";"- 72 80 86 √";"10";"Участвуете в конкурсе";"1964350";"—"
"23";"2";"—";"247";"- 72 82 83 √";"10";"Участвуете в конкурсе";"1730643";"—"
"24";"3";"—";"245";"- 85 90 70 5";"—";"Участвуете в конкурсе";"1330860";"—"
"25";"1";"—";"243";"- 88 95 60 √";"—";"Участвуете в конкурсе";"1576460";"—"
"26";"2";"—";"236";"- 93 88 55";"—";"Участвуете в конкурсе";"1906103";"—"
"27";"2";"—";"235";"- 70 80 83";"2";"Участвуете в конкурсе";"1240436";"—"
"28";"4";"—";"234";"- 75 76 73";"10";"Участвуете в конкурсе";"1565839";"—"
"29";"4";"—";"233";"- 78 84 67 6";"4";"Участвуете в конкурсе";"1853137";"—"
"30";"1";"—";"233";"- 67 70 86 √";"10";"Участвуете в конкурсе";"1914533";"—"
"31";"4";"—";"227";"- 70 78 69";"10";"Участвуете в конкурсе";"1755983";"—"
"32";"1";"—";"221";"- 70 78 73";"—";"Участвуете в конкурсе";"1292542";"—"
"33";"1";"—";"220";"- 72 78 70";"—";"Участвуете в конкурсе";"1174925";"—"
"34";"3";"—";"219";"- 75 78 66";"—";"Участвуете в конкурсе";"1843465";"—"
"35";"5";"—";"217";"- 59 76 82 √";"—";"Участвуете в конкурсе";"1726196";"—"
"36";"2";"—";"216";"- 59 76 81 3";"—";"Участвуете в конкурсе";"999910";"—"
"37";"6";"—";"212";"- 75 64 73 √";"—";"Участвуете в конкурсе";"1354549";"—"
"38";"1";"—";"212";"- 70 82 60";"—";"Участвуете в конкурсе";"2056410";"—"
"39";"5";"—";"211";"- 80 80 51 √";"—";"Участвуете в конкурсе";"2287697";"—"
"40";"3";"Электронное";"207";"- 64 76 67 3";"—";"Участвуете в конкурсе";"1967889";"—"
"41";"5";"Электронное";"206";"- 64 70 70 1";"2";"Участвуете в конкурсе";"1234974";"—"
"42";"1";"Электронное";"204";"- 64 80 60 3";"—";"Участвуете в конкурсе";"1148946";"—"
"43";"1";"—";"204";"- 58 64 72 √";"10";"Участвуете в конкурсе";"2045465";"—"
"44";"5";"—";"202";"- 41 70 81";"10";"Участвуете в конкурсе";"2329653";"—"
"45";"1";"—";"201";"- 67 74 60 3";"—";"Участвуете в конкурсе";"1243692";"—"
"46";"1";"—";"200";"- 64 70 66";"—";"Участвуете в конкурсе";"2392516";"—"
"47";"2";"—";"200";"- 62 80 58";"—";"Участвуете в конкурсе";"2240116";"—"
"48";"2";"—";"197";"- 62 72 63";"—";"Участвуете в конкурсе";"1914421";"—"
"49";"5";"—";"192";"- 54 64 64 √";"10";"Участвуете в конкурсе";"1360272";"—"
"50";"2";"—";"188";"- 72 64 52 5";"—";"Участвуете в конкурсе";"2172474";"—"
"51";"3";"—";"187";"- 53 58 76 √";"—";"Участвуете в конкурсе";"1174600";"—"
"52";"5";"—";"183";"- 48 72 63";"—";"Участвуете в конкурсе";"1096130";"—"
"53";"3";"—";"177";"- 70 52 55";"—";"Участвуете в конкурсе";"1905406";"—"
"54";"1";"—";"175";"- 58 64 48 √";"5";"Участвуете в конкурсе";"2313871";"—"
"55";"1";"—";"174";"- 54 74 46";"—";"Участвуете в конкурсе";"1722046";"—"
"56";"5";"—";"171";"- 54 64 51";"2";"Участвуете в конкурсе";"1877499";"—"
"57";"2";"Электронное";"160";"- 66 52 42 3";"—";"Участвуете в конкурсе";"979971";"—"
"58";"3";"—";"158";"- 46 64 48";"—";"Участвуете в конкурсе";"2269202";"—"
"59";"3";"—";"158";"- 46 52 60 √";"—";"Участвуете в конкурсе";"2226847";"—"
"60";"7";"Электронное";"157";"- 54 52 51 1";"—";"Участвуете в конкурсе";"2220984";"—"
"61";"3";"—";"150";"- 59 46 45 √";"—";"Участвуете в конкурсе";"2242236";"—"
"62";"8";"—";"150";"- 40 40 70 √";"—";"Участвуете в конкурсе";"1512368";"—"
"63";"4";"Электронное";"148";"- 59 40 49";"—";"Участвуете в конкурсе";"2175564";"—"
"64";"3";"Электронное";"148";"- 42 40 66";"—";"Участвуете в конкурсе";"2094069";"—"
"65";"5";"—";"140";"- 46 46 48 √";"—";"Участвуете в конкурсе";"2255066";"—"
"66";"1";"—";"140";"- 40 40 60";"—";"Участвуете в конкурсе";"1402864";"—"
"67";"4";"—";"134";"- 46 40 48 √";"—";"Участвуете в конкурсе";"1796411";"—"
