"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"—";"—";"10";"- Без вступительных испытаний 10 Нет √";"4";"Участвуете в конкурсе";"1233645";"—"
"2";"—";"—";"7";"- Без вступительных испытаний 7 Нет √";"3";"Участвуете в конкурсе";"2231197";"—"
"3";"—";"—";"2";"- Без вступительных испытаний 2 Нет";"2";"Участвуете в конкурсе";"1850452";"—"
"4";"—";"—";"2";"- Без вступительных испытаний 2 Нет";"1";"Участвуете в конкурсе";"1949366";"—"
"5";"1";"—";"—";"- Без вступительных испытаний Да √";"2";"Участвуете в конкурсе";"1102912";"—"
"6";"—";"—";"—";"- Без вступительных испытаний Нет";"2";"Участвуете в конкурсе";"1244083";"—"
"7";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"1330264";"—"
"8";"1";"—";"—";"- Без вступительных испытаний Да √";"1";"Участвуете в конкурсе";"1349666";"—"
"9";"—";"—";"—";"- Без вступительных испытаний Нет √";"1";"Участвуете в конкурсе";"1579993";"—"
"10";"—";"—";"—";"- Без вступительных испытаний Нет √";"3";"Участвуете в конкурсе";"2250999";"—"
"11";"—";"—";"—";"- Без вступительных испытаний Нет √";"4";"Участвуете в конкурсе";"2254048";"—"
"12";"—";"—";"—";"- Без вступительных испытаний Нет";"2";"Участвуете в конкурсе";"2281945";"—"
"13";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"2308459";"—"
"14";"—";"—";"—";"- Без вступительных испытаний Нет";"3";"Участвуете в конкурсе";"2369083";"—"
"15";"3";"—";"—";"- Без вступительных испытаний Да";"2";"Участвуете в конкурсе";"959929";"—"
"16";"2";"—";"300";"- 100 90 100 1";"10";"Участвуете в конкурсе";"1618714";"—"
"17";"6";"Электронное";"300";"- 90 100 100 1";"10";"Участвуете в конкурсе";"1712794";"—"
"18";"1";"—";"287";"- 93 90 94 5";"10";"Участвуете в конкурсе";"1645061";"—"
"19";"7";"Электронное";"280";"- 86 100 84 5";"10";"Участвуете в конкурсе";"2226077";"—"
