"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"283";"- 90 100 83 1";"10";"Участвуете в конкурсе";"1755244";"—"
"2";"5";"Электронное";"282";"- 96 98 78 1";"10";"Участвуете в конкурсе";"2154272";"—"
"3";"3";"—";"278";"- 86 98 89 2";"5";"Участвуете в конкурсе";"2056217";"—"
"4";"4";"—";"272";"- 95 84 83 1";"10";"Участвуете в конкурсе";"2089577";"—"
"5";"3";"—";"268";"- 95 88 75 2";"10";"Участвуете в конкурсе";"1239868";"—"
"6";"3";"—";"267";"- 90 86 81 2";"10";"Участвуете в конкурсе";"1637109";"—"
"7";"2";"—";"258";"- 85 74 89 2";"10";"Участвуете в конкурсе";"1715288";"—"
"8";"4";"—";"257";"- 80 86 91 √";"—";"Участвуете в конкурсе";"1701936";"—"
"9";"4";"Электронное";"255";"- 84 64 97 1";"10";"Участвуете в конкурсе";"1826744";"—"
"10";"2";"—";"254";"- 85 78 81 √";"10";"Участвуете в конкурсе";"2165742";"—"
"11";"6";"—";"250";"- 88 86 66 √";"10";"Участвуете в конкурсе";"2248399";"—"
"12";"4";"—";"245";"- 85 90 70 5";"—";"Участвуете в конкурсе";"1330860";"—"
"13";"5";"Электронное";"244";"- 90 72 72 4";"10";"Участвуете в конкурсе";"1818645";"—"
"14";"3";"—";"243";"- 88 95 60 √";"—";"Участвуете в конкурсе";"1576460";"—"
"15";"5";"—";"243";"- 83 78 72";"10";"Участвуете в конкурсе";"1545455";"—"
"16";"2";"—";"235";"- 93 76 66 1";"—";"Участвуете в конкурсе";"1830803";"—"
"17";"2";"—";"235";"- 80 86 66 √";"3";"Участвуете в конкурсе";"1363497";"—"
"18";"1";"Электронное";"230";"- 78 80 70 2";"2";"Участвуете в конкурсе";"1651529";"—"
"19";"3";"—";"225";"- 72 78 75 4";"—";"Участвуете в конкурсе";"1444529";"—"
"20";"3";"—";"224";"- 80 72 72 1";"—";"Участвуете в конкурсе";"1212881";"—"
"21";"5";"—";"213";"- 78 74 57 1";"4";"Участвуете в конкурсе";"1521091";"—"
"22";"5";"—";"212";"- 75 64 73 √";"—";"Участвуете в конкурсе";"1354549";"—"
"23";"6";"—";"212";"- 70 82 60";"—";"Участвуете в конкурсе";"2056410";"—"
"24";"1";"—";"212";"- 64 84 64 √";"—";"Участвуете в конкурсе";"1855673";"—"
"25";"2";"—";"200";"- 64 70 66";"—";"Участвуете в конкурсе";"2392516";"—"
"26";"3";"—";"200";"- 62 80 58";"—";"Участвуете в конкурсе";"2240116";"—"
"27";"5";"—";"197";"- 78 64 55 2";"—";"Участвуете в конкурсе";"1896953";"—"
"28";"1";"—";"197";"- 62 72 63";"—";"Участвуете в конкурсе";"1914421";"—"
"29";"6";"—";"194";"- 68 74 52 √";"—";"Участвуете в конкурсе";"1316577";"—"
"30";"6";"—";"192";"- 54 64 64 √";"10";"Участвуете в конкурсе";"1360272";"—"
"31";"3";"—";"186";"- 46 80 58 √";"2";"Участвуете в конкурсе";"2258295";"—"
"32";"1";"—";"180";"- 64 58 58 √";"—";"Участвуете в конкурсе";"2011623";"—"
"33";"2";"—";"177";"- 70 52 55";"—";"Участвуете в конкурсе";"1905406";"—"
"34";"5";"Электронное";"160";"- 66 52 42 3";"—";"Участвуете в конкурсе";"979971";"—"
"35";"4";"—";"158";"- 46 64 48";"—";"Участвуете в конкурсе";"2269202";"—"
"36";"5";"—";"158";"- 46 52 60 √";"—";"Участвуете в конкурсе";"2226847";"—"
"37";"6";"Электронное";"157";"- 54 52 51 1";"—";"Участвуете в конкурсе";"2220984";"—"
"38";"3";"—";"134";"- 46 40 48 √";"—";"Участвуете в конкурсе";"1796411";"—"
