"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"Электронное";"310";"49095 100 100 100 1";"10";"Участвуете в конкурсе";"1602754";"—"
"2";"3";"Электронное";"310";"49777 100 100 100 1";"10";"Участвуете в конкурсе";"1603413";"—"
"3";"2";"Электронное";"308";"46118 100 100 98 1";"10";"Участвуете в конкурсе";"1102658";"—"
"4";"4";"—";"308";"51550 98 100 100 1";"10";"Участвуете в конкурсе";"1798242";"—"
"5";"1";"Электронное";"308";"45605 98 100 100 1";"10";"Участвуете в конкурсе";"992824";"—"
"6";"2";"—";"307";"52847 100 100 100 1";"7";"Участвуете в конкурсе";"1653569";"—"
"7";"5";"Электронное";"306";"59240 100 96 100 2";"10";"Участвуете в конкурсе";"2384191";"—"
"8";"6";"—";"306";"56170 96 100 100 1";"10";"Участвуете в конкурсе";"1746830";"—"
"9";"1";"—";"303";"49493 94 100 99 1";"10";"Участвуете в конкурсе";"1581706";"—"
"10";"2";"Электронное";"302";"46467 100 100 92 1";"10";"Участвуете в конкурсе";"1172282";"—"
"11";"5";"Электронное";"302";"45856 98 100 94 1";"10";"Участвуете в конкурсе";"1055505";"—"
"12";"2";"—";"302";"47313 98 100 94 1";"10";"Участвуете в конкурсе";"1314952";"—"
"13";"3";"—";"302";"43076 98 100 94 1";"10";"Участвуете в конкурсе";"1960655";"—"
"14";"2";"Электронное";"302";"48508 96 100 96 1";"10";"Участвуете в конкурсе";"1471709";"—"
"15";"6";"—";"301";"51007 100 100 91 1";"10";"Участвуете в конкурсе";"1723490";"—"
"16";"5";"—";"300";"53126 100 90 100 1";"10";"Участвуете в конкурсе";"1618714";"—"
"17";"6";"—";"300";"46588 98 100 92 2";"10";"Участвуете в конкурсе";"1180515";"—"
"18";"5";"—";"300";"54334 98 98 94 2";"10";"Участвуете в конкурсе";"2072544";"—"
"19";"6";"—";"299";"55181 100 92 97 4";"10";"Участвуете в конкурсе";"1046128";"—"
"20";"6";"—";"299";"53128 95 97 97 2";"10";"Участвуете в конкурсе";"1563294";"—"
"21";"6";"Электронное";"299";"45295 90 100 99 2";"10";"Участвуете в конкурсе";"954532";"—"
"22";"2";"—";"298";"53771 95 96 97 1";"10";"Участвуете в конкурсе";"2033767";"—"
"23";"7";"—";"297";"60332 98 100 89 4";"10";"Участвуете в конкурсе";"2239457";"—"
"24";"3";"Электронное";"296";"49166 98 100 98 3";"—";"Участвуете в конкурсе";"1558132";"—"
"25";"7";"Электронное";"296";"52804 96 100 100 11";"—";"Участвуете в конкурсе";"1739395";"—"
"26";"3";"—";"296";"53268 100 97 89 3";"10";"Участвуете в конкурсе";"1258073";"—"
"27";"5";"Электронное";"296";"55432 100 92 94 1";"10";"Участвуете в конкурсе";"1185233";"—"
"28";"4";"Электронное";"296";"57827 98 94 94 1";"10";"Участвуете в конкурсе";"2245428";"—"
"29";"2";"Электронное";"296";"45616 96 100 90 2";"10";"Участвуете в конкурсе";"983173";"—"
"30";"4";"Электронное";"296";"52255 88 100 98 3";"10";"Участвуете в конкурсе";"1860959";"—"
"31";"7";"Электронное";"295";"54434 100 100 85 2";"10";"Участвуете в конкурсе";"2086031";"—"
"32";"4";"—";"295";"59887 88 100 97 4";"10";"Участвуете в конкурсе";"2248403";"—"
"33";"3";"Электронное";"294";"49544 96 100 98 1";"—";"Участвуете в конкурсе";"1587217";"—"
"34";"2";"Электронное";"294";"45485 96 100 95 2";"3";"Участвуете в конкурсе";"955932";"—"
"35";"7";"—";"294";"51911 100 95 89 4";"10";"Участвуете в конкурсе";"1197121";"—"
"36";"2";"—";"294";"54129 100 95 89 2";"10";"Участвуете в конкурсе";"1945388";"—"
"37";"1";"Электронное";"294";"52779 98 100 86 1";"10";"Участвуете в конкурсе";"1947485";"—"
"38";"4";"Электронное";"294";"50721 96 100 88 1";"10";"Участвуете в конкурсе";"1608221";"—"
"39";"6";"—";"294";"57946 94 99 91 6";"10";"Участвуете в конкурсе";"2217216";"—"
"40";"5";"—";"294";"59131 93 100 91 5";"10";"Участвуете в конкурсе";"1714180";"—"
"41";"3";"—";"294";"52280 84 100 100 2";"10";"Участвуете в конкурсе";"1721857";"—"
"42";"5";"—";"293";"52470 98 94 91 5";"10";"Участвуете в конкурсе";"1289446";"—"
"43";"7";"—";"293";"50918 96 96 91 7";"10";"Участвуете в конкурсе";"1184749";"—"
"44";"4";"—";"293";"60102 95 94 94 4";"10";"Участвуете в конкурсе";"1433398";"—"
"45";"5";"—";"293";"48792 95 94 94 5";"10";"Участвуете в конкурсе";"1514243";"—"
"46";"9";"Электронное";"293";"46463 94 100 89 3";"10";"Участвуете в конкурсе";"1123141";"—"
"47";"6";"—";"293";"53348 94 95 94 5";"10";"Участвуете в конкурсе";"1988845";"—"
"48";"6";"—";"292";"52568 96 100 96 3";"—";"Участвуете в конкурсе";"1883301";"—"
"49";"6";"—";"292";"55677 95 95 100";"2";"Участвуете в конкурсе";"1375485";"—"
"50";"1";"Электронное";"292";"52363 96 100 93 3";"3";"Участвуете в конкурсе";"1898857";"—"
"51";"3";"—";"292";"52501 98 100 84 8";"10";"Участвуете в конкурсе";"1743218";"—"
"52";"1";"Электронное";"292";"45989 98 90 94 1";"10";"Участвуете в конкурсе";"1072251";"—"
"53";"2";"—";"292";"53882 96 100 86";"10";"Участвуете в конкурсе";"1611457";"—"
"54";"1";"—";"292";"51233 96 100 86";"10";"Участвуете в конкурсе";"1780850";"—"
"55";"8";"—";"292";"53025 92 96 94 √";"10";"Участвуете в конкурсе";"1323249";"—"
"56";"2";"Электронное";"292";"49852 90 100 92 2";"10";"Участвуете в конкурсе";"1604365";"—"
"57";"3";"Электронное";"292";"55860 86 100 96 1";"10";"Участвуете в конкурсе";"1742024";"—"
"58";"5";"Электронное";"291";"50314 92 100 99 2";"—";"Участвуете в конкурсе";"1687538";"—"
"59";"1";"—";"291";"50783 92 100 99";"—";"Участвуете в конкурсе";"1728141";"—"
