"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"Электронное";"294";"- 96 100 88 1";"10";"Участвуете в конкурсе";"1608221";"—"
"2";"4";"—";"275";"- 93 86 94 1";"2";"Участвуете в конкурсе";"1212942";"—"
"3";"2";"Электронное";"274";"- 82 100 82 1";"10";"Участвуете в конкурсе";"973635";"—"
"4";"2";"Электронное";"273";"- 85 92 94 1";"2";"Участвуете в конкурсе";"2366823";"—"
"5";"4";"—";"272";"- 93 80 89 2";"10";"Участвуете в конкурсе";"1180587";"—"
"6";"4";"—";"270";"- 88 94 78 1";"10";"Участвуете в конкурсе";"1909639";"—"
"7";"7";"Электронное";"267";"- 88 100 79 1";"—";"Участвуете в конкурсе";"974091";"—"
"8";"3";"Электронное";"267";"- 84 80 93 1";"10";"Участвуете в конкурсе";"1125254";"—"
"9";"7";"Электронное";"266";"- 92 100 74 2";"—";"Участвуете в конкурсе";"972884";"—"
"10";"5";"—";"266";"- 88 90 78 1";"10";"Участвуете в конкурсе";"1441421";"—"
"11";"5";"Электронное";"254";"- 75 86 83 5";"10";"Участвуете в конкурсе";"1256701";"—"
"12";"1";"Электронное";"250";"- 60 100 90 1";"—";"Участвуете в конкурсе";"1122355";"—"
"13";"4";"—";"248";"- 86 90 72";"—";"Участвуете в конкурсе";"1656307";"—"
"14";"4";"—";"239";"- 78 90 71";"—";"Участвуете в конкурсе";"1780516";"—"
"15";"6";"—";"237";"- 70 74 83 √";"10";"Участвуете в конкурсе";"1988237";"—"
"16";"3";"—";"235";"- 70 80 83";"2";"Участвуете в конкурсе";"1240436";"—"
"17";"5";"—";"233";"- 78 84 67 6";"4";"Участвуете в конкурсе";"1853137";"—"
"18";"2";"Электронное";"232";"- 84 50 88 2";"10";"Участвуете в конкурсе";"1132596";"—"
"19";"3";"—";"225";"- 75 80 70";"—";"Участвуете в конкурсе";"1867810";"—"
"20";"5";"—";"224";"- 80 72 72 1";"—";"Участвуете в конкурсе";"1212881";"—"
"21";"8";"Электронное";"223";"- 80 72 69 4";"2";"Участвуете в конкурсе";"1646532";"—"
"22";"4";"—";"222";"- 80 76 66 1";"—";"Участвуете в конкурсе";"1772505";"—"
"23";"6";"—";"221";"- 75 80 66 5";"—";"Участвуете в конкурсе";"1176243";"—"
"24";"4";"—";"219";"- 83 70 66 8";"—";"Участвуете в конкурсе";"1406320";"—"
"25";"7";"—";"216";"- 59 76 81 3";"—";"Участвуете в конкурсе";"999910";"—"
