"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"—";"—";"5";"- Без вступительных испытаний 5 Нет √";"1";"Участвуете в конкурсе";"1427501";"—"
"2";"—";"—";"3";"- Без вступительных испытаний 3 Нет √";"8";"Участвуете в конкурсе";"1624426";"—"
"3";"—";"—";"2";"- Без вступительных испытаний 2 Нет √";"4";"Участвуете в конкурсе";"1088490";"—"
"4";"1";"—";"2";"- Без вступительных испытаний 2 Да";"4";"Участвуете в конкурсе";"1275636";"—"
"5";"—";"—";"2";"- Без вступительных испытаний 2 Нет";"5";"Участвуете в конкурсе";"1949366";"—"
"6";"—";"—";"—";"- Без вступительных испытаний Нет √";"6";"Участвуете в конкурсе";"1266478";"—"
"7";"—";"—";"—";"- Без вступительных испытаний Нет";"3";"Участвуете в конкурсе";"1330264";"—"
"8";"—";"—";"—";"- Без вступительных испытаний Нет √";"1";"Участвуете в конкурсе";"1478576";"—"
"9";"—";"—";"—";"- Без вступительных испытаний Нет";"3";"Участвуете в конкурсе";"1706924";"—"
"10";"—";"—";"—";"- Без вступительных испытаний Нет √";"6";"Участвуете в конкурсе";"1850407";"—"
"11";"—";"—";"—";"- Без вступительных испытаний Нет √";"6";"Участвуете в конкурсе";"2254048";"—"
"12";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"963047";"—"
"13";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"966581";"—"
"14";"1";"—";"—";"- Без вступительных испытаний Да √";"1";"Участвуете в конкурсе";"967740";"—"
"15";"—";"—";"—";"- Без вступительных испытаний Нет";"3";"Участвуете в конкурсе";"976533";"—"
"16";"—";"—";"—";"- Без вступительных испытаний Нет √";"6";"Участвуете в конкурсе";"995802";"—"
"17";"5";"—";"300";"- 100 90 100 1";"10";"Участвуете в конкурсе";"1618714";"—"
"18";"4";"—";"284";"- 92 90 92";"10";"Участвуете в конкурсе";"1622365";"—"
"19";"2";"Электронное";"280";"- 86 100 84 5";"10";"Участвуете в конкурсе";"2226077";"—"
"20";"6";"—";"276";"- 90 90 94";"2";"Участвуете в конкурсе";"1510388";"—"
"21";"4";"—";"275";"- 85 94 86 √";"10";"Участвуете в конкурсе";"1792503";"—"
"22";"5";"—";"274";"- 100 80 94 √";"—";"Участвуете в конкурсе";"1549327";"—"
