"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"Электронное";"306";"- 98 100 98 1";"10";"Участвуете в конкурсе";"1998604";"—"
"2";"1";"—";"300";"- 100 100 100 1";"—";"Участвуете в конкурсе";"1569590";"—"
"3";"1";"Электронное";"299";"- 90 100 99 1";"10";"Участвуете в конкурсе";"1447633";"—"
"4";"2";"Электронное";"294";"- 96 100 88 1";"10";"Участвуете в конкурсе";"1608221";"—"
"5";"4";"Электронное";"278";"- 93 97 78 1";"10";"Участвуете в конкурсе";"2216332";"—"
"6";"2";"—";"275";"- 93 86 94 1";"2";"Участвуете в конкурсе";"1212942";"—"
"7";"1";"—";"275";"- 98 86 81 1";"10";"Участвуете в конкурсе";"2021531";"—"
"8";"3";"—";"274";"- 93 90 81 1";"10";"Участвуете в конкурсе";"1518166";"—"
"9";"1";"Электронное";"273";"- 85 92 94 1";"2";"Участвуете в конкурсе";"2366823";"—"
"10";"1";"—";"272";"- 95 84 83 1";"10";"Участвуете в конкурсе";"2089577";"—"
"11";"2";"—";"272";"- 93 80 89 2";"10";"Участвуете в конкурсе";"1180587";"—"
"12";"1";"—";"270";"- 88 94 78 1";"10";"Участвуете в конкурсе";"1909639";"—"
"13";"4";"—";"268";"- 95 88 75 2";"10";"Участвуете в конкурсе";"1239868";"—"
"14";"1";"Электронное";"266";"- 92 100 74 2";"—";"Участвуете в конкурсе";"972884";"—"
"15";"3";"—";"266";"- 90 88 86 4";"2";"Участвуете в конкурсе";"1982250";"—"
"16";"7";"—";"266";"- 88 90 78 1";"10";"Участвуете в конкурсе";"1441421";"—"
"17";"1";"—";"263";"- 84 80 89 3";"10";"Участвуете в конкурсе";"1375530";"—"
"18";"1";"—";"261";"- 94 92 75 √";"—";"Участвуете в конкурсе";"1641405";"—"
"19";"2";"—";"260";"- 90 82 78 1";"10";"Участвуете в конкурсе";"1717236";"—"
"20";"1";"—";"258";"- 85 74 89 2";"10";"Участвуете в конкурсе";"1715288";"—"
"21";"1";"—";"258";"- 78 84 86 3";"10";"Участвуете в конкурсе";"2002995";"—"
"22";"2";"—";"257";"- 80 86 91 √";"—";"Участвуете в конкурсе";"1701936";"—"
"23";"1";"Электронное";"255";"- 84 64 97 1";"10";"Участвуете в конкурсе";"1826744";"—"
"24";"1";"—";"254";"- 85 78 81 √";"10";"Участвуете в конкурсе";"2165742";"—"
"25";"3";"Электронное";"254";"- 75 86 83 5";"10";"Участвуете в конкурсе";"1256701";"—"
"26";"6";"Электронное";"252";"- 88 100 62 1";"2";"Участвуете в конкурсе";"1181935";"—"
"27";"5";"—";"252";"- 96 90 63 3";"3";"Участвуете в конкурсе";"1418271";"—"
"28";"1";"—";"250";"- 88 86 66 √";"10";"Участвуете в конкурсе";"2248399";"—"
"29";"2";"—";"249";"- 83 88 78";"—";"Участвуете в конкурсе";"1616589";"—"
