"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"10";"- Без вступительных испытаний 10 Да";"1";"Участвуете в конкурсе";"1773182";"—"
"2";"—";"—";"—";"- Без вступительных испытаний Нет";"2";"Участвуете в конкурсе";"1465542";"—"
"3";"—";"—";"—";"- Без вступительных испытаний Нет";"3";"Участвуете в конкурсе";"2273003";"—"
"4";"—";"—";"10";"- Без вступительных испытаний 10 Нет √";"3";"Участвуете в конкурсе";"1768709";"—"
"5";"—";"—";"10";"- Без вступительных испытаний 10 Нет";"1";"Участвуете в конкурсе";"1826994";"—"
"6";"—";"—";"10";"- Без вступительных испытаний 10 Нет √";"2";"Участвуете в конкурсе";"1891692";"—"
"7";"—";"—";"10";"- Без вступительных испытаний 10 Нет √";"1";"Участвуете в конкурсе";"2043043";"—"
"8";"—";"—";"7";"- Без вступительных испытаний 7 Нет √";"4";"Участвуете в конкурсе";"2231197";"—"
"9";"—";"—";"5";"- Без вступительных испытаний 5 Нет √";"3";"Участвуете в конкурсе";"1427501";"—"
"10";"—";"—";"3";"- Без вступительных испытаний 3 Нет √";"1";"Участвуете в конкурсе";"1624426";"—"
"11";"—";"—";"2";"- Без вступительных испытаний 2 Нет √";"3";"Участвуете в конкурсе";"1088490";"—"
"12";"—";"—";"2";"- Без вступительных испытаний 2 Нет √";"1";"Участвуете в конкурсе";"1130423";"—"
"13";"1";"—";"2";"- Без вступительных испытаний 2 Да";"1";"Участвуете в конкурсе";"1413677";"—"
"14";"—";"—";"2";"- Без вступительных испытаний 2 Нет √";"2";"Участвуете в конкурсе";"1688419";"—"
"15";"—";"—";"2";"- Без вступительных испытаний 2 Нет √";"2";"Участвуете в конкурсе";"1771361";"—"
"16";"—";"—";"2";"- Без вступительных испытаний 2 Нет";"3";"Участвуете в конкурсе";"1850452";"—"
"17";"—";"—";"2";"- Без вступительных испытаний 2 Нет";"4";"Участвуете в конкурсе";"1949366";"—"
"18";"—";"—";"2";"- Без вступительных испытаний 2 Нет";"2";"Участвуете в конкурсе";"1980402";"—"
