"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"Электронное";"286";"- 90 100 86 1";"10";"Участвуете в конкурсе";"1758462";"—"
"2";"6";"—";"280";"- 82 100 96 1";"2";"Участвуете в конкурсе";"1652065";"—"
"3";"1";"Электронное";"276";"- 90 100 86 1";"—";"Участвуете в конкурсе";"1795825";"—"
"4";"1";"Электронное";"274";"- 82 100 82 1";"10";"Участвуете в конкурсе";"973635";"—"
"5";"1";"—";"272";"- 92 76 94";"10";"Участвуете в конкурсе";"1426501";"—"
"6";"2";"Электронное";"267";"- 84 80 93 1";"10";"Участвуете в конкурсе";"1125254";"—"
"7";"8";"Электронное";"266";"- 92 100 74 2";"—";"Участвуете в конкурсе";"972884";"—"
"8";"1";"Электронное";"266";"- 85 82 89";"10";"Участвуете в конкурсе";"1721042";"—"
"9";"1";"—";"258";"- 88 70 90";"10";"Участвуете в конкурсе";"954424";"—"
"10";"7";"Электронное";"252";"- 88 100 62 1";"2";"Участвуете в конкурсе";"1181935";"—"
"11";"2";"Электронное";"250";"- 60 100 90 1";"—";"Участвуете в конкурсе";"1122355";"—"
"12";"2";"Электронное";"248";"- 92 70 76";"10";"Участвуете в конкурсе";"1098493";"—"
"13";"1";"—";"241";"- 88 80 73";"—";"Участвуете в конкурсе";"2384232";"—"
"14";"7";"—";"237";"- 70 74 83 √";"10";"Участвуете в конкурсе";"1988237";"—"
"15";"1";"Электронное";"232";"- 84 50 88 2";"10";"Участвуете в конкурсе";"1132596";"—"
"16";"2";"Электронное";"230";"- 76 70 74";"10";"Участвуете в конкурсе";"1018060";"—"
"17";"3";"Электронное";"229";"- 98 82 49 1";"—";"Участвуете в конкурсе";"2260862";"—"
"18";"1";"—";"229";"- 82 90 47";"10";"Участвуете в конкурсе";"957020";"—"
"19";"1";"—";"228";"- 75 66 87";"—";"Участвуете в конкурсе";"2140981";"—"
"20";"1";"Электронное";"227";"- 78 80 69";"—";"Участвуете в конкурсе";"2292895";"—"
"21";"5";"—";"225";"- 72 78 75 4";"—";"Участвуете в конкурсе";"1444529";"—"
"22";"2";"Электронное";"223";"- 80 72 69 4";"2";"Участвуете в конкурсе";"1646532";"—"
"23";"10";"—";"222";"- 80 76 66 1";"—";"Участвуете в конкурсе";"1772505";"—"
"24";"6";"—";"219";"- 83 70 66 8";"—";"Участвуете в конкурсе";"1406320";"—"
"25";"5";"—";"216";"- 59 76 81 3";"—";"Участвуете в конкурсе";"999910";"—"
"26";"5";"—";"212";"- 70 82 60";"—";"Участвуете в конкурсе";"2056410";"—"
"27";"8";"—";"212";"- 64 84 64 √";"—";"Участвуете в конкурсе";"1855673";"—"
"28";"2";"Электронное";"209";"- 62 80 67";"—";"Участвуете в конкурсе";"1106809";"—"
"29";"1";"Электронное";"208";"- 71 58 69";"10";"Участвуете в конкурсе";"1324979";"—"
"30";"4";"Электронное";"204";"- 64 80 60 3";"—";"Участвуете в конкурсе";"1148946";"—"
"31";"7";"—";"204";"- 58 64 72 √";"10";"Участвуете в конкурсе";"2045465";"—"
"32";"6";"—";"202";"- 83 58 61 √";"—";"Участвуете в конкурсе";"1728835";"—"
"33";"6";"—";"200";"- 64 70 66";"—";"Участвуете в конкурсе";"2392516";"—"
"34";"1";"Электронное";"199";"- 78 70 51";"—";"Участвуете в конкурсе";"957918";"—"
"35";"1";"—";"197";"- 64 64 69";"—";"Участвуете в конкурсе";"1751837";"—"
"36";"2";"—";"196";"- 54 78 64";"—";"Участвуете в конкурсе";"1005342";"—"
"37";"1";"—";"195";"- 70 64 61 8";"—";"Участвуете в конкурсе";"2012378";"—"
"38";"3";"—";"194";"- 68 74 52 √";"—";"Участвуете в конкурсе";"1316577";"—"
"39";"1";"—";"192";"- 67 58 67";"—";"Участвуете в конкурсе";"2140448";"—"
"40";"5";"—";"189";"- 70 70 49 7";"—";"Участвуете в конкурсе";"1198072";"—"
"41";"3";"—";"181";"- 54 58 69 √";"—";"Участвуете в конкурсе";"1798024";"—"
"42";"3";"—";"180";"- 64 58 58 √";"—";"Участвуете в конкурсе";"2011623";"—"
"43";"1";"Электронное";"180";"- 59 70 51";"—";"Участвуете в конкурсе";"1429651";"—"
"44";"1";"—";"180";"- 56 64 60";"—";"Участвуете в конкурсе";"1619079";"—"
"45";"1";"—";"179";"- 59 64 56";"—";"Участвуете в конкурсе";"1964755";"—"
"46";"1";"—";"166";"- 43 64 57 √";"2";"Участвуете в конкурсе";"2261283";"—"
"47";"10";"—";"163";"- 56 52 55";"—";"Участвуете в конкурсе";"2096709";"—"
"48";"1";"—";"150";"- 40 40 70 √";"—";"Участвуете в конкурсе";"1512368";"—"
"49";"8";"Электронное";"147";"- 46 46 52 4";"3";"Участвуете в конкурсе";"1761346";"—"
"50";"5";"Электронное";"144";"- 46 52 46 1";"—";"Участвуете в конкурсе";"2081952";"—"
"51";"2";"—";"138";"- 46 46 46";"—";"Участвуете в конкурсе";"2072169";"—"
