"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"—";"—";"10";"- Без вступительных испытаний 10 Нет";"2";"Участвуете в конкурсе";"1164798";"—"
"2";"—";"—";"10";"- Без вступительных испытаний 10 Нет";"3";"Участвуете в конкурсе";"937971";"—"
"3";"1";"—";"10";"- Без вступительных испытаний 10 Да";"1";"Участвуете в конкурсе";"995176";"—"
"4";"1";"—";"2";"- Без вступительных испытаний 2 Да";"1";"Участвуете в конкурсе";"1275636";"—"
"5";"—";"—";"2";"- Без вступительных испытаний 2 Да";"1";"Участвуете в конкурсе";"1611688";"—"
"6";"—";"—";"2";"- Без вступительных испытаний 2 Нет";"1";"Участвуете в конкурсе";"2012449";"—"
"7";"—";"—";"—";"- Без вступительных испытаний Нет √";"1";"Участвуете в конкурсе";"1266478";"—"
"8";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"1486909";"—"
"9";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"1540955";"—"
"10";"—";"—";"—";"- Без вступительных испытаний Нет √";"3";"Участвуете в конкурсе";"1592442";"—"
"11";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"1808885";"—"
"12";"—";"—";"—";"- Без вступительных испытаний Нет √";"4";"Участвуете в конкурсе";"1850407";"—"
"13";"—";"—";"—";"- Без вступительных испытаний Нет";"2";"Участвуете в конкурсе";"1882664";"—"
"14";"—";"—";"—";"- Без вступительных испытаний Нет";"3";"Участвуете в конкурсе";"2090706";"—"
"15";"—";"—";"—";"- Без вступительных испытаний Нет";"2";"Участвуете в конкурсе";"2217337";"—"
"16";"—";"—";"—";"- Без вступительных испытаний Нет √";"7";"Участвуете в конкурсе";"2254048";"—"
"17";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"2326945";"—"
"18";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"2335648";"—"
"19";"—";"—";"—";"- Без вступительных испытаний Нет";"1";"Участвуете в конкурсе";"2392021";"—"
"20";"—";"—";"—";"- Без вступительных испытаний Нет √";"1";"Участвуете в конкурсе";"2397199";"—"
"21";"—";"—";"—";"- Без вступительных испытаний Нет";"4";"Участвуете в конкурсе";"966581";"—"
"22";"1";"—";"—";"- Без вступительных испытаний Да √";"2";"Участвуете в конкурсе";"967740";"—"
"23";"—";"—";"—";"- Без вступительных испытаний Нет";"2";"Участвуете в конкурсе";"976533";"—"
"24";"—";"—";"—";"- Без вступительных испытаний Нет";"2";"Участвуете в конкурсе";"985042";"—"
"25";"—";"—";"—";"- Без вступительных испытаний Нет √";"7";"Участвуете в конкурсе";"995802";"—"
"26";"1";"Электронное";"304";"- 100 100 94 1";"10";"Участвуете в конкурсе";"1469884";"—"
"27";"4";"—";"293";"- 96 96 91 7";"10";"Участвуете в конкурсе";"1184749";"—"
"28";"2";"—";"291";"- 92 100 89";"10";"Участвуете в конкурсе";"1695438";"—"
"29";"3";"Электронное";"287";"- 94 90 93 5";"10";"Участвуете в конкурсе";"964483";"—"
"30";"2";"Электронное";"286";"- 90 100 86 1";"10";"Участвуете в конкурсе";"1758462";"—"
"31";"3";"—";"280";"- 94 82 94";"10";"Участвуете в конкурсе";"1147630";"—"
"32";"3";"Электронное";"280";"- 86 100 84 5";"10";"Участвуете в конкурсе";"2226077";"—"
"33";"3";"—";"276";"- 90 90 94";"2";"Участвуете в конкурсе";"1510388";"—"
"34";"8";"—";"275";"- 85 94 86 √";"10";"Участвуете в конкурсе";"1792503";"—"
"35";"2";"Электронное";"267";"- 84 80 93 1";"10";"Участвуете в конкурсе";"1125254";"—"
"36";"3";"—";"266";"- 80 82 94 √";"10";"Участвуете в конкурсе";"2197520";"—"
"37";"6";"—";"263";"- 98 84 81 2";"—";"Участвуете в конкурсе";"1481088";"—"
"38";"2";"—";"263";"- 76 90 87 5";"10";"Участвуете в конкурсе";"1008001";"—"
"39";"1";"—";"261";"- 90 90 81";"—";"Участвуете в конкурсе";"2042424";"—"
"40";"6";"—";"261";"- 78 92 89 √";"2";"Участвуете в конкурсе";"1856516";"—"
"41";"1";"—";"258";"- 88 70 90";"10";"Участвуете в конкурсе";"954424";"—"
"42";"8";"—";"257";"- 95 95 67";"—";"Участвуете в конкурсе";"1192837";"—"
"43";"1";"—";"253";"- 80 100 73";"—";"Участвуете в конкурсе";"980171";"—"
"44";"4";"—";"251";"- 90 86 75 √";"—";"Участвуете в конкурсе";"1443682";"—"
"45";"4";"—";"251";"- 86 80 85";"—";"Участвуете в конкурсе";"2252598";"—"
"46";"2";"Электронное";"250";"- 60 100 90 1";"—";"Участвуете в конкурсе";"1122355";"—"
"47";"5";"—";"250";"- 83 82 75";"10";"Участвуете в конкурсе";"984407";"—"
"48";"1";"—";"249";"- 70 86 83";"10";"Участвуете в конкурсе";"1517501";"—"
"49";"1";"Электронное";"248";"- 86 100 62";"—";"Участвуете в конкурсе";"1683089";"—"
"50";"2";"Электронное";"248";"- 92 70 76";"10";"Участвуете в конкурсе";"1098493";"—"
"51";"1";"—";"243";"- 80 78 85";"—";"Участвуете в конкурсе";"1677767";"—"
"52";"1";"—";"239";"- 68 82 89";"—";"Участвуете в конкурсе";"1044947";"—"
"53";"1";"—";"239";"- 84 76 69 √";"10";"Участвуете в конкурсе";"2238359";"—"
"54";"3";"—";"238";"- 70 90 78";"—";"Участвуете в конкурсе";"1470347";"—"
"55";"5";"—";"237";"- 88 80 69";"—";"Участвуете в конкурсе";"964851";"—"
"56";"5";"—";"236";"- 78 78 70 √";"10";"Участвуете в конкурсе";"2182479";"—"
"57";"1";"—";"232";"- 90 70 72";"—";"Участвуете в конкурсе";"1519261";"—"
"58";"2";"Электронное";"230";"- 76 70 74";"10";"Участвуете в конкурсе";"1018060";"—"
"59";"2";"Электронное";"229";"- 78 90 61";"—";"Участвуете в конкурсе";"2091221";"—"
"60";"1";"—";"229";"- 77 82 70";"—";"Участвуете в конкурсе";"1438950";"—"
"61";"1";"—";"229";"- 82 90 47";"10";"Участвуете в конкурсе";"957020";"—"
"62";"8";"—";"228";"- 68 78 72 √";"10";"Участвуете в конкурсе";"2101816";"—"
"63";"7";"—";"226";"- 57 70 89 √";"10";"Участвуете в конкурсе";"988639";"—"
"64";"6";"—";"224";"- 77 72 73 √";"2";"Участвуете в конкурсе";"1894096";"—"
"65";"10";"Электронное";"217";"- 88 74 55 1";"—";"Участвуете в конкурсе";"1091278";"—"
"66";"1";"—";"217";"- 62 100 45 √";"10";"Участвуете в конкурсе";"1184600";"—"
"67";"10";"—";"212";"- 72 74 66";"—";"Участвуете в конкурсе";"1399974";"—"
"68";"2";"Электронное";"209";"- 62 80 67";"—";"Участвуете в конкурсе";"1106809";"—"
"69";"1";"Электронное";"208";"- 51 80 67 √";"10";"Участвуете в конкурсе";"1618991";"—"
"70";"4";"—";"207";"- 62 82 63 √";"—";"Участвуете в конкурсе";"2345208";"—"
"71";"1";"—";"206";"- 65 74 67";"—";"Участвуете в конкурсе";"2414286";"—"
"72";"1";"—";"205";"- 67 70 66 √";"2";"Участвуете в конкурсе";"1511223";"—"
"73";"8";"—";"203";"- 83 72 46 √";"2";"Участвуете в конкурсе";"1909511";"—"
"74";"7";"—";"202";"- 72 70 60 √";"—";"Участвуете в конкурсе";"2131773";"—"
"75";"3";"—";"194";"- 62 72 55";"5";"Участвуете в конкурсе";"978586";"—"
"76";"1";"—";"192";"- 67 58 67";"—";"Участвуете в конкурсе";"2140448";"—"
"77";"4";"Электронное";"186";"- 48 80 58 √";"—";"Участвуете в конкурсе";"2255921";"—"
"78";"3";"Электронное";"186";"- 48 72 64";"2";"Участвуете в конкурсе";"1829226";"—"
"79";"4";"—";"185";"- 46 72 67";"—";"Участвуете в конкурсе";"2268177";"—"
"80";"1";"—";"182";"- 61 64 57";"—";"Участвуете в конкурсе";"2270311";"—"
"81";"1";"—";"181";"- 46 80 55";"—";"Участвуете в конкурсе";"998037";"—"
"82";"7";"—";"176";"- 54 70 52";"—";"Участвуете в конкурсе";"2229058";"—"
"83";"7";"—";"174";"- 64 64 46 √";"—";"Участвуете в конкурсе";"1642251";"—"
"84";"1";"Электронное";"170";"- 43 58 69";"—";"Участвуете в конкурсе";"2416569";"—"
"85";"6";"—";"164";"- 54 46 64";"—";"Участвуете в конкурсе";"2215584";"—"
"86";"3";"—";"157";"- 53 52 52 √";"—";"Участвуете в конкурсе";"1269871";"—"
"87";"2";"—";"156";"- 44 70 42 √";"—";"Участвуете в конкурсе";"2052251";"—"
"88";"7";"—";"150";"- 43 52 55 √";"—";"Участвуете в конкурсе";"2249587";"—"
"89";"1";"—";"150";"- 40 40 70 √";"—";"Участвуете в конкурсе";"1512368";"—"
