"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"252";"59957 78 86 86 1";"2";"Участвуете в конкурсе";"2005170";"—"
"2";"2";"Электронное";"234";"57542 77 88 69 2";"—";"Участвуете в конкурсе";"2307140";"—"
"3";"1";"Электронное";"231";"46761 80 76 75 279607";"—";"Участвуете в конкурсе";"1188066";"—"
"4";"1";"—";"231";"47031 72 90 64 279607";"5";"Участвуете в конкурсе";"1287429";"—"
"5";"2";"Электронное";"224";"51924 75 80 67 279607";"2";"Участвуете в конкурсе";"1846540";"—"
"6";"1";"—";"217";"60146 72 74 69 279607";"2";"Участвуете в конкурсе";"1521625";"—"
"7";"1";"—";"214";"48237 77 76 61 279607";"—";"Участвуете в конкурсе";"1464032";"—"
"8";"3";"Электронное";"211";"47675 78 76 55 √";"2";"Участвуете в конкурсе";"1250908";"—"
"9";"3";"—";"205";"52640 65 70 70 √";"—";"Участвуете в конкурсе";"1915584";"—"
"10";"1";"Электронное";"199";"57545 70 58 61 √";"10";"Участвуете в конкурсе";"2314855";"—"
"11";"10";"—";"193";"60018 78 52 63 279607";"—";"Участвуете в конкурсе";"1624889";"—"
"12";"1";"—";"175";"54394 54 70 51 279607";"—";"Участвуете в конкурсе";"1626045";"—"
"13";"1";"—";"163";"58838 40 58 63 √";"2";"Участвуете в конкурсе";"2390827";"—"
"14";"2";"—";"159";"47351 56 52 51 √";"—";"Участвуете в конкурсе";"1284746";"—"
"15";"1";"—";"140";"57185 43 40 57 279607";"—";"Участвуете в конкурсе";"1340134";"—"
