"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"306";"56170 96 100 100 Нет";"10";"Участвуете в конкурсе";"1746830";"—"
"2";"3";"—";"306";"55221 98 100 98 Нет";"10";"Участвуете в конкурсе";"1998604";"—"
"3";"4";"—";"300";"46588 98 100 92 Нет";"10";"Участвуете в конкурсе";"1180515";"—"
"4";"4";"—";"300";"53429 94 96 100 Нет";"10";"Участвуете в конкурсе";"1516062";"—"
"5";"2";"—";"300";"49760 100 100 100 Нет";"—";"Участвуете в конкурсе";"1569590";"—"
"6";"3";"—";"298";"60058 100 97 91 Нет";"10";"Участвуете в конкурсе";"2368438";"—"
"7";"4";"—";"296";"52804 96 100 100 Нет";"—";"Участвуете в конкурсе";"1739395";"—"
"8";"3";"—";"295";"47272 100 100 95 Нет";"—";"Участвуете в конкурсе";"1256711";"—"
"9";"4";"—";"295";"54434 100 100 85 Нет";"10";"Участвуете в конкурсе";"2086031";"—"
"10";"1";"—";"295";"32371 98 100 87 Нет";"10";"Участвуете в конкурсе";"939677";"—"
"11";"1";"—";"294";"47867 100 95 89 Нет";"10";"Участвуете в конкурсе";"1391829";"—"
"12";"2";"—";"294";"50269 86 100 98 Нет";"10";"Участвуете в конкурсе";"1623645";"—"
"13";"4";"—";"294";"52779 98 100 86 Нет";"10";"Участвуете в конкурсе";"1947485";"—"
"14";"2";"—";"293";"51915 92 97 94 Нет";"10";"Участвуете в конкурсе";"1840083";"—"
"15";"1";"—";"292";"55860 86 100 96 Нет";"10";"Участвуете в конкурсе";"1742024";"—"
"16";"5";"—";"292";"52501 98 100 84 Нет";"10";"Участвуете в конкурсе";"1743218";"—"
"17";"1";"—";"292";"55565 92 100 100 Нет";"—";"Участвуете в конкурсе";"1955666";"—"
"18";"3";"—";"291";"60081 92 95 97 Нет";"7";"Участвуете в конкурсе";"1215083";"—"
"19";"2";"—";"291";"50783 92 100 99 Нет";"—";"Участвуете в конкурсе";"1728141";"—"
"20";"1";"—";"290";"51252 98 100 92 Нет";"—";"Участвуете в конкурсе";"1495657";"—"
"21";"1";"—";"290";"50680 100 94 86 Нет";"10";"Участвуете в конкурсе";"1497568";"—"
"22";"6";"—";"290";"53591 100 90 100 Нет";"—";"Участвуете в конкурсе";"2005983";"—"
"23";"1";"—";"290";"45540 98 100 92 Нет";"—";"Участвуете в конкурсе";"975836";"—"
"24";"5";"—";"289";"46697 100 90 89 Нет";"10";"Участвуете в конкурсе";"1169120";"—"
"25";"1";"—";"289";"47526 98 100 91 Нет";"—";"Участвуете в конкурсе";"1334557";"—"
"26";"3";"—";"289";"49051 94 100 93 Нет";"2";"Участвуете в конкурсе";"1508464";"—"
"27";"1";"—";"289";"52773 92 90 97 Нет";"10";"Участвуете в конкурсе";"1832303";"—"
"28";"5";"—";"288";"48329 98 100 90 Нет";"—";"Участвуете в конкурсе";"1442710";"—"
