"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"300";"- 100 100 100 1";"—";"Участвуете в конкурсе";"1569590";"—"
"2";"3";"Электронное";"299";"- 90 100 99 1";"10";"Участвуете в конкурсе";"1447633";"—"
"3";"3";"—";"287";"- 98 90 89 1";"10";"Участвуете в конкурсе";"1442348";"—"
"4";"5";"—";"278";"- 86 98 89 2";"5";"Участвуете в конкурсе";"2056217";"—"
"5";"5";"Электронное";"278";"- 93 97 78 1";"10";"Участвуете в конкурсе";"2216332";"—"
"6";"7";"—";"275";"- 93 86 94 1";"2";"Участвуете в конкурсе";"1212942";"—"
"7";"5";"—";"275";"- 98 86 81 1";"10";"Участвуете в конкурсе";"2021531";"—"
"8";"4";"—";"274";"- 93 90 81 1";"10";"Участвуете в конкурсе";"1518166";"—"
"9";"5";"—";"272";"- 95 84 83 1";"10";"Участвуете в конкурсе";"2089577";"—"
"10";"2";"—";"270";"- 88 94 78 1";"10";"Участвуете в конкурсе";"1909639";"—"
"11";"2";"—";"268";"- 95 88 75 2";"10";"Участвуете в конкурсе";"1239868";"—"
"12";"5";"—";"266";"- 90 88 86 4";"2";"Участвуете в конкурсе";"1982250";"—"
"13";"6";"—";"266";"- 88 90 78 1";"10";"Участвуете в конкурсе";"1441421";"—"
"14";"1";"—";"260";"- 90 82 78 1";"10";"Участвуете в конкурсе";"1717236";"—"
"15";"3";"—";"258";"- 78 84 86 3";"10";"Участвуете в конкурсе";"2002995";"—"
"16";"3";"—";"257";"- 80 86 91 √";"—";"Участвуете в конкурсе";"1701936";"—"
"17";"5";"Электронное";"255";"- 84 64 97 1";"10";"Участвуете в конкурсе";"1826744";"—"
"18";"4";"—";"254";"- 85 78 81 √";"10";"Участвуете в конкурсе";"2165742";"—"
"19";"4";"—";"252";"- 96 90 63 3";"3";"Участвуете в конкурсе";"1418271";"—"
"20";"3";"—";"252";"- 90 82 70 4";"10";"Участвуете в конкурсе";"1614743";"—"
"21";"3";"—";"247";"- 76 90 71 5";"10";"Участвуете в конкурсе";"1136542";"—"
"22";"3";"—";"247";"- 72 82 83 √";"10";"Участвуете в конкурсе";"1730643";"—"
"23";"3";"—";"246";"- 83 90 73";"—";"Участвуете в конкурсе";"1843695";"—"
"24";"3";"Электронное";"246";"- 96 70 78 1";"2";"Участвуете в конкурсе";"2202883";"—"
