"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"32";"51540 ―";"32";"Участвуете в конкурсе";"1798906";"—"
"2";"4";"—";"28";"48793 √ ―";"28";"Участвуете в конкурсе";"1513841";"—"
"3";"5";"—";"26";"51347 ―";"26";"Участвуете в конкурсе";"1790479";"—"
"4";"1";"—";"20";"54948 ―";"20";"Участвуете в конкурсе";"2140438";"—"
"5";"2";"—";"18";"54834 ―";"18";"Участвуете в конкурсе";"2128528";"—"
"6";"6";"Электронное";"17";"46310 √ ―";"17";"Участвуете в конкурсе";"1141992";"—"
"7";"6";"Электронное";"15";"45880 √ ―";"15";"Участвуете в конкурсе";"1030020";"—"
"8";"4";"Электронное";"13";"46057 √ ―";"13";"Участвуете в конкурсе";"1092867";"—"
"9";"2";"Электронное";"13";"46278 ―";"13";"Участвуете в конкурсе";"1133297";"—"
"10";"2";"—";"13";"46275 √ ―";"13";"Участвуете в конкурсе";"1133737";"—"
"11";"2";"—";"13";"49214 ―";"13";"Участвуете в конкурсе";"1601008";"—"
"12";"1";"—";"13";"56998 ―";"13";"Участвуете в конкурсе";"2263021";"—"
"13";"2";"—";"12";"47419 ―";"12";"Участвуете в конкурсе";"1015264";"—"
"14";"1";"—";"12";"49561 ―";"12";"Участвуете в конкурсе";"1479284";"—"
"15";"1";"Электронное";"11";"46013 ―";"11";"Участвуете в конкурсе";"1083194";"—"
"16";"1";"—";"11";"46487 ―";"11";"Участвуете в конкурсе";"1174841";"—"
"17";"1";"—";"11";"53068 ―";"11";"Участвуете в конкурсе";"1261166";"—"
"18";"2";"—";"11";"49922 ―";"11";"Участвуете в конкурсе";"1644690";"—"
"19";"2";"—";"11";"57450 √ ―";"11";"Участвуете в конкурсе";"2315805";"—"
"20";"3";"—";"11";"45441 √ ―";"11";"Участвуете в конкурсе";"956233";"—"
"21";"1";"—";"10";"45720 √ ―";"10";"Участвуете в конкурсе";"1002753";"—"
"22";"7";"—";"10";"45753 √ ―";"10";"Участвуете в конкурсе";"1032369";"—"
"23";"2";"—";"10";"45768 √ ―";"10";"Участвуете в конкурсе";"1037268";"—"
"24";"4";"Электронное";"10";"46176 √ ―";"10";"Участвуете в конкурсе";"1039457";"—"
"25";"2";"—";"10";"59132 ―";"10";"Участвуете в конкурсе";"1042249";"—"
"26";"5";"Электронное";"10";"46061 √ ―";"10";"Участвуете в конкурсе";"1093224";"—"
"27";"4";"—";"10";"46133 √ ―";"10";"Участвуете в конкурсе";"1107203";"—"
