"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"51";"45878 √ ―";"51";"Участвуете в конкурсе";"1053568";"—"
"2";"2";"—";"50";"57315 √ ―";"50";"Участвуете в конкурсе";"2272521";"—"
"3";"2";"Электронное";"46";"45715 √ ―";"46";"Участвуете в конкурсе";"1001572";"—"
"4";"1";"Электронное";"40";"54790 ―";"40";"Участвуете в конкурсе";"2117161";"—"
"5";"2";"Электронное";"36";"50276 ―";"36";"Участвуете в конкурсе";"1675921";"—"
"6";"2";"Электронное";"31";"45885 ―";"31";"Участвуете в конкурсе";"1059210";"—"
"7";"1";"—";"28";"48793 √ ―";"28";"Участвуете в конкурсе";"1513841";"—"
"8";"1";"—";"27";"54942 √ ―";"27";"Участвуете в конкурсе";"1959661";"—"
"9";"3";"—";"26";"51347 ―";"26";"Участвуете в конкурсе";"1790479";"—"
"10";"1";"—";"24";"47445 √ ―";"24";"Участвуете в конкурсе";"1360234";"—"
"11";"2";"—";"23";"53300 ―";"23";"Участвуете в конкурсе";"1089793";"—"
"12";"1";"—";"21";"52197 √ ―";"21";"Участвуете в конкурсе";"1475998";"—"
"13";"1";"—";"21";"48881 √ ―";"21";"Участвуете в конкурсе";"1523789";"—"
"14";"12";"—";"21";"56845 ―";"21";"Участвуете в конкурсе";"2240953";"—"
"15";"4";"Электронное";"20";"46068 √ ―";"20";"Участвуете в конкурсе";"1094963";"—"
"16";"3";"—";"20";"49590 ―";"20";"Участвуете в конкурсе";"1628363";"—"
"17";"3";"Электронное";"20";"52818 ―";"20";"Участвуете в конкурсе";"1975015";"—"
"18";"1";"—";"18";"46010 √ ―";"18";"Участвуете в конкурсе";"1088042";"—"
"19";"2";"—";"18";"46975 ―";"18";"Участвуете в конкурсе";"1238365";"—"
"20";"1";"—";"18";"54834 ―";"18";"Участвуете в конкурсе";"2128528";"—"
"21";"3";"Электронное";"17";"45933 √ ―";"17";"Участвуете в конкурсе";"1003282";"—"
"22";"2";"Электронное";"17";"46310 √ ―";"17";"Участвуете в конкурсе";"1141992";"—"
"23";"3";"—";"16";"45802 √ ―";"16";"Участвуете в конкурсе";"1017800";"—"
"24";"6";"—";"16";"56934 √ ―";"16";"Участвуете в конкурсе";"2184400";"—"
"25";"2";"Электронное";"15";"45880 √ ―";"15";"Участвуете в конкурсе";"1030020";"—"
"26";"1";"—";"14";"45917 √ ―";"14";"Участвуете в конкурсе";"1063493";"—"
"27";"1";"—";"14";"51185 ―";"14";"Участвуете в конкурсе";"1728454";"—"
"28";"2";"Электронное";"13";"46057 √ ―";"13";"Участвуете в конкурсе";"1092867";"—"
"29";"4";"—";"13";"46275 √ ―";"13";"Участвуете в конкурсе";"1133737";"—"
"30";"1";"—";"13";"46944 √ ―";"13";"Участвуете в конкурсе";"1252049";"—"
"31";"2";"—";"13";"51380 ―";"13";"Участвуете в конкурсе";"1793199";"—"
"32";"6";"Электронное";"13";"53227 ―";"13";"Участвуете в конкурсе";"1964128";"—"
"33";"1";"—";"11";"45810 √ ―";"11";"Участвуете в конкурсе";"1018773";"—"
"34";"2";"Электронное";"11";"46013 ―";"11";"Участвуете в конкурсе";"1083194";"—"
"35";"1";"Электронное";"11";"47080 ―";"11";"Участвуете в конкурсе";"1279655";"—"
