"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"Электронное";"46";"45715 √ ―";"46";"Участвуете в конкурсе";"1001572";"—"
"2";"1";"—";"33";"45953 √ ―";"33";"Участвуете в конкурсе";"1078670";"—"
"3";"1";"Электронное";"31";"45885 ―";"31";"Участвуете в конкурсе";"1059210";"—"
"4";"3";"—";"24";"47445 √ ―";"24";"Участвуете в конкурсе";"1360234";"—"
"5";"2";"Электронное";"23";"46151 √ ―";"23";"Участвуете в конкурсе";"1117190";"—"
"6";"1";"—";"23";"46146 √ ―";"23";"Участвуете в конкурсе";"1117349";"—"
"7";"11";"—";"21";"56845 ―";"21";"Участвуете в конкурсе";"2240953";"—"
"8";"4";"—";"18";"46010 √ ―";"18";"Участвуете в конкурсе";"1088042";"—"
"9";"8";"Электронное";"17";"46310 √ ―";"17";"Участвуете в конкурсе";"1141992";"—"
"10";"5";"—";"16";"46309 √ ―";"16";"Участвуете в конкурсе";"1141789";"—"
"11";"1";"—";"16";"56934 √ ―";"16";"Участвуете в конкурсе";"2184400";"—"
"12";"5";"Электронное";"15";"45880 √ ―";"15";"Участвуете в конкурсе";"1030020";"—"
"13";"4";"—";"14";"45917 √ ―";"14";"Участвуете в конкурсе";"1063493";"—"
"14";"2";"—";"14";"51185 ―";"14";"Участвуете в конкурсе";"1728454";"—"
"15";"7";"—";"13";"46275 √ ―";"13";"Участвуете в конкурсе";"1133737";"—"
"16";"3";"Электронное";"13";"53227 ―";"13";"Участвуете в конкурсе";"1964128";"—"
"17";"3";"—";"11";"45810 √ ―";"11";"Участвуете в конкурсе";"1018773";"—"
"18";"2";"—";"11";"51279 ―";"11";"Участвуете в конкурсе";"1777968";"—"
"19";"1";"—";"11";"51289 ―";"11";"Участвуете в конкурсе";"1778473";"—"
"20";"5";"—";"11";"51546 ―";"11";"Участвуете в конкурсе";"1799078";"—"
"21";"2";"—";"11";"55685 √ ―";"11";"Участвуете в конкурсе";"2176738";"—"
"22";"3";"—";"11";"56925 ―";"11";"Участвуете в конкурсе";"2244988";"—"
"23";"14";"—";"10";"45720 √ ―";"10";"Участвуете в конкурсе";"1002753";"—"
"24";"2";"Электронное";"10";"45729 √ ―";"10";"Участвуете в конкурсе";"1004808";"—"
"25";"2";"—";"10";"45753 √ ―";"10";"Участвуете в конкурсе";"1032369";"—"
"26";"2";"Электронное";"10";"46176 √ ―";"10";"Участвуете в конкурсе";"1039457";"—"
"27";"3";"Электронное";"10";"45941 √ ―";"10";"Участвуете в конкурсе";"1071088";"—"
"28";"2";"—";"10";"46024 √ ―";"10";"Участвуете в конкурсе";"1084156";"—"
"29";"2";"—";"10";"46041 √ ―";"10";"Участвуете в конкурсе";"1092074";"—"
"30";"3";"—";"10";"46047 √ ―";"10";"Участвуете в конкурсе";"1092132";"—"
"31";"7";"Электронное";"10";"46061 √ ―";"10";"Участвуете в конкурсе";"1093224";"—"
"32";"5";"—";"10";"46073 √ ―";"10";"Участвуете в конкурсе";"1095989";"—"
"33";"8";"—";"10";"46125 √ ―";"10";"Участвуете в конкурсе";"1107653";"—"
"34";"2";"—";"10";"53925 √ ―";"10";"Участвуете в конкурсе";"1114556";"—"
"35";"5";"—";"10";"46332 ―";"10";"Участвуете в конкурсе";"1149422";"—"
"36";"2";"—";"10";"54839 ―";"10";"Участвуете в конкурсе";"1195927";"—"
"37";"1";"—";"10";"47139 ―";"10";"Участвуете в конкурсе";"1255622";"—"
