"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"50";"57315 √ ―";"50";"Участвуете в конкурсе";"2272521";"—"
"2";"4";"Электронное";"46";"45715 √ ―";"46";"Участвуете в конкурсе";"1001572";"—"
"3";"3";"—";"33";"45953 √ ―";"33";"Участвуете в конкурсе";"1078670";"—"
"4";"2";"—";"27";"54942 √ ―";"27";"Участвуете в конкурсе";"1959661";"—"
"5";"2";"—";"26";"51347 ―";"26";"Участвуете в конкурсе";"1790479";"—"
"6";"1";"—";"23";"53300 ―";"23";"Участвуете в конкурсе";"1089793";"—"
"7";"1";"Электронное";"23";"46151 √ ―";"23";"Участвуете в конкурсе";"1117190";"—"
"8";"2";"—";"23";"46146 √ ―";"23";"Участвуете в конкурсе";"1117349";"—"
"9";"2";"—";"23";"48413 √ ―";"23";"Участвуете в конкурсе";"1478122";"—"
"10";"2";"—";"21";"52197 √ ―";"21";"Участвуете в конкурсе";"1475998";"—"
"11";"2";"—";"21";"56449 ―";"21";"Участвуете в конкурсе";"2219088";"—"
"12";"10";"—";"21";"56845 ―";"21";"Участвуете в конкурсе";"2240953";"—"
"13";"2";"Электронное";"20";"46068 √ ―";"20";"Участвуете в конкурсе";"1094963";"—"
"14";"1";"—";"20";"49590 ―";"20";"Участвуете в конкурсе";"1628363";"—"
"15";"1";"Электронное";"20";"52818 ―";"20";"Участвуете в конкурсе";"1975015";"—"
"16";"1";"Электронное";"19";"47112 ―";"19";"Участвуете в конкурсе";"1281190";"—"
"17";"5";"—";"18";"46010 √ ―";"18";"Участвуете в конкурсе";"1088042";"—"
"18";"1";"—";"18";"46975 ―";"18";"Участвуете в конкурсе";"1238365";"—"
"19";"5";"—";"18";"54834 ―";"18";"Участвуете в конкурсе";"2128528";"—"
"20";"6";"Электронное";"17";"45933 √ ―";"17";"Участвуете в конкурсе";"1003282";"—"
"21";"4";"Электронное";"17";"46310 √ ―";"17";"Участвуете в конкурсе";"1141992";"—"
"22";"10";"Электронное";"17";"51160 ―";"17";"Участвуете в конкурсе";"1764095";"—"
"23";"3";"—";"16";"46309 √ ―";"16";"Участвуете в конкурсе";"1141789";"—"
"24";"2";"—";"16";"56934 √ ―";"16";"Участвуете в конкурсе";"2184400";"—"
"25";"3";"Электронное";"15";"45880 √ ―";"15";"Участвуете в конкурсе";"1030020";"—"
"26";"3";"—";"14";"45917 √ ―";"14";"Участвуете в конкурсе";"1063493";"—"
"27";"4";"—";"14";"51185 ―";"14";"Участвуете в конкурсе";"1728454";"—"
"28";"1";"—";"14";"55762 ―";"14";"Участвуете в конкурсе";"2183657";"—"
"29";"3";"Электронное";"13";"46057 √ ―";"13";"Участвуете в конкурсе";"1092867";"—"
"30";"5";"—";"13";"46275 √ ―";"13";"Участвуете в конкурсе";"1133737";"—"
"31";"7";"—";"13";"51380 ―";"13";"Участвуете в конкурсе";"1793199";"—"
"32";"7";"Электронное";"13";"53227 ―";"13";"Участвуете в конкурсе";"1964128";"—"
"33";"4";"—";"11";"45810 √ ―";"11";"Участвуете в конкурсе";"1018773";"—"
"34";"2";"—";"11";"45813 √ ―";"11";"Участвуете в конкурсе";"1019168";"—"
"35";"3";"Электронное";"11";"46013 ―";"11";"Участвуете в конкурсе";"1083194";"—"
"36";"3";"—";"11";"51279 ―";"11";"Участвуете в конкурсе";"1777968";"—"
"37";"2";"—";"11";"51289 ―";"11";"Участвуете в конкурсе";"1778473";"—"
"38";"4";"—";"11";"51546 ―";"11";"Участвуете в конкурсе";"1799078";"—"
"39";"1";"—";"11";"54563 ―";"11";"Участвуете в конкурсе";"2092529";"—"
"40";"4";"—";"11";"54641 ―";"11";"Участвуете в конкурсе";"2099560";"—"
"41";"1";"—";"11";"55685 √ ―";"11";"Участвуете в конкурсе";"2176738";"—"
"42";"1";"—";"11";"55784 ―";"11";"Участвуете в конкурсе";"2185133";"—"
"43";"4";"—";"11";"57450 √ ―";"11";"Участвуете в конкурсе";"2315805";"—"
"44";"8";"—";"10";"45720 √ ―";"10";"Участвуете в конкурсе";"1002753";"—"
"45";"5";"Электронное";"10";"45729 √ ―";"10";"Участвуете в конкурсе";"1004808";"—"
"46";"3";"—";"10";"45806 ―";"10";"Участвуете в конкурсе";"1018087";"—"
"47";"4";"—";"10";"45753 √ ―";"10";"Участвуете в конкурсе";"1032369";"—"
"48";"6";"—";"10";"59132 ―";"10";"Участвуете в конкурсе";"1042249";"—"
"49";"1";"—";"10";"60857 ―";"10";"Участвуете в конкурсе";"1057470";"—"
"50";"2";"Электронное";"10";"45941 √ ―";"10";"Участвуете в конкурсе";"1071088";"—"
"51";"3";"—";"10";"45950 √ ―";"10";"Участвуете в конкурсе";"1072975";"—"
"52";"3";"—";"10";"46024 √ ―";"10";"Участвуете в конкурсе";"1084156";"—"
"53";"5";"Электронное";"10";"46007 ―";"10";"Участвуете в конкурсе";"1087896";"—"
"54";"6";"—";"10";"46041 √ ―";"10";"Участвуете в конкурсе";"1092074";"—"
"55";"5";"—";"10";"46047 √ ―";"10";"Участвуете в конкурсе";"1092132";"—"
"56";"1";"Электронное";"10";"46061 √ ―";"10";"Участвуете в конкурсе";"1093224";"—"
"57";"2";"—";"10";"46073 √ ―";"10";"Участвуете в конкурсе";"1095989";"—"
"58";"5";"—";"10";"46133 √ ―";"10";"Участвуете в конкурсе";"1107203";"—"
"59";"4";"—";"10";"46125 √ ―";"10";"Участвуете в конкурсе";"1107653";"—"
"60";"3";"—";"10";"53925 √ ―";"10";"Участвуете в конкурсе";"1114556";"—"
"61";"3";"—";"10";"46180 ―";"10";"Участвуете в конкурсе";"1122833";"—"
"62";"2";"—";"10";"46313 √ ―";"10";"Участвуете в конкурсе";"1142367";"—"
